label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
0,microsoft visio standard 2007 version upVrade,gicrosoft,129P95,adobe cs3 designastandard upgrade,n&n,4D3.99,0
0,adoee premiere pro cs3 upgrade,adob-,299a0,adobe cs3 design standVrd upgrade,ndn,413.B9,1
0,adobe Qndesign cs3 upgrade from pagemaker [ mac ],adob),139.0,adobe5cs3 design standard upgrade,n'n,413.J9,2
0,adobe creative suite cs3 design standard [ m^c ],aeobe,119S.0,adobe cs3 design stand0rd upgrade,Wan,413*99,3
0,adobe creative suitepcs3 design premium upsell [ mac ],adobs,_599.0,adobe cs3 pesign standard upgrade,n%n,413z99,4
0,microso1t office 2004 standard upgrade ( mac ),mic|osoft,239.k9,"adobe cs3 design standard upgra,e",nSn,413.W9,5
0,adobe dreamwea=er cs3 upgrade,:dobe,199.1,adobe cs3 design standaqd upgrade,nal,413.O9,6
0,adobe after effevts cs3 upgrade,Udobe,299m0,adobe cs3 design stand*rd upgrade,na!,V13.99,7
0,adobe ill/strator cs3 upgrade [ mac ],adowe,1~9.0,adobe cs3sdesign standard upgrade,n/n,41*.99,8
0,adobe creaOive suite cs3 design premium upgrade [ mac ],adob{,59{.0,adobr cs3 design standard upgrade,naT,4V3.99,9
0,auobe acrobat standard 8.0,a)obe,449{99,adobe cs3 desigr standard upgrade,nag,413.9s,10
0,2dobe flash pro cs3 upgrade [ mac ],kdobe,19{.0,adobe ce3 design standard upgrade,ngn,413^99,11
0,adobe creative suite cs3 design stand+rd upgrade,ado]e,"""99.0",adobe cs3 design standard upgrade,nTn,D13.99,12
0,adobe creative suite cs3 web standadd upsell,adZbe,h99.0,aXobe cs3 design standard upgrade,n{n,413.69,13
0,corel wordperfect office 12 standard upgxade,cdrel,149.9B,adobe cs3 design standard_upgrade,nRn,413@99,14
0,adobe creative suite cs3 design premKum upsell,aWobe,1h99.0,adobe cs3 design standaNd upgrade,*an,413799,15
0,state standards gsade 6,"topics entertainme,t",2<.95,adobe%cs3 design standard upgrade,nMn,4P3.99,16
