label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
0,1pk internet sec ste 2007 oem,abacus,4.99,ca iss2007lec10 ca internet sec ste 2007 w/warranty xl box ecommerce 10u 0757943317589,abacus software,9.59,0
0,1pk internet sec ste 2007 oem,abacus,6.99,internet security suite 2007 home protection pack xl box,riverdeep-learning-company,7.93,1
0,1pk internet sec ste 2007 oem,adobe,6.99,mcafee internet security 7.0,adobe,8.79,2
0,1pk internet sec ste 2007 oem,adobe,6.99,mcafee internet security suite 2007 3-user ( pc ),adobe software,9.99,3
0,1pk internet sec ste 2007 oem,adobe,6.99,norton internet security 2008 10 user,adobe systems inc,31.06,4
0,1pk internet sec ste 2007 oem,adobe,6.99,panda internet security 2007 panda software,adobe-education-box,39.9,5
0,1pk internet sec ste 2007 oem,adobe,7.99,panda software panda internet security 2007,avanquest usa,9.95,6
0,1pk internet sec ste 2007 oem,adobe,7.99,pc-cillin ( tm ) internet security 2007,me-too-software,14.95,7
0,1pk internet sec ste 2007 oem,adobe,9.95,pc-cillin internet security 2007 3-user ( win me 2000 xp ),punch software,5.95,8
0,1pk internet sec ste 2007 oem,adobe,9.95,symantec 10725608 norton internet security 2007 internet security 1 user ( s ) pc,sony-pictures-digital-entertainment,8.95,9
0,1pk internet sec ste 2007 oem,adobe,9.95,zonealarm internet security suite 2007 ( pc ) zonelabs,steinberg-media-technologies,18.27,10
0,3 great games for guys,adobe software,9.95,ultimate games for girls 3 for pc,adobe-education-box,19.99,11
0,3d bridge deluxe ( mac ),adobe systems,9.99,freeverse software 4012 3d bridge deluxe ( retail box ) ( mac 9.1-9.x 10.1 or higher ),adobe,6.56,12
0,3d bridge deluxe ( mac ),adobe systems inc,9.99,freeverse software 4012 3d bridge deluxe ( retail box ) for mac,adobe-education-box,6.95,13
0,3d home architect home design deluxe version 9,aladdin systems,9.99,3d home architect home v. 8by encore software,smith-micro-software,7.17,14
0,3d home architect home design deluxe version 9,alfred publishing,9.99,3d home architect landscape v. 8by encore software,m-and-r-technologies,7.47,15
0,3d home architect home design deluxe version 9,allume,9.99,avery ( r ) designpro ( tm ) deluxe version 5.0,smith-micro-software,7.83,16
0,3d home architect home design deluxe version 9,allume systems,9.99,encore inc 3d home architect landscape design deluxe v 9.0,me-too-software,7.93,17
0,3d home architect home design deluxe version 9,apple,9.99,encore inc 3d home architect landscape designer v 8.0,apple software,7.95,18
0,3d home architect home design deluxe version 9,apple,9.99,encore software 10634 3d home architect home v. 8 by,apple-computer - ( direct ),8.79,19
0,3d home architect home design deluxe version 9,apple,9.99,encore software 10636 3d home architect landscape v. 8by,sony-pictures-digital-entertainment,8.95,20
0,3d home architect home design deluxe version 9,apple computer,9.99,encore software 13911 3d home architect home & landscape deluxe suite version 9,apple software,9.08,21
0,3d home architect home design deluxe version 9,apple computer,9.99,encore software 13921 3d home architect home design deluxe version 9,apple-computer - ( direct ),9.59,22
0,3d home architect home design deluxe version 9,apple-computer - ( direct ),9.99,encore software 13931 3d home architect landscape design deluxe version 9,apple software,9.9,23
0,3d home architect home design deluxe version 9,arcmedia,9.99,instant architect design suite ( 00ids510cc ),m-and-r-technologies,9.95,24
0,3d home architect home design deluxe version 9,atari,9.99,instant home design 3.0,m-and-r-technologies,9.99,25
