label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
1,123 movies 2 ipod w / av cables umd size,adobe,4.99,bling software limited 05013 123 movies 2 ipod w / av cables umd size,adobe,3.44,0
1,1pk internet sec ste 2007 oem,adobe,4.99,oem internet security suite 2007 3-user single pack,adobe software,8.95,1
1,3 great games for guys,adobe,6.99,dreamcatcher interactive 3 great games for guys,adobe systems inc,8.79,2
1,3d bridge deluxe ( mac ),adobe-education-box,6.99,freeverse 3d bridge deluxe,adobe-education-box,12.9,3
1,3d home architect home design deluxe version 9,apple,7.99,encore inc 3d home architect home design deluxe version 9,apple software,7.17,4
1,3d home architect home v. 8 by encore software,apple computer,7.99,3d home architect home v. 8by encore software,apple software,7.69,5
1,3d home architect home v. 8 by encore software,apple-computer - ( direct ),9.95,encore software 10634 3d home architect home v. 8 by,apple-computer - ( direct ),7.69,6
1,3d home architect landscape design deluxe version 9,arc-media-inc .,9.95,encore inc 3d home architect landscape design deluxe v 9.0,arc-media-inc .,9.95,7
1,3d home architect landscape designer v8,aspyr media,9.95,encore inc 3d home architect landscape designer v 8.0,aspyr media,9.99,8
1,3d home architect landscape v. 8 by encore software,autodesk psg,9.99,3d home architect landscape v. 8by encore software,autodesk,6.56,9
1,3d home architect landscape v. 8 by encore software,avanquest-publishing-usa-inc .,9.99,encore software 10636 3d home architect landscape v. 8by,avanquest-publishing-usa-inc .,6.84,10
1,3mds network operations manager diy annual subscptn 101 500u,axis-communication-inc .,9.99,3mds network operations managerdiy annual subscptn 101 500u,axis-communication-inc .,6.99,11
1,40 years of the avengers,brighter-minds-media-inc .,9.99,git 40 years of marvel avengers dvd-rom,brighter-minds-media-inc .,7.17,12
1,40 years of the x-men,checkmark software,9.99,git 40 years of marvel x-men dvd-rom,channel sources distribution co,7.22,13
1,44 years of the fantastic four,cisco-systems-enterprise,9.99,git 44 years of marvel fantastic 4 dvd-rom,cisco-systems-enterprise,7.36,14
1,acad corel painter x pc/mac,computer-associates-international,9.99,corel painter x academic,computer-associates-international,7.47,15
1,acad vegas movie studio + dvd 8 platinum,corel,9.99,madison media software aspvms8000 acad vegas movie studio + dvd 8 platinum,corel corporation,7.69,16
1,academy award winners,csdc,9.99,bobby walters academy award winners,csdc,7.79,17
1,acid music studio 7,dantz,9.99,sony media software acid music studio 7 software music production software,emc,7.83,18
1,acrobat professional 8 ( windows ),detto-technologies-inc,9.99,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),detto-technologies-inc,8.01,19
1,acrobat professional 8 mac upsell standard-professional,dorling-kindersley-multimedia - ( dk ),9.99,adobe acrobat v8 .0 professional for mac upsell from std-pro,dorling-kindersley-multimedia - ( dk ),8.14,20
1,adobe acrobat distiller svr v6-cd linux u/u 42050142 ),eagle games,9.99,adobe 42050142 acrobat distiller 6 lnx ret cd u/l lnx,eagle games,8.27,21
1,adobe acrobat distiller svr v6-cd sun 100u 42050106 ),emedia,9.99,adobe 42050106 acrobat distiller svr v6-cd sun 100u,emedia,8.44,22
1,adobe acrobat standard 8.0,encore,9.99,adobe acrobat v8 .0 professional for mac,encore,8.46,23
1,adobe after effects 7.0 professional ( mac ),encore software,9.99,adobe after effects professional 7.0 software effects software,encore,8.64,24
1,adobe after effects cs3,encore software,9.99,adobe after effects cs3 professional software for mac effects software,encore inc,8.79,25
1,adobe after effects cs3,encore-software-inc,9.99,adobe after effects cs3 professional software for windows effects software,encore-software-inc,8.8,26
1,adobe after effects cs3,enfocus software,9.99,adobe cs3 after effects,enfocus,9.08,27
1,adobe after effects cs3 upgrade,extensis corporation,9.99,adobe cs3 after effects upgrade,onone software,9.45,28
1,adobe after effects professional 6.5 upgrade from standard to professional,global-marketing-partners,9.99,adobe software 22070152 after effects 6.5 pbupgrd,global-marketing-partners,9.59,29
1,adobe after effects professional 7.0,global-software-publ-na,9.99,adobe after effects professional 7 software for windows effects software,global-software-publ-na,9.9,30
1,adobe audition 2.0,global-software-publishing,9.99,adobe 22011152 audition2 win retail ue 1u,global software,9.95,31
1,adobe audition 2.0,global-software-publishing,9.99,adobe audition 2.0 audio production software music production software,global-software-publishing,9.99,32
1,adobe audition 2.0 upgrade,global-software-publishing-north-america-inc,9.99,adobe audition 2.0 software pro audio digital editing environment for windows upgrade version .,global-software-publishing-north-america-inc,10.0,33
1,adobe captivate 2.0,graphics-simulations-corporation,9.99,adobe captivate 2 software for windows presentation software,graphics-simulations-corporation,10.57,34
1,adobe contribute cs3 [ mac ],handmark inc. .,9.99,adobe contribute cs3,palmspring software,11.99,35
1,adobe contribute cs3 [ mac ],hewlett-packard - ( consumables ),9.99,adobe contribute cs3 upgrade,hewlett-packard - ( consumables ),12.9,36
1,adobe creative suite cs3 design premium [ mac ],hewlett-packard - ( consumables ),9.99,adobe cs3 design premium,hp,19.38,37
1,adobe creative suite cs3 design premium [ mac ],ibm - ( aap-misc-parts ),9.99,adobe cs3 design premium upsell,ibm - ( aap-misc-parts ),19.55,38
1,adobe creative suite cs3 design premium upgrade [ mac ],imagination-international-corp,9.99,adobe cs3 design premium upgrade,imagination-international-corp,29.99,39
1,adobe creative suite cs3 design standard [ mac ],intuit,9.99,adobe cs3 design standard,intuit,35.99,40
1,adobe creative suite cs3 design standard upgrade,intuit inc.,12.99,adobe cs3 design standard upgrade windows,intuit,8.8,41
1,adobe creative suite cs3 design standard upgrade [ mac ],ipswitch inc,12.99,adobe cs3 design standard upgrade,ipswitch,10.99,42
1,adobe creative suite cs3 design standard upsell [ mac ],iris,12.99,adobe cs3 design standard upsell,navarre distribution services,14.39,43
1,adobe creative suite cs3 master collection [ mac ],knowledge adventure,14.95,adobe cs3 master collection,knowledge adventure,9.45,44
1,adobe creative suite cs3 master collection upgrade [ mac ],kutoka,14.99,adobe cs3 master collection upsell from cs2,kutoka interactive,8.8,45
1,adobe creative suite cs3 master collection upsell,language-engineering-co-llc,14.99,adobe cs3 master collection upsell from cs1,language-engineering-co-llc,13.38,46
1,adobe creative suite cs3 production premium,m-and-r-technologies,14.99,adobe cs3 production premium,m-and-r-technologies,14.99,47
1,adobe creative suite cs3 production premium,me-too-software,14.99,adobe production premium cs3 software suite for mac av production software,me-too-software,17.9,48
1,adobe creative suite cs3 production premium,microsoft,19.95,adobe production premium cs3 software suite for windows professional editing software,microsoft,3.1,49
1,adobe creative suite cs3 production premium upgrade,mobi,19.95,adobe cs3 production premium upgrade,mobi-technologies-inc .,4.93,50
1,adobe creative suite cs3 production premium upgrade,mobi-technologies-inc .,19.95,production prem cs3 mac upgrad,mobi-technologies-inc .,7.69,51
1,adobe creative suite cs3 production premium upsell,nova development,19.95,adobe cs3 production premium upsell,nova development,9.75,52
1,adobe creative suite cs3 web premium [ mac ],nova development,19.95,adobe cs3 web premium,sierrahome,12.05,53
1,adobe creative suite cs3 web premium upgrade [ mac ],nuance-communications-inc .,19.95,adobe cs3 web premium upgrade,nuance-communications-inc .,12.9,54
1,adobe creative suite cs3 web premium upsell [ mac ],on-hand-software,19.95,adobe cs3 web premium upsell,on-hand-software,13.95,55
1,adobe creative suite cs3 web standard [ mac ],oxford-university-press,19.95,adobe cs3 web standard,oxford-university-press,15.08,56
1,adobe creative suite cs3 web standard upgrade [ mac ],palo-alto-software,19.95,adobe cs3 web standard upgrade,palo-alto-software,16.95,57
1,adobe creative suite cs3 web standard upsell [ mac ],power-on-software,19.95,adobe cs3 web standard upsell,now software,17.1,58
1,adobe cs3 design premium macosx dvd,power-on-software,19.95,adobe cs3 design premium academic,power-on-software,17.24,59
1,adobe cs3 design standard macosx dvd,punch ! software,19.95,adobe cs3 design standard academic,punch software,17.55,60
1,adobe dreamweaver cs3 [ mac ],red-orb-entertainment,19.95,adobe dreamweaver cs3,red-orb-entertainment,18.97,61
1,adobe dreamweaver cs3 upgrade,riverdeep-learning-company,19.95,adobe dreamweaver cs3 upgrade windows,riverdeep-learning-company,19.95,62
