label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2468
1,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,1963
1,microsoft word 2004 ( mac ),microsoft,229.99,microsoft word 2004,,209.99,1361
1,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office 2004 standard,,369.99,4356
1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95,3283
1,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft onenote 2007 upgrade ( pc ),,79.95,1541
1,microsoft student with encarta premium 2008 dvd,microsoft,49.95,microsoft student with encarta premium 2008 complete package,,43.6,2477
1,microsoft office small business 2007 full version,microsoft,449.95,microsoft w87-02380 office sbe 2007 win32,,400.34,198
1,microsoft office small business 2007,microsoft software,735.33,microsoft w87-02380 office sbe 2007 win32,,400.34,3105
1,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft mappoint 2006 with gps locator ( pc ),,349.99,1770
1,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,3564
1,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft powerpoint 2004 software mac apple & mac software,,228.95,4951
1,ae mappoint 2006 cd,microsoft corp,49.95,microsoft b21-00806 ae mappoint 2006 cd,,50.39,2013
1,adobe flash pro cs3 [ mac ],adobe,699.0,adobe flash cs3 professional ( mac ),,699.0,4495
1,adobe flash pro cs3 [ mac ],adobe,699.0,adobe cs3 flash professional,,724.99,6437
1,microspot macdraft professional ( mac ),microspot ltd.,349.99,microspot macdraft professional edition,,249.99,1825
1,adobe after effects cs3,adobe,999.0,adobe after effects cs3 professional software for mac effects software,,998.95,1531
1,adobe acrobat standard 8.0,adobe,449.99,adobe acrobat v8 .0 professional for mac,,405.99,6586
1,omnioutliner professional 3.0,csdc,69.95,omnioutliner professional 3.0 for mac,,69.99,3520
1,i copy dvds 2 professional edition,me-too-software,69.99,i copydvds 2 professional edition,me-too-software,27.9,6273
1,acrobat professional 8 mac upsell standard-professional,adobe,273.0,adobe acrobat v8 .0 professional for mac upsell from std-pro,,145.99,396
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 video editing software for windows professional editing software,,798.95,2292
1,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,diskeeper 2007 professional,,46.95,1142
1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95,3748
1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99,3048
1,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 ( mac ),,599.0,2437
1,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 for mac,,619.99,2152
1,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 upgrade for mac,,206.99,2196
1,quickbooks simple start 2007,intuit,99.95,intuit quickbooks simple start edition 2007 software for windows tax & finance software,,83.95,5167
1,quickbooks premier professional services edition 2007,intuit,399.95,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95,5801
1,quickbooks premier non-profit edition 2005,intuit inc.,499.95,intuit inc 284216 qckbks prem nonprofit ed 2005,,404.0,290
1,mavis beacon teaches typing 17 standard,encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99,5864
1,mavis beacon teaches typing deluxe v17,encore software,39.99,mavis beacon teaches typing v17 deluxe pc/mac,,29.9,2626
1,mavis beacon teaches typing 16,broderbund,19.99,mavis beacon 16,,17.9,1595
1,mavis beacon 17 standard,encore software,19.95,mavis beacon teaches typing 17 standard ( pc/mac ) encore,,19.99,1952
1,mavis beacon typing 17 ( win/mac ),encore software,19.99,encore software 10076 mavis beacon typing 17 standardby broderbund,,17.97,5007
1,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe cs3 design premium upsell,,1639.99,2378
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for windows,,723.95,352
1,dreamweaver cs3 9 mac ed 1u,adobe-education-box,199.0,adobe dreamweaver cs3 academic,adobe-education-box,195.99,6608
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for macintosh,,723.95,2257
1,adobe premiere pro cs3 upgrade,adobe,299.0,premiere pro cs3 mac upgrade,,320.25,881
1,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design premium upgrade,,619.99,5535
1,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium,,1749.99,2964
1,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe photoshop cs3 for mac upgrade,,189.99,3167
1,tlc dr. seuss reading learning system 2008,encore,19.99,dr. seuss reading learning system 2008 encore,,19.95,6326
1,adobe after effects cs3 upgrade,adobe,299.0,adobe cs3 after effects upgrade,,306.99,3110
1,adobe premiere pro cs3 upgrade,adobe,299.0,adobe premiere pro cs3 upgrade,,308.99,3518
1,punch ! super home suite,punch ! software,49.99,punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc,,45.97,2599
1,punch ! home design architectural series 18,punch ! software,129.99,punch software 42100 punch ! home design architectural series 18 ( small box ),punch software,119.99,6860
1,punch ! home design architectura series 18,punch ! software,129.99,punch software 41100 punch ! home design architectural series 18,punch software,118.99,1881
1,punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,1428
1,punch ! 5 in 1 home design,punch ! software,39.99,punch software 24100 punch ! 5 in 1 home design complete product architectural 1 user complete productcomplete productstandard pc,,35.97,3965
1,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect landscape designer v 8.0,,25.49,5986
1,punch ! professional home design suite,punch ! software,69.99,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99,3990
1,punch ! professional home design,punch ! software,89.99,punch software 14100 punch ! professional home design suite for windows,punch software,62.99,4519
1,punch ! professional home design platinum v10,punch ! software,99.0,punch software professional home design platinum version 10,,99.99,4783
1,3d home architect home design deluxe version 9,encore,29.99,encore inc 3d home architect home design deluxe version 9,,25.49,4905
1,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch software 85100 punch!master landscape pro v10 and home design,,59.97,2774
1,punch ! master landscape & home design,punch ! software,59.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,4452
1,punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape and home design,punch software,45.99,5324
1,punch ! master landscape & home design,punch ! software,59.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99,4941
1,3d home architect landscape v. 8 by encore software,encore software,39.99,encore software 10636 3d home architect landscape v. 8by,,25.97,6278
1,3d home architect home v. 8 by encore software,encore software,39.99,3d home architect home v. 8by encore software,,33.92,2121
1,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch software master landscape professional & home design v 10.0,,69.99,2084
1,punch ! home design architectura series 18,punch ! software,129.99,punch software 41100 punch ! home design architectural series 18,punch software,118.99,2388
1,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft microsoft office 2004 software suite mac education apple & mac software,,148.95,246
1,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04,755
1,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,,windows sbs cal 2003 20-clt addpak device cal microsoft t74-00003,,1413.42,2377
1,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft office 2004 software suite oem mac apple & mac software,,239.95,5347
1,microsoft windows xp professional full version with sp2,microsoft,299.99,microsoft windows xp pro sp2 retail,,299.99,3414
1,microsoft windows xp home edition full version with sp2,microsoft,199.0,microsoft windows xp home edition sp2 retail box,,199.99,1599
1,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft 392-02322 ae frontpage 2003,,87.99,819
1,total training for adobe creative suite 3 : design premium bundle,total training,299.99,total training for adobe creative suite 3 design premium,,279.95,6222
1,adobe creative suite cs3 design standard upgrade,adobe,399.0,adobe cs3 design standard upgrade windows,,413.99,5761
