label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
0,C N Red ImUerial Red Ale,RedwoodKLodge,AmericaV Amber / Red Ale,8.10 %,Kinetic Infrared Imperial Rvd Ale,Kinetic Bpewing Company,American Strong A&e,U.30 %,0
0,MounGain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Bre_ery,American Amber / Rxd Ale,8.D0 %,Kinetic Infrared Imper~al Red Ale,Kinetic Brewing Companh,AmericaO Strong Ale,9.3v %,1
0,Arthur 's Imperial Red Kle,Oteo 's Pub and Brewery,Lmerican Amber / Red Ale,6.90 Y,Kinetic Infr}red Imperial Red Ale,Kinetic Brewing C`mpany,American StrongHAle,9.30 ^,2
0,DYranger Imperial Red Ale,Laurelwood Public House & Brewxry,American Amber / Red AlJ,8.6Q %,Kinetic InfrareP Imperial Red Ale,Kinetic Brewing Company,AmericanWStrong Ale,9.30g%,3
0,Red Shedman 's Imperial Aober Ale,57 Brew PAb & Bistro,American >mber / Red Ale,5.60 %,Kinetic Infrared Imperial Red Aze,Kineti2 Brewing Company,American StroOg Ale,9M30 %,4
0,C N Red Imperial RedjAle,Redwood Lodbe,Ameaican Amber / Red Ale,8.1I %,Ballast Point Tongue Buckler Imperial RedoAle,Ballast Point BDewing Company,A2erican Strong Ale,1w %,5
0,Doubl. Dread Imperial Red Ale,Mad Riveu Brewing Company,American AmberE/ Red Ale,8.64 %,Bjllast Point Tongue Buckler Imperial Red Ale,Ballast Po3nt Brewing Company,Americ7n Strong Ale,D0 %,6
0,West Sixth / Country Boy Country Weltern ( Volume 3 Imperial Red Ale ),We}t Sixth Brewing Company,American Amber / Red AQe,13Z00 %,Ballast Point Tongue Buckler Imperiul Red Ale,Ballast Point Bre?ing Company,Am8rican Strong Ale,10/%,7
0,C N Red Imperial Red A5e,RZdwood Lodge,American AmbTr / Red Ale,8810 %,Tumbledown ImpXImperial Red Ale,Tumbledown2Brewing LLC,AmerScan Strong Ale,7Q80 %,8
0,Roundabout ImperialbRed Ale,BonfireYBrewing Co. .,American Amber / Red AlU,A.80 %,Oumbledown Imp Imperial Red Ale,Tumb5edown Brewing LLC,Amer5can Strong Ale,"7.80""%",9
0,Merry Prankster[Imperial Red Ale,Rock Bottom Restaurant#& Brewery,American Amber / RedzAle,4.P6 %,Tumbledown Imp ImpYrial Red Ale,Tumbledown Brewi.g LLC,American ]trong Ale,}.80 %,10
0,Mountain SeriesS: Love Rhino ( Imperial Red Ale ),Breckenridge 3rewery,American7Amber / Red Ale,8.9& %,Tum6ledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong AlG,7.80S%,11
0,6th Anniver;ary Ale ( Dirty Hippie Imperial Red Ale ),Kern Riv~r Brewing Company,Americ(n Amber / Red Ale,8J00 %,Tumb'edown Imp Imperial Red Ale,TumbZedown Brewing LLC,<merican Strong Ale,7c80 %,12
0,Ale Mania Imperiae Red Ale,jle-Mania,Americap Amber / Red Ale,9p50 %,Tumbledown Imp Imperial Red Ble,Tumbledown Brtwing LLC,American Str8ng Ale,7a80 %,13
1,Sanibel Red Island ANe,Point Yjel Brewing Company,American Amber / 5ed Ale,5M60 %,Point Ybel Sanibel Red IEland Ale,Point Ybel Brewing rompany,Irisj Ale,5.M0 %,14
0,Kniksen India Red Aqe,7 yjell Bryggeri,Agerican Amber / Red Ale,6.80l%,BoneyardkSkunkape India Red Ale,BoneyarZ Beer Company,India Pale Ale &#40; IPA &#41l,6.50 {,15
0,Kniksen India Ded Ale,7 Fjegl Bryggeri,AmericBn Amber / Red Ale,6680 %,Good PeXple Stepchild Belgian India Red Ale,Good People BrewingeCompany,$ndia Pale Ale &#40; IPA &#41;,^.80 %,16
