label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,98
1,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,223
1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,184
1,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,205
1,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,68
1,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,147
1,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,79
1,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,248
1,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,233
1,River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.10 %,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,126
1,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,27
1,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 %,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,12 %,17
1,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,220
1,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 %,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,104
1,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 %,53
1,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,114
1,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,144
1,My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 %,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 %,129
1,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,69
1,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,-,87
1,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,66
1,Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 %,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,6.50 %,85
1,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 %,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 %,190
1,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,177
1,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %,Americas American Red Ale,Americas Brewpub,Amber Ale,-,64
1,Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 %,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,214
1,Dream Of The 90 's,Prohibition Pig,American Amber / Red Ale,6.10 %,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-,138
1,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,Fuller_s Traitor_s Gate,Fuller_s,Bitter,4.50 %,0
1,Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 %,Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,-,95
1,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,225
