label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,a cost model for query processing in high dimensional data spaces,christian böhm,acm trans . database syst .,2000,automatic subspace clustering of high dimensional data for data mining applications,"rakesh agrawal , johannes gehrke , dimitrios gunopulos , prabhakar raghavan",international conference on management of data,1998,6419
0,information director 's message,alberto o. mendelzon,sigmod record,2000,information visualization,"tiziana catarci , isabel f. cruz",acm sigmod record,1996,11579
0,"a response to r. camps ' article `` domains , relations and religious wars ''",c. j. date,sigmod record,1996,"in reply to domains , relations and religious wars",hugh darwen,acm sigmod record,1996,10492
0,stream processing of xpath queries with predicates,"ashish kumar gupta , dan suciu",sigmod conference,2003,hypergraph based reorderings of outer join queries with complex predicates,"gautam bhargava , piyush goel , bala iyer",international conference on management of data,1995,6910
0,watermarking relational databases,"rakesh agrawal , jerry kiernan",vldb,2002,vxmlr : a visual xml-relational database system,"aoying zhou , hongjun lu , shihui zheng , yuqi liang , long zhang , wenyun ji , zengping tian",very large data bases,2001,5763
0,"olap , relational , and multidimensional database systems",george colliat,sigmod record,1996,materialized views selection in a multidimensional database,"elena baralis , stefano paraboschi , ernest teniente",very large data bases,1997,8232
0,thémis : a database programming language handling integrity constraints,"anne doucet , véronique benzaken",vldb j.,1995,the role of integrity constraints in database interoperation,"mark w. w. vermeer , peter m. g. apers",very large data bases,1996,864
0,query optimization for selections using bitmaps,ming-chuan wu,sigmod conference,1999,query optimization at the crossroads,surajit chaudhuri,international conference on management of data,1997,1956
0,predator : a resource for database research,praveen seshadri,sigmod record,1998,the microsoft database research group,"david lomet , roger barga , surajit chaudhuri , paul larson , vivek narasayya",acm sigmod record,1998,11998
0,a graphical query language for mobile information systems,ya-hui chang,sigmod record,2003,a hypertext query language for images,li yang,acm sigmod record,1994,8770
0,m-tree : an efficient access method for similarity search in metric spaces,"paolo ciaccia , pavel zezula , marco patella",vldb,1997,near neighbor search in large metric spaces,sergey brin,very large data bases,1995,11889
