label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
1,webview materialization,"nick roussopoulos , alexandros labrinidis",sigmod conference,2000,webview materialization,"alexandros labrinidis , nick roussopoulos",international conference on management of data,2000,4175
1,the aggregate data problem : a system for their definition and management,"leonardo tininini , antonia bezenchek , maurizio rafanelli",sigmod record,1996,the aggregate data problem : a system for their definition and management,"m. rafanelli , a. bezenchek , l. tininini",acm sigmod record,1996,4905
1,implementing crash recovery in quickstore : a performance study,"seth j. white , david j. dewitt",sigmod conference,1995,implementing crash recovery in quickstore : a performance study,"seth j. white , david j. dewitt",international conference on management of data,1995,9718
1,oracle rdb 's record caching model,"richard frank , gopalan arun , richard anderson",sigmod conference,1998,oracle rdb 's record caching model,"richard anderson , gopalan arun , richard frank",international conference on management of data,1998,1781
1,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",international conference on management of data,2001,2025
1,overview of the stanford real-time information processor ( strip ),"brad adelberg , ben kao , hector garcia-molina",sigmod record,1996,overview of the stanford real-time information processor ( strip ),"brad adelberg , ben kao , hector garcia-molina",acm sigmod record,1996,9146
1,"tcp-d - the challenges , issues and results",ramesh bhashyam,sigmod record,1996,"tpc-d-the challenges , issues and results",ramesh bhashyam,acm sigmod record,1996,3847
1,inferring function semantics to optimize queries,"mitch cherniack , stanley b. zdonik",vldb,1998,inferring function semantics to optimize queries,"mitch cherniack , stanley b. zdonik",very large data bases,1998,5590
1,databases and visualization,daniel a. keim,sigmod conference,1996,databases and visualization,daniel a. keim,international conference on management of data,1996,1307
1,maintaining database consistency in presence of value dependencies in multidatabase systems,"michèle cart , claire morpain , jean-françois pons , jean ferrié",sigmod conference,1996,maintaining database consistency in presence of value dependencies in multidatabase systems,"claire morpain , mich &#233; le cart , jean ferri &#233; , jean-fran &#231; ois pons",international conference on management of data,1996,6182
1,a transaction replication scheme for a replicated database with node autonomy,"david wai-lok cheung , ada wai-chee fu",vldb,1994,a transaction replication scheme for a replicated database with node autonomy,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994,6088
