ltable_id,rtable_id
1953,11438
2029,14035
941,798
941,2805
941,4720
941,12221
941,12779
941,15836
1837,13677
2422,8663
1832,432
1044,3009
599,556
599,19773
1888,6729
1936,11295
1589,2645
1589,20790
2090,7295
1298,8455
1282,1240
470,2958
7,1303
1424,14148
492,12502
492,14430
302,16641
302,16807
1315,20251
1315,21112
502,5421
502,11435
2471,4728
2471,19283
1298,8455
1903,10674
490,12536
348,1187
348,1189
348,3179
348,11140
348,19614
348,20179
1473,3250
2369,4356
600,12881
463,11440
1803,6872
2516,20309
2147,14227
