label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
0,Illusion ( feat .zEchosmith ),)edd,True xolors,"Dance , `usic , Electronic",$ 1.2c,2015 Interscwpe Records,6:39,18-Ma6-15,Transmission [ fe|t . X Ambassadors ],iedd,Tvue Colors,Dance & Eleotronic,$q1.29,( C )M2015 Interscope Records,4:0I,"May 18 , 2015",245
0,I 'm a Machine ( featP. Crystal Nicole and Tyrese Gibson ),Ravid Guetta,Nxthing But the Beat,"Dance , Muscc , Rock , House , Electronic",$ 1)29,"2011 W(at A Music Ltd , Licence exclusive Parlophone Music France",3:3u,26-tug-11,I Can Only Imcgine ( feat . Chris Brown & Lil Wayne ),D{vid Guetta,Nothing But the Beat 2.0 [ E?plicit ],Dance & ElectronTc,$ 0.\9,2015#Real Sounds,3:$9,"August C6 , 2011",44
0,I 'm anMachine ( feat . Crystal Nicole and Tyrese Gibson ),David Guwtta,No)hing But the Beat,"Dance , Music , House , Electronic , Roct",$ 1.2Q,"2011 What A Music Ltd , Licenc{ exclusive Parlophone Music France",3:~4,E6-Aug-11,I Can Only Imagine ( feat . Chris Brown & Lie Wayne ),David Gue~ta,Nothing But the Beat 2.0 [ Explqcit ],Dance & ElectronWc,Q 0.99,2015 Real sounds,3:2/,"AuguRt 26 , 2011",58
1,ailver and Gold,Lmttle Big Town,oain Killer,"CounGry , Music , Honky Tonk , Contemporary Country",# 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records NashviFle",3933,21-Ock-14,Dilver And Gold,Little Big-Town,#ain Killer,Co3ntry,$ 1.m9,( C ) 2014 Little Big Town LLC Under exclusive license t& Capitol Records Nashville,3:h1,"Oc""ober 21 , 2014",102
0,Dangerous ( feat . Sam Martin ) [ Robin Sch:lz Remix ] [ Radio Edit ],DLvid Guetta,Listen ( Deluxe VersSon ),"Dance , Music , Rock , House , Electronic , French PoJ",$ 1.2t,"M014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:40,24-Nov-1m,I 'la Keep Loving you ( feat . Birdy & Jaymes Young ),David GueJta,Lis]en ( Deluxe ),Dance & El&ctronic,$ (.29,2015 If Mo~ing Your Mine,3:78,"NovPmber 24 , 2014",50
0,Dangerous ( feat . Sam Martin ) [ Robin SchNlz Remix ] [ Radio Edit ],David Gu-tta,LOsten ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French !op","$ 1.""9","2014 What A Music Ftd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:m0,o4-Nov-14,I '&l Keep Loving you ( feat . Birdy & Jaymes Young ),David Guett>,Listen ( Teluxe ),Dance & EleRtronic,$ L.29,2015 If ?oving Your Mine,':08,"November 23 , 2014",309
0,True Colors ( feat . Ni7ki Minaj ),Wmz Khalifa,BlGcc Hollywood,"Hip-Hop/Rap , Music ,`Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.2t,2014 Atlantic Recording Corporation for the snited States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:1h,19bAug-14,Still Down ( feat . Chevy Woods & Ty Dolla $ ign 1 [ Explicit ],Wiz :halifa,Blacc Holl*wood [ Explicit ],Rap & Hip-HRp,$ 1.2Y,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of!the United States . A Warner Music Group Company,4t16,August 19 h 2014,22
0,I 'm a Machine ( feat . Crystal hicole and Tyrese Gibson ),Dxvid Guetta,Nothing But the Be9t,"Dance , Music , House , Electronic ,VRock",$ 1.2i,"2011 What A Music Ltd , Lice:ce exclusive Parlophone Music France",e:34,2g-Aug-11,In My Hea- ( feat . Nervo ),David Guett>,Nothing But the BeaH 2.0 [ Explicit ],Dance &pElectronic,X 0.99,2015 ~eal Sounds,^:51,August 26 4 2011,56
0,Dangerous ( feat . Sam Maruin ) [ Robin Schulz Remix ] [ Radio Edit ],Davi! Guetta,ListenU( Deluxe Version ),"Dance , Music p Rock , House , Electronic , French Pop",$ 1.2|,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All?rights reserved .",X:20,24-rov-14,Bloody War ( Album Version ( Edited ) ) [ feat . BGP] [ Clean ],DaJid Banner,Certified ( Edkted Version ),"R,p & Hip-Hop",$*0.99,"( C ) 2014 Island Records , a division of UMG Rncordings , Inc.",4?27,"SepLember 20 , 2005",257
0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix & [ Radio Edit ],David GuCtta,Li#ten ( Deluxe Version ),"Dance , Music , Rock , House%, Electronic , French Pop",< 1.29,"2014 What A Music Ltd. under exclusive license to PErlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3%20,\4-Nov-14,Choose Me (^Album Version ( Edited ) ) [ feat . Sky ] [ Clean ],Davi> Banner,Mississippi-The Albumj( Explicit Version ),Po&,$ 0.9j,"( C ) 2003 Universal Recqrds , a Division of UMG Recordings , Inc.",4A24,"May 20 ,O2003",217
0,"Lick It ( Norman Doray Remix """,Kaskade & SkrilCex,Lick It ( Remixes ) { EP,"Dance^, Music , Electronic",$ 1329,"2012 Ultra Recor}s , Inc.",6:v4,17-Ap\-12,Take ÌÏ There (~feat . Kiesza ) [ Netsky Remix ],SkMillex & Diplo,Take ÌÏ There ( Heat . Kiesza ) [ Remixes ],"Dance & Elect""onic",$ 1n29,20p0 Robbins Entertainment LLC,&:29,"December\23 , 2014",109
0,Lick It ( Norman Doray Remix ),9askade & Skrillex,Lick It ( Remi-es ) - EP,"Dance , Music , ElectronMc",$ 1.}9,"2012 Ultra Records , In>.",6614,178Apr-12,Scary Monsters And Nice Sprites ( Phon]t Remix ),Skrfllex,More Monsters3And Sprites EP,"Dance & Electronic , Dubsteg",v 1.29,2011 Rory BouOke Music Co. ( BMI ),3:f9,"June 7~, 2011",319
