ltable_id,rtable_id,label
1409,51560,0
1289,34035,0
2666,35475,1
1157,27989,0
3332,7412,0
1303,34060,0
1155,9941,0
4733,43755,0
3949,38669,0
2477,1222,0
4056,40142,0
1551,41574,0
2020,28191,0
1405,55640,0
380,33288,0
1545,41588,0
4236,27814,0
4734,31604,0
1236,50715,0
4823,20588,1
1168,34894,0
1202,28013,0
210,19800,0
3376,7414,1
5712,35057,1
303,22290,0
3346,37611,0
6764,51438,1
2021,28403,0
1084,9523,0
1204,28025,0
1828,15256,0
5147,43656,0
2694,17169,0
592,43689,1
2479,33786,1
1542,41590,0
5001,3099,1
2021,28279,0
6290,47840,0
1193,28006,0
801,29543,0
6234,13713,1
3349,7362,0
3549,19057,0
1625,27515,0
2749,17161,1
5409,20551,0
1148,7757,1
1262,34894,0
1309,34898,0
5071,34920,0
317,22283,0
467,362,1
6458,18807,1
2841,52852,0
5085,40496,0
1183,34915,0
2742,17206,0
2459,10377,0
3573,53964,0
1344,10527,0
6218,29583,1
1159,28024,0
3360,17651,0
1317,34002,0
1151,53282,1
1579,41572,0
252,52996,0
2399,29849,1
1260,34919,0
4980,20081,0
1489,3898,1
5079,40453,0
1193,27999,0
2987,37085,0
2809,28356,0
3093,22994,1
1278,34912,0
1343,6231,0
508,55899,1
6624,800,0
4761,6229,0
642,24635,1
254,49104,1
4730,17350,0
6857,39318,1
4426,43699,0
1312,28022,0
5707,37649,0
5806,6499,1
1447,41580,0
330,22285,0
1273,31286,0
4047,37547,0
1233,21564,0
2845,52867,1
205,41179,1
6430,31068,0
3259,4536,0
1655,49479,1
1264,28000,0
3944,18970,1
1312,28005,0
5682,35056,0
3413,34333,0
3321,34321,0
147,50730,1
2729,17190,0
5087,9483,0
598,43689,1
4747,5682,1
2680,27453,0
3003,8057,0
1579,41593,0
1274,31290,0
1264,28015,0
3175,42596,0
1266,34905,0
3378,7377,0
1753,37547,0
1079,9500,0
3451,7344,0
1183,31278,0
2020,28341,0
1776,33397,1
5852,32665,0
5147,43679,0
1260,54194,0
4890,35775,0
624,8814,0
2782,31534,1
3358,39320,1
1022,9526,0
6314,20460,0
4726,40156,0
1231,55245,0
1277,28012,0
1158,21574,0
836,23706,1
3850,9120,1
5059,34879,0
2022,28261,0
3327,34307,0
5208,22907,0
1263,31287,0
3312,34336,0
1542,41566,0
5082,40476,0
6532,38301,1
3324,7403,1
2731,17200,0
276,53019,0
3372,7437,0
5080,9487,0
6047,4667,1
1623,27506,0
1278,27994,0
3255,4532,0
4384,23361,1
5993,38107,0
3461,7348,0
3887,16397,1
1312,28011,0
1314,34035,0
361,37081,0
4610,26152,1
6855,7373,0
4058,40164,0
1897,51626,1
3354,17660,1
1777,20232,1
3450,34292,0
1736,10938,1
250,52970,0
110,53087,1
5827,6502,1
3449,7363,0
2490,4511,1
282,52990,0
261,53008,0
1735,10926,1
1595,52925,1
5130,37223,0
3564,19787,0
6724,17069,1
1338,42035,0
3449,34332,0
5542,10251,1
1203,27999,0
1285,34041,0
433,33307,1
251,52967,1
5030,21803,0
4715,31612,0
3450,7383,0
3414,34350,0
1263,28025,0
313,22286,0
5086,40446,0
1165,27986,0
1268,31286,0
2022,28244,0
1577,49518,0
1759,27480,0
6634,824,1
1175,34891,0
1543,41585,0
1784,11758,0
4733,31618,0
3407,7387,0
3270,49156,0
1275,28013,0
5062,34901,0
3864,8306,1
5215,44681,0
4053,31610,0
2901,21458,1
341,27491,0
1345,42034,0
2744,17201,0
3452,34321,0
582,378,1
2809,44223,0
1279,34874,0
5702,37654,1
2962,22498,0
1299,34007,0
6345,18442,0
4736,30405,0
2862,22966,0
2222,815,1
1347,42021,0
