ltable_title,ltable_description,ltable_brand,ltable_specTableContent,rtable_title,rtable_description,rtable_brand,rtable_specTableContent,label,pair_id
apogee element 46 woodbrass portugal,element 46 is great for any collaborating musician recording at home on the go or in a small project studio with 4 analog inputs including 4 world class mic preamps 2 headphone outputs and stereo speaker outputs element 46 is the perfect upgrade from an entry level audio interface main features 12 in x 14 out thunderbolt audio i o box ad da conversion for recording up to 192khz 24 bit 4 analog inputs with world class mic preamps and selectable 48v phantom power for connecting microphones instruments or line level devices 6 analog outputs 2 balanced l r xlr outputs 2 1 4 stereo headphone output single port thunderbolt connectivity to mac for ultra low latency performance 1 41ms round trip at 96khz with a 32 buffer setting optical in supports adat smux s pdif adat 8 channels 44 1 48 khz on 1 toslink connector smux 4 channels 88 2 96 khz on 1 toslink connector s pdif 2 channels up to 192 khz on 1 toslink connector optical out supports adat smux s pdif adat 8 channels 44 1 48 khz on 1 toslink connector smux 4 channels 88 2 96 khz on 1 toslink connector s pdif 2 channels up to 192 khz on 1 toslink connector word clock in out via bnc connections for syncing with other digital audio gear element control software for mac provides all control of hardware parameters including input gain output level and low latency monitoring element control mobile app provides wireless remote control of hardware via iphone ipad or ipod touch works with apogee control optional desktop hardware remote control sold separately multi unit thunderbolt support connect any two element audio i o boxes directly to thunderbolt ports on your computersystem requirementsmac os computer thunderbolt equipped mac imac macbook pro macbook air mac pro memory 4 gb ram minimum 8 gb recommended os 10 10 or greater connection any available thunderbolt port power dc power supply included thunderbolt cable not includedcompatible software any mac core audio compatible application recommended apps logic pro pro tools ableton live garageband mainstage final cut digital performer studio one cubase and nuendoin the box element 46 universal power supply with standard 3 pin iec cable quick start guide warranty bookletdimensions and weight 29 5cm x 14cm x 4 5cm 11 5 x 5 5 x 1 75 1 34kg 2 95lbs,apogee,,startech displayport to hdmi 4k audio video converter dp 1 2 hdm dp2hd4ks d ocuk,connect an hdmi monitor to a displayport video source,startech,,0,3040684#4172444
"null , 454141 002 hp 500 gb 7 2k 3 5 sata 10 pack wholesale price 10pack",description 10 x 500gb hot plug serial ata sata 1 5gb s hard drive 7200 rpm 3 5 inch form factor 1 0 inch high ncq native command queing in hpe hot plug hard drive tray as pictured for g1 g7 proliant sata serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 395473 b21 spare part 395501 002 assembly part 454141 002 model gb0500c8046,hp enterprise,specifications category proliant harddrive sub category 7 2k generation sata part number 454141 002 10pack products id 1455625 type hard drive hot swap form factor 3 5 inches capacity 500gb interface type serial ata 150 connector 22 position serial ata sata plug data transfer rate 150mb s spindle speed 7200rpm package qty 10,"st31000640ns seagate 1 tb 7 2k 3 5 sata hdd , null new wholesale price",description 1 0tb seagate barracuda es 2 hot plug serial ata sata 3 0gb s 7200 rpm 3 5 inch form factor lff hard drivepart number s seagate model st31000640nsalternate part st31000340ns,seagate,specifications category seagate harddrive sub category 7 2k generation sata part number st31000640ns products id 458408 hot swap tray not included capacity 1tb form factor 3 5 inches x 1 3h interface serial ata data transfer rate 320mb s average seek time 8 5ms rotational speed 7200rpm manufacturer seagate pre failure warranty yes,0,13889537#15266793
startech com pcie 300 mbps wireless n network adapter 802 11n g 2t2r overview cnet,,startech,,tarjeta pci express red wifi n tradineur com,tipologia interfaz lan wireless conector puerta lan wifi velocidad lan 300 mbps bus de sistema pci express wake on lan s alimentaci n por medio del bus s,,,1,16075531#1796859
placa som asus xonar essence stx ii 7 1 90ya00nn m0ua00 pcdiga,placa de som com 7 1 canais e qualidade hi fi com 124db snr e amplificador de topo para auscultadores qualidade de udio 124db snr signal to noise ratio de topo herdada da revolucion ria e amplamente elogiada xonar essence st stxlat ncia ultrareduzida com o fonte de rel gio tcxo premiumfonte de alimenta o est vel e consistente gra as aos reguladores ldo low dropout de alta fidelidade e condensadores wima para um som inigual velamplificador de topo para auscultadores suportam uma imped ncia at 600ohm com ganhos adicionais para monitores de ouvido iems in ear monitors o kit de troca op amp exclusivo inclui tr s op amps e ferramentas para f cil afina o dos tonsos op amps muses conhecidos proporcionam uma musicalidade realistaultra fidelidade 120db snr com sa da para 7 1 canais atrav s da daughterboard exclusivamantendo o esp rito e filosofia audi fila vivaquatro anos depois da estreia da essence stx durante muito tempo detentora da 1 posi o do segmento das placas de som head fi s atrav s da vota o de utilizadores altamente satisfeitos a n vel global a asus permanece comprometida a proporcionar placas de som de topo ainda melhores para satisfazer os audi filos ainda mais exigentes atrav s dos anos de experi ncia no desenvolvimento da essence one essence stu e essence iii a essence stx ii oferece um design meticuloso uma performance quintessencial e uma musicalidade profunda elementos que moldam o esp rito de toda a s rie da essence hi fi a qualidade de udio lend ria acabou de ficar melhor snr de 124db de topoa essence stx ii proporciona uma clareza de udio de topo com 124db de snr uma qualidade invej vel herdada da placa de som essence stx revolucion ria e amplamente elogiada e at 64 vezes 64x melhor que o hardware de udio habitualmente incorporado nas motherboards a sa da dos auscultadores alcan a uns fant sticos 120db de snr lat ncia ultra reduzidaum rel gio de elevada precis o crucial para os audi filos os circutios integrados s o suscept veis a calor e altera es de temperatura e por isso que a essence stx ii inclui uma fonte de rel gio com oscilador de compensa o t rmica de cristal tcxo de topo uma tecnologia de medi o de tempo ultra precisa que garante uma lat ncia ultra reduzida fonte de alimenta o est vel e consistentea essence stx ii usa uma liga o de energia molex com quatro pinos dedicada em vez de obter a sua energia a partir da ranhura de expans o como acontece com outras placas e isto significa um fornecimento de electricidade mais est vel o fornecimento de energia optimizado garantido atrav s de reguladores ldo low dropout de alta fidelidade sem precedentes na ind stria das placas de som al m disso os condensadores wima bastante apreciados por audi filos fornecem um som equilibrado op amps musesa musicalidade profunda que os ouvintes da essence esperam encapsulada pelos op amps muses 8920 e muses 8820 que fornecem uma tonalidade realista e uma imagem de som espa osa 7 1 canais de som surround f ceis de adaptar e de personalizarexclusivo essence stx ii 7 1 encontra se uma daughterboard multicanal que proporciona 7 1 canais de som surround com sa das com 120db de snr de alta fidelidade esta daughterboard f cil de encaixar encaixa se numa ranhura adjacente essence stx ii 7 1 por isso a instala o n o podia ser mais conveniente cada canal totalmente personaliz vel com nove ranhuras op amp troc veis proporcionando aos audi filos liberdade total para criarem a experi ncia de som surround perfeita para os seus ouvidos e ambientes auditivos amplificador de topo para auscultadoreso amplificador para auscultadores suporta at 600ohm de imped ncia para que os audi filos possam ligar os melhores auscultadores de elevada imped ncia para desfrutarem da qualidade pura fornecida pelo essence stx ii controlo de ganho para os auscultadoresos engenheiros da asus equiparam a essence stx ii com um controlo de ganho adicional concebido especialmente para auscultadores iem de alta sensibilidade que permitem aos m sicos e puristas de udio usar auscultadores que canalizam a sa da de udio directamente para o canal auditivo isolando o ru do ambiente para uma audi o que requer uma concentra o sem perturba es tr s ranhuras op amp troc veisa essence stx ii beneficia de ranhuras op amp troc veis que permitem aos utilizadores criar timbres e combina es de tons diferentes kit de troca op amp adicionala essence stx ii at vem com um kit troc vel que inclui tr s op amps adicionais dois texas instruments lme49720s e um muses 8820 e um grampo que facilita a remo o dos microchips op amp compatibilidade bus pci expressperformance udio rela o sinal ru do na sa da sa da frontal 124 dbsinal para ru do de sa da a weighted sa da para auscultadores 120 dbsinal para ru do de entrada a weighted sa da para auscultadores 118 dbsa da thd n a 1khz frontal 0 0003 110 db sa da thd n a 1khz headphones 0 001 100 db frequ ncia de resposta 3db 16bit 44 1khz entrada 10 hz at 90 khzvoltagem de escala total vrms vp p processador udio asus av100 high definition sound processor max 192khz 24bit digital to analog converter dac ti bur brown pcm1792ataxa de amostragem e resolu o taxa de amostra e resolu o em anal gico 44 1k 48k 96k 192khz 16bit 24bitanalog recording sample rate and resolution 44 1k 48k 96k 192khz 16bit 24bits pdif digital output 44 1k 48k 96k 192khz 16bit 24bitasio driver support 44 1k 48k 88 2k 96k 176 4k 192khz 16bit 24bitconectividade ficha para sa da anal gica 1 x 6 3 mm jack 1 4,asus,,gigabyte amd radeon rx 550 2gb d5 graphics card ln80158 gv rx550d5 2gd scan uk,2gb gigabyte radeon rx 550 d5 14nm polaris 512 streams 1183mhz gpu 7000mhz gddr5 dp hdmi dvi d dl,,,0,4630893#1221565
"500658 b21 hp 4gb 1x4gb pc3 10600 rdimm , null new wholesale price",description genuine hpe 4gb 1x4gb pc3 10600 registeredcas 9 dual rank x 4 dram memory kitpart number s option part 500658 b21 1 module per kit spare part 501534 001 1 module per kit assembly part 500203 061 1 module per kit,hp enterprise,specifications category proliant memory sub category genuine hp memory generation 1333mhz part number 500658 b21 products id 455468 storage capacity 4gb 1 x 4gb technology ddr3 dram form factor dimm 240 pin memory speed 1333mhz pc3 10600r 9 application server memory server model hp proliant compatibility hp proliant servers manufacturer hewlett packard hp serial number yes hp logo yes guaranteed genuine hp yes 500658 b21 compatible servers bl280c g6 g7 bl460c g6 g7 dl1000 dl160 g6 g7 dl160se g6 g7 dl170h dl180 g6 g7 dl320 g6 g7 dl360 g6 g7 dl370 g6 g7 dl380 g6 g7 ml150 g6 g7 ml330 g6 g7 ml350 g6 g7 ml370 g6,hpe ddr2 4 gb 2 x dimm 240 pin 497765 b21 server memory cdw com,hp server memory options can increase and improve the functionality of your existing servers and data centers infrastructure matters it s the foundation for all the information and applications of your business you trust proliant quality for its reliability and performance to keep your infrastructure running server memory is one of the most critical components even the slightest defect can result in downtime that could shut down your business choose hp server memory options for the same quality integration reliability and confidence that come with proliant hp proliant server memory is an hp qualified option which means every genuine hp dimm has been through our rigorous qualification process to ensure its compatibility performance and reliability find the ideally compatible hp memory upgrades and options for your proliant server with the hp memory finder,,,0,17123568#14153220
"null , 359461 005 hp 72 8 gb 10k fc al",description 2 x storageworks 72 8gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart option part 238921 b21 spare 244448 002 assembly 359461 005 model bd0725822b 5 fe 19980 01,hp enterprise,specifications category storageworks hdd sub category 10k generation fibre channel part number 359461 005 2pack products id 463764 type hard drive hot swap form factor 3 5 inch x 1 inch plug in module capacity 72 8gb interface type fc al data transfer rate 2gb s rotational speed 10000rpm pins 40 manufacturer hp compaq pre failure warranty yes,"null , 359461 005 hp 72 8 gb 10k fc al new 2 pack wholesale price 2pack",description 2 x storageworks 72 8gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart number s option part 238921 b21 spare part 244448 002 assembly part 359461 005 model bd0725822b 2 5 2 part fe 19980 01,hp enterprise,specifications category storageworks hdd sub category 10k generation fibre channel part number 359461 005 2pack products id 463764 type hard drive hot swap form factor 3 5 inch x 1 inch plug in module capacity 72 8gb interface type fc al data transfer rate 2gb s rotational speed 10000rpm pins 40 manufacturer hp compaq pre failure warranty yes,1,13267395#9221841
"corsair vengeance memory 4 gb dimm 240 pin ddr3 series , prices cnet",,corsair microsystems inc,,crucial 4gb 1x4gb ddr3l ddr3 pc3 12800 1600mhz so dimm module ct51264bf160b novatech,ddr3 ddr3l 1600mhz cl11 1 35v 1 50v lifetime warranty,crucial,memory type ddr3 pc3 12800 capacity 4gb 1 x 4gb tested speed 1600mhz tested latency 11 11 11 28 tested voltage 1 35v or 1 50v dual voltage registered unbuffered unbuffered error checking non ecc memory features n a,0,783417#2486393
gigabyte brix gb bki5ha 7200 intel core i5 kabylake ddr4 mini pc min ocuk,the new brix barebones raise the bar once again with the new intel 7th gen core processor family delivering more responsive performance than ever before,gigabyte,,gigabyte gb bki5ha 7200 brix s,ordenador minipc nettop i5 7200u hd620 wifi ac 2xusb 3 0 2xusb 3 1 hdmi 2 0 mdp sin so ram disco 2xsodimm ddr4 1xm 2 1x2 5 sata3,,dimension 46 8 mm x 112 6 mm x 119 4 mm 1 84 x 4 43 x 4 7 motherboard size 105 x 110 mm cpu intel core i5 7200u 2 5ghz 3 1ghz memory 2 x so dimm ddr4 slots 2133mhz max 32gb lan gigabit lan intel i219lm audio realtek alc255 graphics intel hd graphics 620 hdmi resolution max 3840 x 2160 60hz hdmi 2 0 and hdcp 2 2 mini dp resolution max 3840 x 2160 60hz expansion slots 1 x m 2 slot 2280 storage pcie sata 1 x pcie m 2 ngff 2230 a e key slot occupied by the wifi bt card front i o 1 x usb 3 1 type c 1 x usb3 1 1 x head phone jack with mic rear i o 1 x hdmi 2 0 1 x mini displayport 1 2 2 x usb 3 0 1 x rj45 1 x dc in 1 x kensington lock slot power supply input ac 100 240v output dc 19v 3 42a vesa bracket included supports 75 x 75 and 100 x 100 mm wifi card intel dual band wireless ac 3168 usb3 1 asmedia storage supports 2 5 hdd ssd 7 0 9 5 mm thick 1 x 6 gbps sata 3 support os win10 64bit environment system environment operating temperature 0 c to 35 c system storage temperature 20 c to 60 c,1,8799594#11124393
2 5 inch 800gb sata 3 intel data center s3710 enterprise ssd ln62837 ssdsc2ba800g401 scan uk,800gb intel dc s3710 2 5 ssd sata 3 0 6gb s 20nm mlc read 550mb s write 460mb s 85k read 39k write iops,,,intel solid state drive dc s3710 series 800 gb sata ssdsc2ba800g401 drives ssds cdw com,the intel solid state drive data center family for sata extends with the intel ssd dc s3710 series the intel ssd dc s3710 series offers the next generation of data center ssds optimized for write intensive performance with high endurance and strong data protection,,,1,17546564#14426098
tarjeta memoria micro secure digital sdxc 64gb uhs i clase 10 300x premium adaptador sd transcend,,,,kingston flash memory card 64 gb sdxc uhs i sd10vg2 64gb cards cdw com,this card is designed to be fast with reduced buffer time between shots making it ideal for cinema quality full hd video and 3d video you can take it anywhere with confidence that your photos videos and other data will be protected even in harsh or unstable conditions,,,0,13523941#16482720
