ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
Home Sweet Home ( feat . Vince Neil ),Justin Moore,Nashville Outlaws : A Tribute to MÌ ¦ tley CrÌ_e,"Country , Music",$ 1.29,"‰ ãÑ 2014 Big Machine Records , LLC .",3:50,19-Aug-14,Say ( All I Need ),OneRepublic,Dreaming Out Loud,Pop,$ 1.29,( C ) 2007 Mosley Music/Interscope Records,3:50,"November 20 , 2007",0
Through the Ghost,Shinedown,The Studio Album Collection,"Rock , Music",$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:01,8-Nov-13,Catching Cold,Andrew McMahon,The Pop Underground EP,Pop,$ 1.29,( C ) 2013 Left Here Music,4:01,"April 30 , 2013",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,1-Jun-15,C'mon ( Catch 'em By Surprise ) Extended Mix ( feat . Busta Rhymes ),Caribou Vibration Ensemble,Caffeine for Your Ears,Dance & Electronic,$ 0.99,Caribou Vibration Ensemble,5:13,,2
Hourglass ( feat . Jessica Sanchez ) [ iTunes Session ],Zedd,iTunes Session - EP,"Dance , Music",$ 1.29,2013 Interscope Records,3:42,19-Nov-13,Look At Me Now ( Clean Version ) [ Clean ],Alyxx Dione feat . Jason Derulo,Chris Brown and More,Pop,$ 1.29,( C ) 2008 Chris Young,3:42,,3
Upside Down,Tori Kelly,Handmade Songs By Tori Kelly - EP,"Pop , Music , Rock",$ 0.99,2012 Toraay Records,3:19,1-May-12,Sexy And I Know It,Black Submarine,New to Prime : Pop,"Alternative Rock , Rock",$ 1.29,2013 Black Submarine,3:19,,4
Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High - Deluxe Bonus - EP,"Alternative , Music , Punk , Rock , Adult Alternative",$ 0.99,2007 The Island Def Jam Music Group,3:32,20-Nov-07,Adrenaline [ Clean ],Blake Shelton,Bass Drops & Fist-Pumps,Country,$ 0.89,( c ) 2004 Los Cangris Music,3:32,,5
That 's What I Like ( feat . Fitz ),Flo Rida,My House,"Hip-Hop/Rap , Music , Rap",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:15,7-Apr-15,Do It Everyday,Mndr,Dance 4 A Dollar,Dance & Electronic,$ 0.99,2015 Fool 's Gold Records,3:15,"February 24 , 2015",6
What If,Jason Derulo,Jason Derulo ( Deluxe Version ),"Pop , Music , R&B / Soul,Rock,Hip-Hop / Rap , Rap , Contemporary R&B , Dance",$ 1.29,‰ ãÑ 2010 Warner Bros. . Records Inc. for the U.S. and WEA International Inc. for the world outside the U.S.,3:22,26-Feb-10,Border Song,Elton John,Elton John ( Remastered Version ),"Soft Rock , Pop",$ 1.29,( C ) 1995 Mercury Records Limited,3:22,"February 20 , 1996",7
Whip ( Bonus Track ),Famous to Most,Furious 7 ( Original Motion Picture Soundtrack ),"Soundtrack , Music",$ 1.29,This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:40,17-Mar-15,Cool ( Album Version ),deadmau5,50 Great Summer Songs,Dance & Electronic,$ 1.29,( C ) 2015 Chrome Dreams,3:40,,8
The Edge of Glory ( Live from `` A Very Gaga Thanksgiving '' ),Lady Gaga,A Very Gaga Holiday ( Live ) - EP,"Pop , Music , Dance , Rock , Pop/Rock , R&B / Soul , Holiday",$ 1.29,2011 Interscope Records,4:52,22-Nov-11,N.Y. State Of Mind ( Explicit Album Version ),Calvin Harris feat . HAIM,Pre-game Throwback,Dance & Electronic,$ 0.99,"( C ) 2015 Third Pardee Records , LLC under exclusive license to Interscope Records in the United States",4:52,,9
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15,Girl Of The Summer,Kip Moore,Wild Ones ( Deluxe ),Country,$ 1.29,"( C ) 2015 MCA Nashville , a Division of UMG Recordings , Inc.",3:56,"August 21 , 2015",10
U.N.I. ( Live ),Ed Sheeran,iTunes Festival : London 2011 - EP,"Singer/Songwriter , Music",$ 1.29,2011 Warner Music UK Limited,3:18,11-Jul-11,Like A Wrecking Ball,Midifine Systems,Best of Prime Music,Pop,$ 1.29,( c ) 2013 MIDIFine Systems,3:18,,11
Tomahawk,Chris Janson,Tomahawk - Single,"Country , Music",$ 1.29,2013 Bigger Picture LLC/Better I Do n't LLC,3:52,15-Oct-13,Whatever U Like ( Vocals Up ) [ feat . T.I. ] [ Clean ],Nicole Scherzinger,Whatever U Like ( Edited ),Pop,$ 1.29,( C ) 2007 Interscope Records,3:52,"August 28 , 2007",12
Good To Be Alive ( Hallelujah ),Andy Grammer,Good To Be Alive ( Hallelujah ) - Single,"Pop , Music",$ 1.29,2015 S-Curve Records,3:09,24-Aug-15,Wild Child ( [ with Grace Potter ] ),Kenny Chesney,The Big Revival,Country,$ 1.29,2008 dirtybird,3:09,"September 22 , 2014",13
"Goodnight , Hollywood Blvd. .",Ryan Adams,Gold,"Rock , Music",$ 1.29,"2014 UMG Recordings , Inc.",3:24,30-Sep-14,Love me 2,Caspa Houzer,DJ Caspa Houzer - Best Of,"Electronica , Dance & Electronic , House",$ 0.99,BGM-MB,3:24,"May 28 , 2012",14
Speakers,Sam Hunt,Montevallo,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",$ 1.29,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",3:46,27-Oct-14,Forget Forever ( STå # FAN Remix ),Selena Gomez,For You,Pop,$ 1.29,"( C ) 2014 Hollywood Records , Inc.",3:46,"November 24 , 2014",15
