ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
instant immersion language lab deluxe edition,topics entertainment,,instant immersion 33 languages,topics entertainment,43.99,0
creating keepsakes scrapbook designer version 2 platinum,riverdeep-learning-company,39.99,scrapbook designer platinum,riverdeep-learning-company,17.9,1
studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99,middle school math & science,global-software-publishing,12.9,2
studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99,middle school math & science,global-software-publishing,12.9,3
quicken 2007 premier,intuit,79.95,quicken 2007 premier win cd,intuit,73.99,4
internet cleanup 4.0 mac os 10.4 or higher,smith-micro-software,29.99,allume internet cleanup 4.0,smith-micro-software,29.99,5
instant immersion italian deluxe v2 .0 ( large box ),topics entertainment,29.99,instant immersion italian 2.0,topics entertainment,20.99,6
totally spies : zombie jamboree ( win/mac ),brighter-minds-media-inc .,9.95,totally spies zombie jamboree by brighter minds,brighter-minds-media-inc .,9.99,7
instant immersion spanish audio deluxe,topics entertainment,39.95,topics entertainment 40248 instant immersion spanish audio book audio book,topics entertainment,23.61,8
ibm viavoice advanced v. 10,nuance-communications-inc .,,nuance communications inc. ibm viavoice advanced v. 10,nuance-communications-inc .,57.54,9
humorous greeting card factory,nova development,29.99,nova development ghw humorous greeting card factory,nova development,29.99,10
emedia intermediate guitar method os x,emedia,59.99,emedia eg04025 intermediate guitar method complete package,emedia,53.99,11
aquazone bass edition,smith-micro-software,19.99,allume aquazone bass edition,smith-micro-software,19.99,12
jumpstart reading with karaoke,knowledge adventure,29.99,knowledge adventure 20033 jumpstart reading with karaoke,knowledge adventure,19.99,13
photoshop elements 4 edu mac 1u,adobe-education-box,69.0,adobe photoshop elements 4.0 mac academic,adobe-education-box,69.99,14
punch ! master landscape & home design,punch ! software,99.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99,15
punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape and home design,punch software,45.99,16
punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape and home design,punch software,45.99,17
punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape and home design,punch software,45.99,18
punch ! master landscape & home design,punch ! software,99.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99,19
punch ! master landscape & home design,punch ! software,99.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99,20
