label,ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,id
1,"S. Fahlman and C. Lebiere,",in Advances in Neural Information Processing Systems,1990.,"(D. Touretzky, ed.),",,,,,"(San Mateo),","pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"vol.2,",,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@327#1@385
1,"Fahlmann, Scott, C. Lebiere.",in Advances in Neural Information Processing,,,"Los Altos, CA.",,,,,pp. 524-532.,Morgan Kaufmann Publishers:,,The Cascade-Correlation Learning Architechture.,,2 .,,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@336#1@385
0,"Aha, D. W., Kibler, D. & Albert, M. K.",,,,,,"Machine Learning 6(1),",,,pp. 37-66.,,,"Instance-based learning algorithms,",,,"(1991),","S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@593#1@385
1,"Fahlman, S., & Lebiere, C.","Advances in Neural Information Processing Systems,",(1989).,"In Touret-zky, D. (Ed.),","San Mateo, CA.",,,,,"pp. 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"Vol. 2,",,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@303#1@385
0,S. E. Fahlman.,,1974.,,,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@65#1@385
0,Paul E. Utgoff and Carla E. Brodley.,"In Proceedings of the Seventh International Conference on Machine Learning,",,,"Los Altos, CA,",,,,,"pages 58-65,",Morgan Kauf-mann.,,An incremental method for finding multivariate splits for decision trees.,,,1990.,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@1757#1@385
1,"Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,","San Mateo, CA.",,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@250#1@385
1,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@383#1@385
1,S. E. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D. S. Touretsky, editor,","San Mateo, CA,",,,,,"pages 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@334#1@385
1,S. E. Fahlman and C. Lebiere.,Neural Information Processing Systems,1990.,"In D.S. Touretzky, editor,","San Mateo, CA,",,,,,pages 524-532.,"Morgan-Kauffman,",,The cascade correlation learning algorithm.,,"2,",,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,0@379#1@385
1,"S. Fahlman and C. Lebiere,",in Advances in Neural Information Processing Systems,1990.,"(D. Touretzky, ed.),",,,,,"(San Mateo),","pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"vol.2,",,Scott E. Fahlman and Christian Lebiere.,"In [22],",1990.,,,,,,38 REFERENCES,"pages 524-532,",,,The Cascade-Correlation learning architecture.,,,,0@327#1@367
