label,left_id,left_cluster_name,left_authors,left_a1,left_title,left_affiliation,left_proceeding,left_location,left_a2,left_a3,left_pages,left_editor,left_a4,left_a5,right_id,right_cluster_name,right_authors,right_a1,right_title,right_affiliation,right_proceeding,right_location,right_a2,right_a3,right_pages,right_editor,right_a4,right_a5,id
0,97,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,advances in neural information processing systems (volume 5).,"san mateo, ca.","morgan kaufmann,",(1993).,,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,,858,kearns1993b,m. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proceedings of the twenty-fifth annual acm symposium on theory of computing,",,,1993,"pages 392-401,",,,,0
0,263,freund1993b,"freund, y.",,data filtering and distribution modeling algorithms for machine learning.,university of california at santa cruz.,"phd thesis,",,,(1993).,,,,,858,kearns1993b,m. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proceedings of the twenty-fifth annual acm symposium on theory of computing,",,,1993,"pages 392-401,",,,,1
1,97,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,advances in neural information processing systems (volume 5).,"san mateo, ca.","morgan kaufmann,",(1993).,,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,,111,drucker1992,"harris drucker, robert e. schapire, and ptrice simard.",,improving performance in neural networks using a boosting algorithm.,,"in proceedings of the fifth conf. on neural informations processing systems,","san mateo, ca, 1993.",morgan kaufmann.,,,,,,2
0,61,cesa,"n. cesa-bianchi, y. freund, d. helmbold, and m.k. warmuth.",,on-line prediction and conversion strategies.,,"the 1993 ima european conference on computational learning theory,",,,1993,,,,,111,drucker1992,"harris drucker, robert e. schapire, and ptrice simard.",,improving performance in neural networks using a boosting algorithm.,,"in proceedings of the fifth conf. on neural informations processing systems,","san mateo, ca, 1993.",morgan kaufmann.,,,,,,3
1,97,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,advances in neural information processing systems (volume 5).,"san mateo, ca.","morgan kaufmann,",(1993).,,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,,98,drucker1992,"drucker, h., schapire, r., & simard, p.","5,",improving the performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,,(1993).,42-49.,,,,4
1,93,drucker1992,"h. drucker, r. schapire, and p. simard.","volume 5,",improving performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,"morgan kaufmann,",1993,pages 42-49.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,,98,drucker1992,"drucker, h., schapire, r., & simard, p.","5,",improving the performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,,(1993).,42-49.,,,,5
0,180,freund0000a,yoav freund and robert e. schapire.,,"adaptive game playing using multiplicative weights. games and economic behavior,",,,,,,,,(to appear).,,98,drucker1992,"drucker, h., schapire, r., & simard, p.","5,",improving the performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,,(1993).,42-49.,,,,6
1,97,drucker1992,"drucker, h., schapire, r., & simard, p.",,improving performance in neural networks using a boosting algorithm.,,advances in neural information processing systems (volume 5).,"san mateo, ca.","morgan kaufmann,",(1993).,,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,,107,drucker1992,"h. drucker, r. schapire, and p. simard,",,"improving performance in neural networks using a boosting algorithm,'",,"in advances in neural information processing systems 5,","san mateo, ca,",morgan kaufmann.,"1993,","pp. 42-49,","s. j. han-son, j. d. cowan, and c. l. giles, eds.,",,,7
1,98,drucker1992,"drucker, h., schapire, r., & simard, p.","5,",improving the performance in neural networks using a boosting algorithm.,,"advances in neural information processing systems,",,,(1993).,42-49.,,,,107,drucker1992,"h. drucker, r. schapire, and p. simard,",,"improving performance in neural networks using a boosting algorithm,'",,"in advances in neural information processing systems 5,","san mateo, ca,",morgan kaufmann.,"1993,","pp. 42-49,","s. j. han-son, j. d. cowan, and c. l. giles, eds.,",,,8
1,925,kearns1994b,"kearns, m. & vazirani, u.",,"an introduction to computational learning theory,",,,,mit press.,"(1994),",,,,,934,kearns1994b,"kearns, m., & vazirani, u.",,an introduction to computational learning theory.,,,,mit press.,(1994).,,,,,9
1,923,kearns1994b,m. j. kearns and u. v. vazirani.,,an introduction to computational learning theory.,,,"cambridge, massachusetts,","the mit press,",1994,,,,,934,kearns1994b,"kearns, m., & vazirani, u.",,an introduction to computational learning theory.,,,,mit press.,(1994).,,,,,10
0,925,kearns1994b,"kearns, m. & vazirani, u.",,"an introduction to computational learning theory,",,,,mit press.,"(1994),",,,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,11
0,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,12
0,435,goldman1989,"goldman, s.; rivest, r.; and schapire, r.",,learning binary relations and total orders.,,in proceedings of 30th annual symposium on foundation of computer science.,,,1989,46-51.,,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,13
0,1290,schapire1998,robert e. schapire and yoram singer.,,improved boosting algorithms using confidence-rated predictions.,,"in proceedings of the eleventh annual conference on computational learning theory,",,,1998,,,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,14
0,1046,kearns1997a,"kearns, m., mansour, y., ng, a. y., & ron, d.","27,",an experimental and theoretical comparsion of model selection methods.,,"machine learning,",,,(1997).,750,,,,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,15
