label,ltable_ele,ltable_label,ltable_lat,ltable_lon,ltable_ontology,rtable_ele,rtable_label,rtable_lat,rtable_lon,rtable_ontology,id
1,,"Scranton, Pennsylvania",,,http://dbpedia.org/,,scranton,41.4089,-75.6628,http://rdf.freebase.com/,1150#7122
0,,"Scranton, Pennsylvania",,,http://dbpedia.org/,,Kraków,50.0833,19.9167,http://sws.geonames.org/,1150#5998
0,,cortona,43.2667,11.9833,http://rdf.freebase.com/,,Kraków,50.0833,19.9167,http://sws.geonames.org/,1934#5998
0,,Cahors (France),44.4491,1.43663,http://data.nytimes.com/,,Kraków,50.0833,19.9167,http://sws.geonames.org/,617#5998
1,,Krakow (Poland),50.0833,19.9167,http://data.nytimes.com/,,Kraków,50.0833,19.9167,http://sws.geonames.org/,4455#5998
0,,"Scranton, Pennsylvania",,,http://dbpedia.org/,,Rome,41.8947,12.4839,http://sws.geonames.org/,1150#6708
1,,"Scranton, Pennsylvania",,,http://dbpedia.org/,,Scranton,41.409,-75.6624,http://sws.geonames.org/,1150#3168
1,,scranton,41.4089,-75.6628,http://rdf.freebase.com/,,Scranton,41.409,-75.6624,http://sws.geonames.org/,7122#3168
1,,"Scranton, Pennsylvania",,,http://dbpedia.org/,,Scranton (Pa),41.409,-75.6624,http://data.nytimes.com/,1150#1149
0,,El Calafate,-50.3333,-72.25,http://dbpedia.org/,,Scranton (Pa),41.409,-75.6624,http://data.nytimes.com/,493#1149
1,,Salida (Colo),38.5347,-105.999,http://data.nytimes.com/,,"Salida, Colorado",,,http://dbpedia.org/,431#432
1,,Salida (Colo),38.5347,-105.999,http://data.nytimes.com/,,salida,38.5347,-105.998,http://rdf.freebase.com/,431#5652
0,,Mumbai,19.0144,72.8479,http://sws.geonames.org/,,salida,38.5347,-105.998,http://rdf.freebase.com/,3928#5652
1,,"Salida, Colorado",,,http://dbpedia.org/,,salida,38.5347,-105.998,http://rdf.freebase.com/,432#5652
0,,Roosevelt Island (NYC),40.764,-73.9482,http://data.nytimes.com/,,salida,38.5347,-105.998,http://rdf.freebase.com/,952#5652
0,,Salida (Colo),38.5347,-105.999,http://data.nytimes.com/,,mumbai,18.9647,72.8258,http://rdf.freebase.com/,431#3285
0,,Regensburg,49.0167,12.0833,http://dbpedia.org/,,mumbai,18.9647,72.8258,http://rdf.freebase.com/,7510#3285
1,,Salida (Colo),38.5347,-105.999,http://data.nytimes.com/,,Salida,38.5347,-105.999,http://sws.geonames.org/,431#5014
0,,Prague (Czech Republic),50.0878,14.4241,http://data.nytimes.com/,,Salida,38.5347,-105.999,http://sws.geonames.org/,6#5014
1,,"Salida, Colorado",,,http://dbpedia.org/,,Salida,38.5347,-105.999,http://sws.geonames.org/,432#5014
1,,salida,38.5347,-105.998,http://rdf.freebase.com/,,Salida,38.5347,-105.999,http://sws.geonames.org/,5652#5014
0,,Portland,43.6615,-70.2553,http://sws.geonames.org/,,"Scottsdale, Arizona",,,http://dbpedia.org/,1510#1918
0,,plainsboro,40.3333,-74.6008,http://rdf.freebase.com/,,"Scottsdale, Arizona",,,http://dbpedia.org/,4595#1918
1,,Portland,43.6615,-70.2553,http://sws.geonames.org/,,portland maine,43.6614,-70.2558,http://rdf.freebase.com/,1510#1757
1,,Portland,43.6615,-70.2553,http://sws.geonames.org/,,"Portland, Maine",,,http://dbpedia.org/,1510#5278
1,,portland maine,43.6614,-70.2558,http://rdf.freebase.com/,,"Portland, Maine",,,http://dbpedia.org/,1757#5278
1,,Portland (Me),43.6615,-70.2553,http://data.nytimes.com/,,"Portland, Maine",,,http://dbpedia.org/,1509#5278
0,,Lanai,20.8333,-156.933,http://dbpedia.org/,,carroll gardens brooklyn,40.68,-73.994444,http://rdf.freebase.com/,4546#6049
