id1,id2,label
1150,7122,1
431,432,1
1510,1918,0
4546,6049,0
2223,600,1
1881,4616,0
5620,6560,1
3066,1244,1
5822,7222,1
7277,3375,0
742,2367,1
7108,6433,0
2625,4,0
831,3498,1
4438,6253,1
1993,1992,1
6053,5329,1
2989,5446,0
5055,2863,0
7501,5481,0
4116,5143,1
392,6336,1
627,7182,1
3556,3806,1
5501,7392,0
5683,3472,0
7334,3233,0
6270,1553,1
7405,1544,0
1412,1413,1
5130,3014,0
1487,2080,0
7058,5664,1
4867,4839,0
712,7348,0
6857,5416,1
5765,1348,0
1013,3410,0
2065,4303,0
4722,7288,0
4710,3444,1
4695,4833,1
637,4738,1
3919,2263,1
5572,5266,0
4439,6253,1
3485,4544,0
2811,2857,1
2014,2015,1
3103,3255,0
3891,3890,1
516,517,1
6099,5172,1
958,959,1
4021,375,1
5569,6494,1
1087,570,0
4962,4800,0
267,4489,0
5165,5668,0
3675,6745,0
4006,1688,0
906,905,1
5181,872,1
7,6745,1
1934,4350,0
5841,6997,1
7213,1183,1
2314,2313,1
757,1798,0
4069,2619,0
3638,7074,0
7125,6046,1
3166,5142,1
7426,3572,1
5449,5448,1
2448,5813,1
6073,3365,1
5564,2795,0
4222,4326,0
493,6915,1
3881,2063,0
5468,4237,1
5340,2081,0
3223,1374,1
2909,2305,0
4799,5699,1
5073,2625,0
5978,2193,1
3230,2030,1
3820,256,0
2823,5724,1
7246,1037,1
1313,4914,1
3179,5306,0
5184,1536,0
88,2366,0
3692,6032,1
1001,4071,0
2147,5092,1
275,1969,0
3256,5037,1
7342,7477,1
2795,2187,0
1122,5871,1
5003,3309,0
2581,2585,0
2897,2668,0
5744,3930,0
4606,5476,1
2857,6127,0
4312,1119,0
3369,1648,0
4597,572,1
6092,6635,0
2475,5427,1
6560,5736,0
5215,4006,0
675,4561,1
2085,1611,0
6317,5435,0
441,348,1
3493,3494,1
3594,4865,0
3292,6854,0
252,262,0
1430,490,0
5841,1267,0
6762,4487,1
2475,3175,1
3066,6157,0
3118,3404,0
4544,986,0
3724,6746,1
1393,1394,1
32,2587,1
2985,5101,1
5804,5012,1
6327,6500,0
635,5860,0
6309,1285,0
6833,4292,0
5125,5551,1
1688,742,0
2920,6110,0
7451,5157,1
5184,6043,0
1525,166,1
7527,6911,1
1680,3972,1
960,3421,0
3718,2746,1
6839,1997,0
1178,2442,0
2479,3640,1
3989,2141,1
3436,3598,0
6677,3460,1
6995,5829,0
4775,3616,1
4333,4128,0
1224,6461,1
5019,5884,0
3937,4874,0
5676,78,0
2081,1847,1
7129,6499,1
3317,5821,0
3205,6110,1
3382,6144,0
7227,5201,0
6843,3720,0
1984,1983,1
2372,7507,1
1268,1983,0
5244,545,0
7435,248,0
4279,2256,1
5190,6132,0
2311,3689,0
5811,1539,0
1193,4725,0
6309,2582,1
5505,2770,1
1730,6245,1
4868,6387,0
3519,5451,0
6082,4662,1
2423,6559,0
4227,341,0
6936,4581,0
2047,236,0
683,6559,1
1189,490,0
7467,2373,0
4112,1762,1
4531,3324,0
2795,2796,1
4177,4294,1
6875,6862,1
1517,1516,1
6652,7348,0
2133,280,0
7217,7159,1
214,6466,0
4973,7003,0
6915,720,0
6931,3513,1
1086,2774,1
5642,2690,1
4933,7016,0
7449,6673,1
6547,5714,0
1115,1116,1
2384,7402,0
4362,2209,1
5537,253,0
493,492,1
7035,4610,0
3461,3460,1
1726,571,0
7241,3118,0
2085,297,1
32,33,1
7465,6840,1
130,4768,0
84,6492,1
5807,1632,1
5554,4721,1
1797,1798,1
2869,2268,1
6229,31,0
2149,7115,1
1368,6620,0
3887,2262,0
2226,6530,0
4790,3833,0
2871,5428,0
6755,4883,0
4706,3412,0
2759,4416,0
5192,4186,0
6043,275,0
6051,4965,0
6395,1452,0
5951,1543,0
2710,5012,0
2943,2942,1
7108,5724,1
7053,3726,1
1409,1408,1
6240,7186,1
1625,1626,1
2128,872,0
3050,4781,0
1430,1429,1
4542,221,1
755,2951,0
3457,3188,1
747,937,0
2870,3351,0
4408,2263,1
2871,6921,1
1215,5369,1
7125,3241,0
6493,2273,1
6680,3710,1
940,939,1
6913,4754,0
5436,7074,0
4231,2187,1
7531,6615,1
7373,421,1
4563,3541,0
2628,1797,1
2810,2857,1
7495,4805,1
2770,2771,1
2885,3389,0
1977,5212,0
140,7199,0
3304,4953,0
2923,610,0
1013,4374,0
4550,4549,1
6504,404,0
1610,5230,0
6573,7221,0
6275,2969,0
2663,536,1
7176,4069,1
752,142,0
2448,4935,0
7257,2367,0
4006,5446,0
7199,6320,1
5485,5486,1
481,4674,0
3287,3856,1
5204,7285,1
4255,4254,1
5032,4108,1
6894,7267,1
7495,4806,1
273,2933,0
7195,3069,1
7010,5857,0
343,6895,0
2148,3739,0
7108,2823,1
4926,5970,0
599,600,1
5646,6167,1
4706,5649,1
5231,6219,0
4236,2636,1
12,2272,1
5482,3317,0
2150,4941,0
342,6309,0
1471,950,0
1894,4443,0
4408,2262,1
4097,628,1
6353,3556,0
5837,5927,0
6630,1840,1
5381,5432,0
3014,2910,1
4740,5522,0
4315,6546,0
3971,2163,0
1244,281,1
773,7449,0
1290,1291,1
417,1539,1
3865,6991,0
5125,2345,0
5646,3865,1
6412,1678,1
2442,5823,1
1265,1668,1
7176,4042,0
6164,2709,1
7110,5699,0
1486,3833,1
7176,2433,1
2897,2115,0
6097,3401,1
6115,2857,1
4945,7089,0
6380,4448,1
5646,2138,0
795,5402,0
1430,3186,1
2916,6819,0
3713,6193,0
170,7351,1
5747,7164,0
4605,4606,1
63,1873,0
3489,1215,1
4926,2110,0
5739,3544,1
4710,2707,0
5252,3787,1
7170,2242,1
6876,2921,1
5505,1217,0
6389,2880,0
2382,2381,1
6408,1959,0
2327,3984,0
5339,2513,0
212,2885,0
2115,344,1
1629,1630,1
275,6564,1
2139,2138,1
3628,6137,0
5534,6025,1
3975,3225,0
4560,3401,1
248,959,0
2845,2844,1
4627,1299,1
3891,2297,0
3337,3291,1
2597,1632,0
5604,5811,0
7070,2326,1
2133,5938,0
374,5217,1
2720,1877,0
7535,3611,0
719,720,1
2870,7002,0
7384,4217,0
3815,5214,0
7093,4853,1
533,2183,1
4561,2374,0
5242,5241,1
6178,2785,1
946,1314,0
59,5340,1
4955,4647,0
6480,424,0
3902,5659,0
2102,890,1
7296,59,0
7398,7123,1
7435,3736,1
5293,5003,0
2589,2384,0
3312,5913,1
3285,1467,1
5724,1479,0
6195,4071,1
4069,6553,0
5101,1652,1
5857,6389,1
3672,5409,0
6527,5604,0
4300,3395,0
4662,4091,1
3422,7110,1
2886,890,1
698,697,1
566,2409,1
1534,6807,1
215,2474,0
7077,1174,0
3878,2227,0
1917,1916,1
2762,6565,0
5579,2569,0
4101,994,0
193,192,1
2458,6553,1
3675,6065,1
5522,2758,1
2702,2703,1
3031,1086,0
3903,5823,0
5854,1318,0
6603,901,1
202,203,1
4960,2406,1
5422,6253,1
5030,1172,0
1757,5278,1
505,1422,1
2438,2437,1
2871,7059,1
2260,6184,0
6630,1841,1
1269,6866,0
3650,952,0
5853,1233,0
2065,420,0
5721,5722,1
3103,6029,1
3005,5822,1
326,3226,1
5432,6985,1
855,3074,0
4034,270,0
5399,6843,0
32,1094,0
2389,3851,0
2484,7030,0
2857,1174,0
266,1193,0
5229,4334,1
2585,4469,0
1855,1856,1
3311,2863,1
511,5149,1
4421,2128,0
3003,4417,0
3989,5075,0
