label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
0,thelguild 2 pirates of the seas,dreamca9cher interactive,e9.99,imAgination international corp pirates of the carribean,nWn,2n.26,5985
0,punch ! pr=fessional home design,punch d software,8..99,punch Koftware 20100 punch ! 5 in 1 home design,punch softwa`e,J5.99,4756
0,adob? indesign cs3 upgrade from pagemaker,ado!e,1C9.0,adobeWcs3 design premium,nNn,18m5.99,1413
1,math advanta{e 2008,en_ore,39T99,encore inc math a^vantage 2008,Fan,03.89,4806
0,punch9! professional home design,pRnch ! software,8A.99,punch shftware master landscape professional & home design v 10.0,-an,6:.99,1816
0,adobeYcreative suite cs3 design premium upsell [ mac ],ado7e,1599.J,29300183dm adobV creative suite 3 design standard media tlp tlp nonprofit download -,nSn,20.?7,2237
0,micr6soft onenote 2007 upgrade,microsoxt,79.99,mic9osoft windows vista home basic upgrade ( pc ),San,'9.99,347
0,centurypsoftware tinyterm plus v. 4.0 complete product,c)ntury software,%an,sony cre\tive software vegas43 ; dvd production suite v. 7.0 complete product,npn,262<82,4385
0,;amily tree maker 11.2 collector 's edition,enbore,1|9.95,epcore inc family tree maker 2008 platinum,Xan,"85""07",4773
0,family trMe maker version 16 collectors edition,encore Software,Gan,3bacus aircraft collectors second edition,7an,17.c5,4936
0,3d h/me architect landscape v. 8 by encore software,"e,core software",3*.99,encoreCinc 3d home architect home design deluxe version 9,n}n,n5.49,1734
0,apple final cut studio 2 upgjade from final cut pro ( mac ),4pple,699W0,apple final cut stuPio 2 upgrade from final cut studio,"""an",699.99,3734
1,dk amaziog animals 1.1,gl1bal-software-publishing,9^99,global software a1826{2w dk amazing animals 1.1 win 95 98 2000 xp vista,gdobal-software-publishing,h.08,6811
0,learnin' quickbooks 2007,inauit,3B.95,in^uit inc quickbooks premier edition 2007 5 user,nAn,1309=31,4242
0,punch ! home design archifectural series 4000 v10,punch ! softwaMe,1T9.99,punch slftware 90500 home design studio mac,punch softw6re,135.c9,1658
0,adob% creative suite cs3 design premium upsell [ mac ],+dobe,1599.G,adobe czeative suite 3 ( cs3 ) design premium upgrade mac,nmn,569q97,1521
0,mnternet security barrier x4 antispam edition,3ntego inc,Tan,panda int0rnet security 2007 panda software,&an,49'99,4207
0,@dobe creative suite cs3 design standard [ mac ],2dobe,11?9.0,i9270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade,n`n,8r3.15,2247
0,sonicwall gloDal vpn client license 01-ssc-5310 ),sonic systems inck .,~an,rf3psc2-1 ipsec vpn client license 1 user,n}n,57.H,4684
0,phonics success deluxe 2006 ( l)rge box ),}opics entertainment,49:99,eleme}tary school success deluxe 2006,Jan,15.&,3754
0,adobe soundbooth 's3 [ mac ],%dobe,199.L,adobO illustrator cs3 ( mac ),:an,W99.0,952
0,microsoft Rindows vista home basic upgrade [ dvd ],microsofk,(9.95,microsoft windows vistd business retail no open box returns,1an,229.99,2321
1,]ystemsuite 8 professional,individual softRare,",9.99",individual{software inc systemsuite 8 professional ( us pos ),nfn,l6.42,4704
0,rnstant immersion french deluxe 2.0,topjcs entertainment,4c.99,nova ;rint explosion deluxe 3.0,:an,46.29,3666
0,mkcrosoft excel 2004 ( mac ),Dicrosoft,229j99,microsoft ( r k frontpage 2002,>an,S69.56,1965
0,microsoft offic\ small business 2007,microsoot software,7*5.33,microsofz ( r ) frontpage 2002,dan,1T9.56,1959
1,hp dss softw3re v. 4.0 complete package t1936aa ua0 ),hewlett-papkard - ( consumables ),630q36,hp t1936aa uay digital sending software 4.0 ( 10 device license ),kp,36;.99,5605
1,punch cuper home suite 3.0,",unch ! software",4a.99,punch software #7100 punch ! super home suite,puCch software,45.19,4766
0,hospital ty*oon for pc,wa9ner-new-media,29799,roller coaster tycoon d for pc,Can,s9.99,4472
0,/dobe creative suite cs3 design premium upsell [ mac ],ado[e,1599.*,adob[ creative suite 3 design standard complete package 1 user academic windows,zan,369.},3437
0,quickbooks!pos : pro multistore 6.0,Wntuit inc.,u399.95,quCckbooks ( r ),n`n,103+99,1049
0,the&print shop 22 pro publisher deluxe sb cs by the print shop,Lncore software,B9.95,the p1intshop 20,n]n,1949,4323
0,microsoft windows xp professional up!rade with sp2,microsof& software,149.99,individualdsoftware prm-wn5 professor teaches windows xp,individual soft$are,j4.99,3916
0,the -rintshop 20 professional publisher,0roderbund,69a99,10731Ithe print shop 22 pro publisher deluxe complete package 1 user win,Fan,84M13,4342
0,disk]eper 2007 pro premier 5-lic pack,dbskeeper corporation,716.66,quicken ( r ) premier 2i07,nKn,7P.99,1028
0,a&obe photoshop cs2 ( mac ) [ old version ],ldobe,64H.0,adobe photoshop is3 extended for mac academic,xan,295w99,1350
0,adobeycs3 design standard macosx dvd,ado+e,3<9.0,adobe gs3 design standard upsell,_an,x34.99,3135
0,s<und forge 9.0,=ony media,399:96,2ound studio 3 for mac,wan,78.99,4836
0,oEnioutliner professional 3.0,cs-c,69.9B,adobe cs3 .lash professional academic,6an,23k.99,845
0,aeSmappoint 2006 cd,microsofd corp,49y95,microsoft ma[point 2006 with gps locator ( pc ),san,349'99,569
0,microsoft excel 2004 ( m;c ),microwoft,229w99,ogfice mac 2004 microsoft 731-01002,n|n,331[77,2922
0,aGobe creative suite cs3 design premium upsell,ad4be,1599.T,adobe|premiere pro cs3 upgrade,5an,y08.99,1571
0,adob^ creative suite cs3 production premium upgrade,adobR,799.Y,adybe soundbooth cs3 audio editing software windows music production software,n7n,1Z8.95,4394
0,onone <lug-in suite 3 for adobe photoshop,onone sofmware,399l95,onone sofpware essentials for adobe photoshop elements version 2 full,lan,59333,5536
0,micrKsoft powerpoint 2004 upgrade ( mac ),micMosoft,109_99,offi\e mac 2004 microsoft 731-01002,Tan,331d77,2916
0,adobe creative suite cs3 desi4n standard upgrade,jdobe,399@0,aTobe cs3 web standard upsell,nqn,81T.99,3552
0,modele(s liquid ledger personal finance software ( mac ),~sdc,7r.99,csdc liquid ledger personcl finance modeless software,6an,71.W1,6658
0,pal~ alto business plan pro 2007,pXlo-alto-software,i9.95,nolo quickAn legal business pro 2007,ntn,67494,4003
0,micr-soft visual studio team edition for software architect 2005 with msdn premium,micrNsoft,5479$0,microsofta( r ) office 2004 for mac student and teacher edition,Ean,1H6.95,2910
0,microuoft windows xp professional full version with sp2,mQcrosoft,2?9.99,microsoft windows tgrminal server 2003 client additional license for users - 5 user ( 824048 ),uan,719.&4,1980
0,inst|nt immersion italian v2 .0 ( large box ),top2cs entertainment,2s.99,instant imm6rsion 33 languages,Xan,47.34,4964
0,cubasefse3 educational edition,steinjerg,n+n,i cHpydvds 2 professional edition,me-too-voftware,t7.9,881
0,adobe after effekts cs3,ad?be,L99.0,25510587 ndobe after effects cs3 professional complete package 1 user dvd win c,nfn,{054.23,887
0,swift publisher for ma>,globzl-marketing-partners,3t.99,allum% poser 6 for mac,curious:labs-inc .,269.99,5696
0,my guibar,emeuia,2$.95,music madm easy guitar,:an,u.9,5435
0,pcmtools spyware doctor 2007,encore,29.9h,ca anti-spy)are 2007,\an,24g99,4379
0,adobe^creative suite cs3 master collection upsell,adooe,1l99.0,29270055 adobe creative suite 3 eeb standard complete package 1 user cd win uni,n`n,1056.9k,2119
0,wasr bar code wasp bar code labeler complete package 3 users std cd -,wa&p technologies,nLn,29X881 quickbooks customer manager v. 2.5 complete package 1 user cd win,(an,69.37,5846
0,zer+-g pro pack for garageband ( appleloops ),ze{o-g,{69.95,aBple garageband jam pack : rhythm section,-an,9{.99,3204
0,ado|e after effects professional 7.0,adobS,999?0,hicrospot macdraft professional edition,Oan,24|.99,784
0,punch ! 5 in 1 hom4 design,punch ! softwarl,z9.99,punch software 8P100 punch ! home design architectural series 4000 v. 10.0 architectural pc,nEn,a68.97,1616
1,au$ocad 2007 courseware customizing the interface,autodeskapsg,47p95,autocad 2007 coursewarecustomvzing the interface,nbn,n9.69,5044
0,lgarn2 training for microsoft powerpoint,topics-entertainment-softwarei- ( consignment ),m.99,m8crosoft office and windows training professional,jan,21.99,2501
0,3hoto objects 150 000 for macintosh,nova d?velopment,4X.99,bjmt art explosion photo objects 150000 complete package 1 user fvd mac,-an,43R22,6190
0,in5tant immersion italian deluxe v2 .0 ( large box ),topicH entertainment,2{.99,insCant immers italian dlux 2 .,n@n,36.{1,3635
0,adobe crea)ive suite cs3 web standard upsell [ mac ],adome,7<9.0,agobe cs3 design standard upgrade windows,[an,G13.99,2155
0,microsoft word 2004 upgrUde ( mac ),micr~soft,10x.99,micjosoft ( r ) word 2007,nan,109]99,618
0,microsoft office small blsiness 2007 full version,micro)oft,V49.95,micro|oft office basic edition 2003 license and media,nxn,124.R5,2444
0,Picrosoft windows vista ultimate upgrade [ dvd ],microsoft,25k.95,windows sbs ]remium 2003 r2 upgrade cd/dvd 5clt microsoft t75-01256,Uan,5[1.25,4842
0,panda7internet security 2007 3-user,panda sof%ware,6I.95,pcnf0040|pc-cillin internet security 2007 complete package 3 users federal win,n%n,27.02,5230
0,instant home design ; jewel case ),:opics entertainment,o.99,i#stant home cooking,Lan,$.95,6487
0,instant immersion ingles au<io deluxe,t)pics entertainment,Han,instantjimmersion language lab deluxe edition,0an,14.p,2857
0,microsoft office & winmows training,"""opics entertainment",2].99,microsoft p r ) office ultimate 2007,nGn,5Z9.95,2978
0,mat9 success deluxe 2008,yopics entertainment,P9.99,high s8hool success deluxe 2006,ian,#.9,3742
0,microsoft productivity pac8 for windows mobile,micr]soft,/9.99,microsoft ( r ) windows ( r ) ^p home edition with sp2,.an,1:9.99,1999
0,microsoft office 2004 stanMard ( mac ),mkcrosoft,3q9.99,micrUsoft word 2004 upgrade for mac os x apple & mac software,zan,608.95,2865
0,micro{oft licenses project svr sa govt ( h2200301 ),m9crosoft licenses,3601I4,mic%osoft ( r ) project 2002,Fan,I29.99,560
0,procurve vpn client softMare unlimited client licenses,hewlett pacward,3an,bling s^ftware limited safekeeper plus,.an,37.99,4675
0,burLing monkey solitaire 4.0,frFeverse software,U4.95,hoyle solit_ire,Jan,9m99,6149
0,ca internet {ecurity suite 2007 3 user,computer 8ssociates,R9.95,ca inteYnet security suite plus 2008 w / $ 10000 warranty,nJn,9y.2,4060
0,microsoft2windows server 2003 client additional license for devices 5 pack,microsof|,X09.0,microsoft * r ) windows ( r ) xp professional edition with sp2,uan,1F9.99,1868
0,poosoft tunetech for ipod ( mac ),prosoft Sngineering,74.*9,valuso[t tune transfer for ipod,n?n,!1.99,6763
0,microsoft word 2004 ( mac E,microsofZ,T29.99,miArosoft windows vista home basic upgrade ( pc ),nQn,99Z99,352
0,ado_e acrobat distiller svr v6-cd sun 100u 42050106 ),ad(be,9104)19,adobek42050142 acrobat distiller 6 lnx ret cd u/l lnx,nLn,1]967.47,5662
0,)tate standards grade 6,topic> entertainment,29#95,adobe-cs3 design standard upgrade,`an,41E.99,16
0,transfer m( dvd,avanqu$st,28.95,me too software i traksfer dvds 2 ipod,me-too-<oftware,2#.99,3904
0,ad^be acrobat 7.0 professional,ad:be,44|.99,web easy ( r ) professional @,zan,k9.99,781
0,adobe creatiDe suite cs3 production premium,arobe,1h99.0,19500220 adobe creative suite 3 desihn premium product upgrade package 1 user upgra,",an",1Z87.48,1853
0,peachtree by ?age complete accounting 2007,0age software,2a9.99,sage ( ptree ) vernfp2`07rt premium accounting for nonprofits 2007,nQn,5;0.35,3782
0,total trauning for adobe creative suite 3 : design premium bundle,total traPning,2G9.99,adobO production premium cs3 software suite for windows professional editing software,Ran,1=98.95,2287
0,mKcrosoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsof+,1o949.0,microsoFt ( r ) works suite 2005,nDn,F9.99,542
0,total training for abobe creative suite 3 : design premium bundle,total t0aining,2n9.99,adobe creative suite 3 design standard com1lete package 1 user academic windows,dan,U69.0,3448
0,adobe cWeative suite cs3 web premium upgrade [ mac ],adob?,499.[,adobe indesign cs3 for iac upgrade,Qan,205.>9,1559
0,computr{ce lojack for laptops : 3 year subscription,absolut9 software,39.99,computrace lojack for laptops 1 yr subscriptioT,Han,45J99,4714
0,microsoft powerpoint 200s ( mac ),microsofB,y29.99,microsoft microsoft office 2004 softw]re suite mac apple & mac software,>an,3~9.95,592
1,"services for ""etware 5.0",m8crosoft,14910,micEosoft windows services for netware v. 5.0 complete package,(an,e38.17,3776
0,punch ! pr^fessional home design,punch ! softOare,8~.99,adobe cs3 flash yrofessional upgrade,n!n,20}.99,742
0,comYutrace lojack for laptops 4 year subscription,abHolute software,b19.99,40y92231computrace lojack for laptops subscription package 4 years 1 notebook -,nYn,1L5.97,4717
0,micro'oft crm professional cal 3.0 product upgrade license pack user cal,m=crosoft software,99p0.0,microsoftuwindows server 2003 client additional license for devices 5 pack ( 823930 ),n)n,V58.39,1916
0,adobe creative suite cs3 production premium upgrade,azobe,799.e,adobe pre6iere pro cs3,nYn,825S99,1499
0,reference success deluxe 200I,topics egtertainment,99.95,elementaryJschool success deluxe 2006,n3n,12|95,3743
0,3d home architect home v. 8 by encore 8oftware,encore 5oftware,3A.99,?unch software 17100 punch ! super home suite,punch softwa4e,F5.99,5103
0,punch ! pRofessional home design platinum v10,pun(h ! software,d9.0,punch softwars 14100 punch ! professional home design suite for windows,punch sofvware,6s.99,3347
0,adobe c^eative suite cs3 web premium upsell [ mac ],+dobe,13r9.0,aOobe creative suite 3 web standard complete package academic cd mac,van,309.0,2079
0,punch ! pr^fessional home design,punch ! soft6are,8N.99,punch software 85100 master landscape professional { home design v 10.0,"""an",\1.8,1799
0,ad|be photoshop cs3 [ mac ],hdobe,649q0,ad'be photoshop cs3 extended software full version for windows,ean,`69.0,2357
