label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,modell6ng and querying video data,"rune0hjelsvold , roger midtstraum",vld.,199$,storage atd querying of e-commerce data,"pakesh agrawal , amit somani , yirong xu",very lHrge data bases,200>,5475
0,reTort on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joacUim hammer,sigmoJ record,2C02,Feport on the 1995 international workshop on temporal databases,"arie jegev , christian s. jensen , richard thomas snodgrass",acm sikmod record,199!,3207
0,vxmlr : a visual xml-rtlational database system,"aoy(ng zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang",v~db,|001,implementation of magic-%ets in a relational database system,"inderpal3singh mumick , hamid pirahesh",intern8tional conference on management of data,1/94,1601
0,>eport on the 1995 international workshop on temporal databases,"arieKsegev , richard t. snodgrass , christian s. jensen",sigQod record,199A,report on seconp international workshop on advanced issues of e-commerce and web-based information systems,"kun-lung wu , ph|lip s. yu",azm sigmod record,2B00,3602
1,obtaining complete an+wers from incomplete databases,alon |. levy,vQdb,199I,obtaining compl0te answers from incomplete databases,aTon y. levy,very l*rge data bases,C996,6822
0,materiali\ed view maintenance and integrity constraint checking : trading space for time,"divesh s{ivastava , s. sudarshan , kenneth a. ross",sigmo2 conference,1^96,materialized view selectioi and maintenance using multi-query optimization,"hoshi mistry , prHsan roy , s. sudarshan , krithi ramamritham",intern^tional conference on management of data,$001,3308
0,waveclusterh: a multi-resolution clustering approach for very large spatial databases,"surojit chatterjee , gholarhosein sheikholeslami , aidong zhang",vldu,199\,birchR: an efficient data clustering method for very large databases,"tian zhanw , raghu ramakrishnan , miron livny",internationalyconference on management of data,1C96,4595
1,effdcient checking of temporal integrity constraints using bounded history encoding,jan cGomicki,acm )rans . database syst .,1K95,efficient checking of temporal integrity constraints using `ounded history encoding,jan chomicUi,Wcm transactions on database systems ( tods ),:995,7031
0,herac1itus : elevating deltas to be first-class citizens in a database programming language,"dean jacobs , shahram ghandeharOzadeh , richard hull",acm trans . dataNase syst .,K996,themis : a database programming language handling integrit? constraints,v &#233; ronique benzaken p anne doucet,the vldb journal -- the international journal on ver\ large data bases,w995,3469
0,information systems research at george mason university,"sushil9jajodia , amihai motro , edgar h. sibley , alexander brodsky , larry kerschberg , xiaoyang sean wang , daniel barbará",sigmod rePord,1897,researc/ activities in database management and information retrieval at university of illinois at chicago,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri $olfson , clement yu",acm sigmPd record,s002,3841
0,guezt editorial,"kyu-young}whang , gunter schlageter , amr el abbadi",vldb `.,2801,ed3torial,richar3 snodgrass,acm transactions on database systems ( tods j,2P01,2307
0,ntream processing of xpath queries with predicates,"ashish kumar gu=ta , dan suciu",sigm`d conference,2803,filte+ing with approximate predicates,"narayanan1shivakumar , hector garcia-molina , chandra chekuri",very larje data bases,199Y,2627
0,"ol}p , relational , and multidimensional database systems",ge(rge colliat,sigmod revord,1r96,integratingqassociation rule mining with relational database systems : alternatives and implications,"sunita sarawagi , s0iby thomas , rakesh agrawal",in.ernational conference on management of data,1N98,2389
0,mEnaging intra-operator parallelism in parallel database systems,"dav#d j. dewitt , manish mehta",v7db,1J95,dynamic multi-rCsource load balancing in parallel database systems,"erhard rahi , robert marek",very lar-e data bases,1V95,5785
1,on the semantics of `` now '' in databases,"christian sZ jensen , tomás isakowitz , richard t. snodgrass , curtis e. dyreson , james clifford",wcm trans . database syst .,1/97,on %he semantics of now in databases,"jemes clifford , curtis dyreson , tom &#225; s isakowitz , christian s. jensen , richard thomas snodgrass",acm tran6actions on database systems ( tods ),w997,6177
1,indexing muhtiple sets,"christoph#kilger , guido moerkotte",4ldb,199N,indPxing multiple sets,"ch<istoph kilger , guido moerkotte",very l=rge data bases,o994,7234
0,integrating%a structured-text retrieval system with an object-oriented database system,"jurghn annevelink , tak w. yan",vlab,1r94,8etadata for integrating speech documents in a text retrieval system,"ulrike glavitscI , peter sch &#228; uble , martin wechsler",ac; sigmod record,199>,6671
0,electronrc commerce : tutorial,"nabil?r. adam , yelena yesha",sigmod confCrence,1F98,"data management issues in ele""tronic commerce",asuman doga*,acm sigmod rtcord,2a02,996
0,semantpc assumptions and query evaluation in temporal databases,"sush6l jajodia , xiaoyang sean wang , elisa bertino , claudio bettini",sigmod confe5ence,1H95,reordering query execution in tertiary 1emory databases,"sunit< sarawagi , michael stonebraker",vMry large data bases,1M96,5695
0,devise : integrzted querying and visual exploration of large datasets ( demo abstract ),"jussi myllymaki , shilpa lawamde , donko donjerkovic , raghu ramakrishnan , guangshun chen , kevin s. beyer , miron livny , r. kent wenger",sigmod confgrence,1j97,deviMe : integrated querying and visual exploration of large datasets,"m.xlivny , r. ramakrishnan , k. beyer , g. chen , d. donjerkovic , s. lawande , j. myllymaki , k. wenger",inte]national conference on management of data,199+,5593
0,thi algres testbed of chimera : an active object-oriented database system,"giuseppe psaila , ste5ano ceri , stefano paraboschi , piero fraternali",sigmod confe}ence,1x95,query unnesting in object-orientez databases,le'nidas fegaras,intern-tional conference on management of data,)998,186
0,feedbackbypass : a neP approach to interactive similarity query processing,"pEolo ciaccia , florian waas , ilaria bartolini",Ildb,2q01,sUmilarity query processing using disk arrays,"apostolos R. papadopoulos , yannis manolopoulos",iuternational conference on management of data,1L98,4796
0,"acm multimedia '94 con""erence workshop on multimedia database management systems","p. bJuce berra , bhavani m. thuraisingham , kingsley c. nwosu",sigm+d record,1a95,open object dYtabase management systems,jos &#233; a. b7akeley,internati=nal conference on management of data,1V94,1464
0,an introduction to spatial database syste`s,ralf har{mut güting,vlab j.,1#94,implemenCation of magic-sets in a relational database system,"iBderpal singh mumick , hamid pirahesh",intfrnational conference on management of data,1K94,1594
0,report oa the first international workshop an efficient web-based information systems,"om>r boucelma , zoé lacroix",sjgmod record,D003,reporP on the 1995 international workshop on temporal databases,"arie segev , christiaj s. jensen , richard thomas snodgrass",acm si|mod record,1695,3217
0,querT processing in tertiary memory databases,sunDta sarawagi,vldm,1)95,query processiWg techniques for arrays,"Frunprasad p. marathe , kenneth salem",the vldb journ#l -- the international journal on very large data bases,",002",2226
0,new vampling-based summary statistics for improving approximate query answers,"phillip b. gibbIns , yossi matias",sigmod confErence,w998,aqua : a fa>t decision support systems using approximate query answers,"sw0rup acharya , phillip b. gibbons , viswanath poosala",wery large data bases,1t99,4450
0,mochl : a self-extensible database middleware system for distributed data sources,manuel rodriguez-martinez q nick roussopoulos,sigmod confe<ence,_000,the network &s the database : data management for highly distributed systems,"juliogc. navas , michael wynblatt",i3ternational conference on management of data,200i,3159
0,efficient and twansparent application recovery in client-server information systems,"david b. lomGt , gerhard weikum",sigmcd conference,1998,a flex>ble and recoverable client/server database event notification system,"eric2n. hanson , i.-cheng chen , roxana dastur , kurt engel , vijay ramaswamy , wendy tan , chun xu",the vlnb journal -- the international journal on very large data bases,1598,4477
0,a foundatMon for multi-dimensional databases,laks v. s. lakshmanan - marc gyssens,vlFb,1A97,quasi-cubes o exploiting approximations in multidimensional databases,"danie~ barbar &#225; , mark sullivan","a""m sigmod record",t997,5598
0,query unne_ting in object-oriented databases,leonidas ^egaras,sigmod ;onference,199a,lambda-db : an odmg-based obje%t-oriented dbms,"leoMidas fegaras , chandrasekhar srinivasan , arvind rajendran , david maier",international|conference on management of data,2200,178
0,~eminiscences on influential papers,"hector garcia-molina T patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass",sigmod rfcord,^998,influential papers,ken ross,acm sigmo^ record,2/03,1753
0,"very lErge databases : how large , how different ?",kavid vaskevitch,vPdb,1'95,v+ry large databases in a commercial application environment,karl-heJnz hess,ve!y large data bases,"1,96",6709
0,app>oximate query mapping : accounting for translation closeness,"hector g.rcia-molina , kevin chen-chuan chang",vldb *.,2.01,appro)imate query processing : taming the terabytes,"[inos n. garofalakis , phillip b. gibbon",very l'rge data bases,y001,4914
0,data m`ning with optimized two-dimensional association rules,"takeshiPtokuyama , yasuhiko morimoto , shinichi morishita , takeshi fukuda",acm~trans . database syst .,2%01,samplingRlarge databases for association rules,hamnu toivonen,v4ry large data bases,w996,4191
0,integrating symcolic images into a multimedia database system using classification and abstraction approaches,"hanan sajet , aya soffer",vldb $.,f998,integrQting the ub-tree into a database system kernel,"frank ramsak , volker markl , robert fenk , martNn zirkel , klaus elhardt , rudolf bayer",very l*rge data bases,m000,5091
0,the a;iti deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim /. leask , james harland , peter j. stuckey , zoltan somogyi",vldbtj.,[994,the(mlpq/gis constraint database system,"peter revesz & rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",internmtional conference on management of data,'000,2760
1,"industriHl panel on data warehousing technologies : experiences , challenges , and directions",ume;hwar dayal,}ldb,1=99,"industrial ganel on data warehousing technologies : experiences , challenges , and directions",umeshwa] dayal,very large 0ata bases,1p99,4044
0,the coral deductive tystem,"raghu ramakrishnan , s. sudarshan , di@esh srivastava , praveen seshadri",vldb jB,1J94,the prototype of the dare Qystem,"tiziaAa catarci , giuseppe santucci",i%ternational conference on management of data,o001,2724
