label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
1,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,0
1,middle-tier database caching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,1
1,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu",vldb,2000,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,2
1,a transaction replication scheme for a replicated database with node autonomy,"david wai-lok cheung , ada wai-chee fu",vldb,1994,a transaction replication scheme for a replicated database with node autonomy,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994,3
1,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,web caching for database applications with oracle web cache,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",international conference on management of data,2002,4
1,"storhouse metanoia - new applications for database , storage & data warehousing","felipe cariño , pekka kostamaa , art kaufmann , john burgess",sigmod conference,2001,"storhouse metanoia - new applications for database , storage & ; data warehousing","felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess",international conference on management of data,2001,5
1,objectivity industrial exhibit,objectivity,vldb,1998,objectivity industrial exhibit,objectivity,very large data bases,1998,6
1,oracle industrial exhibit,amy pogue,vldb,1998,oracle industrial exhibit,amy pogue,very large data bases,1998,7
1,amalgamating knowledge bases,v. s. subrahmanian,acm trans . database syst .,1994,amalgamating knowledge bases,v. s. subrahmanian,acm transactions on database systems ( tods ),1994,8
1,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",sigmod conference,1995,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995,9
