label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,3
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h garcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,5
1,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,revisiting commit processing performance in distributed database systems,"r gupta , j haritsa , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,11
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,,12
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,d barbara911 barbara,"cs-tr-320-9 1 , princeton university , april 199",,31
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",,1991.0,53
1,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0,58
1,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0,60
1,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,"database tuning : principles , experiments , and troubleshooting techniques","de shasha , p bonnetâ ? ¦",,2003.0,62
1,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","d shasha , p bonnet",sigmod conference,2002,"database tuning : principles , experiments , and troubleshooting techniques","de shasha , p bonnetâ ? ¦",,2003.0,63
1,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet",sigmod conference,2002,"database tuning : principles , experiments , and troubleshooting techniques","de shasha , p bonnetâ ? ¦",,2003.0,64
1,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic",sigmod conference,1997,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,,66
1,multimediaminer : a system prototype for multimedia data mining,"o zaяane , j han , z li , s chee , j chiang",sigmod conference,1998,multimedia-miner : a system prototype formultimedia data mining,"or zaiane , j hanâ ? ¦","proc . of1998acm sigmod conf on management of data . seattle ,",,70
1,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic",sigmod conference,1997,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic","sigmod conference ,",1997.0,72
1,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic",sigmod conference,1997,geominer : a system prototype for spatial mining,"j han , k koperski , n stefanovic","proceedings , 1997 acm-sigmod international conference on & hellip ; ,",,74
1,multimediaminer : a system prototype for multimedia data mining,"o zaяane , j han , z li , s chee , j chiang",sigmod conference,1998,multimidia data miner : a system prototype for multimedia data miner,"or zaiane , j han , zn li , sh chee , j chiang","proc . acm sigmod intl. conf . on management of data ,",,76
1,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,using unknowns to prevent discovery of association rules,"y saygin , vs verykios , c clifton","acm sigmod record ,",2001.0,97
1,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,communication-efficient distributed mining of association rules,"a schuster , r wolff","data mining and knowledge discovery ,",2004.0,111
1,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining generalized association rules,"s ramakrishnan , a rakesh","proceedings of 21 stvldb conference , zurich , switzerland ,",,150
1,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,an efficient algorithm for mining association rules in large databases,"ase omiecinski , s navathe","i > proc . 21st int &#39; l conf . very large data bases , < / i > morgan & hellip ; ,",,165
1,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,an efficient algorithm for mining association rules in large databases,aseos navathe,,,197
1,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995,an efficient hash based algorithm for mining association rules,"js park , ms chen , ps yu","proc . acm sigmod intâ ?? l conf . on management of data ,",,215
1,constructing efficient decision trees by using optimized numeric association rules,"t fukuda , y morimoto , s morishita , t tokuyama",vldb,1996,constructing efficient decision trees by using optimized numeric association rules,"t fukuda , y morimoto","vldb ,",1996.0,247
1,specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,1999,andg . pozzi . specificationandimplementationofexceptions in workflow management systems,"f casati , s ceri , s paraboschi","acm trans . on database systems ,",,291
