label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,id
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,0@92#1@184
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,0@405#1@184
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,0@90#1@184
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,0@393#1@184
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,0@422#1@184
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,0@92#1@174
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,0@405#1@174
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,0@90#1@174
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,0@422#1@174
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,0@410#1@174
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,0@92#1@292
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,0@90#1@292
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,0@393#1@292
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,0@410#1@292
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@92#1@307
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@405#1@307
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@90#1@307
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@393#1@307
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@422#1@307
1,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@89#1@307
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,0@410#1@307
1,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,0@92#1@310
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,0@405#1@310
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,0@422#1@310
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,0@89#1@310
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@92#1@303
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@405#1@303
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@90#1@303
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@393#1@303
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@422#1@303
1,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@85#1@303
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,0@89#1@303
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0@92#1@172
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0@90#1@172
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0@422#1@172
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0@89#1@172
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0@410#1@172
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,0@92#1@175
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,0@405#1@175
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,0@90#1@175
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,0@422#1@175
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,0@410#1@175
