label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,id
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,92#184
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,405#184
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,90#184
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,393#184
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,422#184
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,92#174
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,405#174
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,90#174
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,422#174
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,410#174
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,92#292
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,90#292
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,393#292
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,410#292
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,92#307
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,405#307
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,90#307
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,393#307
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,422#307
1,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,89#307
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,410#307
1,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,92#310
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,405#310
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,422#310
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,89#310
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,92#303
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,405#303
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,90#303
0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,393#303
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,422#303
1,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,85#303
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,89#303
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,92#172
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,90#172
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,422#172
0,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,89#172
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,410#172
0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,92#175
0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,405#175
0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,90#175
0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,422#175
0,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,410#175
0,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,256#89
0,` fleur de jour ',' 348 e. 62nd st. ',` new york ',212/355 -2020,` coffee bar ',245,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,247#89
0,bolo,'23 e. 22nd st. ',` new york ',212/228 -2200,mediterranean,191,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,112#89
0,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,23#89
0,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,34#89
0,'em pire korea ',' 6 e. 32nd st. ',` new york ',212/725 -1333,asian,233,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,235#89
0,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,256#77
0,` hard rock cafe ',' 221 w. 57th st. ',` new york ',212/489 -6565,american,261,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,263#77
0,` two two two ',' 222 w. 79th st. ',` new york ',212/799 -0400,american,368,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,368#77
0,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,256#241
0,` victor \ 's cafe ','52 236 w. 52nd st. ',` new york ',212/586 -7714,` latin american ',371,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,371#241
1,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,23#241
0,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,34#241
0,` judson grill ',' 152 w. 52nd st. ',` new york ',212/582 -5252,american,276,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,277#241
0,` center stage plaza hotel ',' 1 main st. ',` las vegas ',702/386 -2512,american,436,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,436#223
0,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,american,135,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,138#223
0,` sa tsu ki ',' 3043 buford hwy . ',atlanta,404/325 -5285,asian,415,` havana sandwich shop ',' 2905 buford hwy . ',atlanta,404-636-4094,cuban,695,415#161
0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580,18#46
0,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,american,1,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580,1#46
0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590,18#56
0,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590,159#56
0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595,18#61
0,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595,159#61
