label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,id
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0,581#17384
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,581#16963
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,1136#16963
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0,581#17380
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0,1136#17380
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0,581#17697
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0,1136#17697
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,581#17383
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,1136#17383
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2,581#17382
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2,1136#17382
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray ezframe series fixed frame screen - 84 diagonal,projection screens,elite,,519.0,581#260
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,georgia bulldogs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1502#3825
0,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,georgia bulldogs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1229#3825
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,san antonio spurs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1502#14348
0,los angeles angels of anaheim iphone 4 case silicone cover,electronics - general,tribeca,fva3955,24.99,san antonio spurs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,226#14348
0,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,san antonio spurs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1229#14348
0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,texas longhorns iphone 4 case silicone cover,computers accessories,tribeca,,19.99,1502#2613
0,los angeles angels of anaheim iphone 4 case silicone cover,electronics - general,tribeca,fva3955,24.99,texas longhorns iphone 4 case silicone cover,computers accessories,tribeca,,19.99,226#2613
