label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
0,V2S Outro ( Interlude ),X AmbaYsadors,mHS,"Alternativen, Music , Rock , Adult Alternative",$ 1.2d,2015 KIDiwaKORNER/Interscope Records,1:^5,30-Jun-V5,Moving Day ( Int9rlude ),X Am0assadors,VHS [ Clean ?,Alt+rnative Rock,$J1.29,( C ) 2015 KIDinaKORNER/Interscope Recorcs,0D19,"JuAe 30 , 2015",190
0,If I wm a Stranger ( Live In Amsterdam ),Ryan<Adams,Live After Deaf ( Live ) [ CompHete Collection ],"Sinver/Songwriter , Music , Rock",$ 0.'9,20^2 PAXAM RECORDS,5:1J,A-Jul-12,DearbChicago ( Live in Stockholm ),Ry;n Adams,L~ve After Deaf ( Collection ),"Folku, Rock",$ 0~99,2012aPAXAM RECORDS,g:29,"July 2 , 2s12",166
0,Conf:ss To Me ( feat . Jessie Ware ),Disclosu:e,[ettle ( Deluxe Version ),"El}ctronic , Music",$ '.29,"‰ ãÑ 2x14 Universal Island Records , a division of Universal Music Operations Limited",4:13,15-ApZ-14,Omwn [ feat . Sam Smith ],Dimclosure,C|racal ( Deluxe ),"Electronsca , Dance & Electronic",$ 1n29,"( C ) 2015 Island Reco5ds , a division of Universal Music Operations Limited",3750,"September 25 , 2v15",276
1,"Piensas%en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ]",",icky Jam",Nicky Fam Hits,"Latin Urban , Mpsic , Latino",$ 0.S9,2014 La Industr6a Inc. . Licencia a Codiscos S.A.S.,r:46,9-Sep-f4,Piensas en MÌ _ X Remix ),Nicky eam,N8cky Jam Hits,"Internati5nal , Latin Music",$ 0.D9,( C ) 2014 Codi#cos S.A.S.,>:46,"September19 , 2014",57
0,SeSond Chance ( Live Acoustic from Kansas City ),Shi&edown,Somewhere In the Stratosphere ( cive ),"Rock , Music , Metal , Altehnative , Hard Rock",$ 1.2b,2011 Atlantic Recording Corporation ?or the United States and WEA International Inc. for the world outside of the United States .,':06,1G-Apr-11,Times*Like These ( Live Acoustic From Kansas City ),Shined%wn,SomewhereWIn The Stratosphere,Ro9k,$ 1.2+,( C ) 2005 MCA NSshville,4:;7,"AprilB18 , 2011",223
0,Get Free ( feat . Amber Hf Dirty Projectors ) [ What So Not Remix ],MajZr Lazer,Free the Umiverse ( Extended Version ),"Electronic R Music , Rock , Reggae , Modern Dancehall , Dance",= 1.29,‰{ãÑ 2013 Secretly Canadian / Mad Decent,4<58,18-JuM-13,"Jet Blue Jet ( feat . Leftszde , GTA , Razz & Biggy )",Majer Lazer,FrYe the Universe,Dan:e & Electronic,"$ 1.2,",2013 Secretly Canadian a Mad Decent,3(19,"Azril 16 , 2013",305
0,White N&ise ( feat . AlunaGeorge ),D*sclosure,Settle[( Deluxe Version ),"ElHctronic , Music",$'1.29,"‰ ãÑ 2014 Universal Islan, Records , a division of Universal Music Operations Limited",4:<7,15UApr-14,Vaices ( Wookie Remix ) [ feat . Sasha Keable ],Disclosjre,SePtle ( The Remixes ),"EleQtronica , Dance & Electronic",$ 1j29,"(.C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",u:33,"D%cember 16 , 2013",304
0,Dangerous_( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Davgd Guetta,Listen ( Del=xe Version ),"Dance , M/sic , Rock , House , Electronic , French Pop",$ 1.2!,"2014 What A Music Ltdq under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:2O,54-Nov-14,I 'll Keep Loving you ( fea1 . Birdy & Jaymes Young ),David Gue+ta,ListeH ( Deluxe ),Dance h Electronic,m 1.29,2015 If MoviEg Your Mine,b:08,"Novemberv24 , 2014",50
0,Epiloguex( feat . George the Poet ),NaughtyfBoy,%otel Cabana,"Pop , Musi^ , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",$ 1.x9,2014 Naughty Boy RecoTdings Ltd under exclusive licence to Virgin Records Ltd,1:C8,6-Mly-14,Hollywood ? feat . Gabrielle ],NauLhty Boy,Hotel Cabana ( Deluxe Veosion ) [ Explicit ],eop,$ 1.\9,( C ) 2014 Naughty Boy Rocordings Ltd under exclusive licence to Virgin Records Ltd,4j05,"6ay 6 , 2014",224
0,R0member You ( feat . The Weeknd ),Wi[ Khalifa,O.N.I.F.C. ( Deluxe Vexsion ),"Hip8Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1899,f012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,[:20,"4-,ec-12","Rise Above ( feat . PVarrell , Tuki Carter & Amber Rose ) [ Explicit ]",WSz Khalifa,O.N.I.F.C. [ Hxplicit ],Rapu& Hip-Hop,$ 1.29,2012 Atlantbc Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:3c,"December 4 , B012",107
0,Dangerous H feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David GuEtta,Liste} ( Deluxe Version ),"Dance , Musoc , Rock , House , Electronic , French Pop",$ 1.2T,"2014 What A Music Ltd. under exclusive license tJ Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",?:20,21-Nov-14,Goodbye Friend ( fea) . The Script ),David GueJta,LisOen ( Deluxe ),Dance & Llectronic,$ 1D29,h015 If Moving Your Mine,':49,"November 2| , 2014",106
1,Close; ( feat . Mike Posner ),Nilk Jonas,Nick Jonas ( Del^xe ),"Popm, Music , Rock , Pop/Rock",U 1.29,"2014 Island Records , a dSvision of UMG Recordings , Inc. / Safehouse Records , LLC",3:N8,@0-Nov-14,Closer [ feat . Mike Posner v [ Clean ],uick Jonas,Nick3Jonas ( Deluxe ) [ Clean ],Yop,$ 1i29,"( C ) 2014 Isla)d Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:q8,"November 1< , 2014",74
1,Spa2e Bound,Emi[em,Recove;y ( Deluxe Edition ),"Htp-Hop/Rap , Music , Rock , Hardcore Rap , Rap",$:1.29,‰ ãÑ 2010 Aftermatz Records,4D38,2E-Jun-10,Sface Bound [ Explicit ],*minem,Recoveryv( Amazon Version ) [ Explicit ] [ + video ] [ + digital booklet ],"Gangsta)& Hardcore , Rap & Hip-Hop",$=1.29,( C ) 2010 Adtermath Records,4:u9,"JuneA21 , 2010",131
0,W_ Dem Boyz,Wiz KhIlifa,Blacc H(llywood ( Deluxe Version ),"Hip-Hop/R+p , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1g99,2014 Atlaptic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:H6,19-Au2-14,"We Dem Boyz 3emix ( feat . Rick Ross , ScHoolboy Q & Nas ) [ Explicit ]",Wiz Kzalifa,B@acc Hollywood ( Deluxe ) [ Explicit ],Rap2& Hip-Hop,$x1.29,2014 Atlantic Rec/rding Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,P:19,"Augusv 19 , 2014",148
0,Whatevae( feat . Monty ),F&tty Wap,Fbtty Wap ( Deluxe ),"Hop-Hop/Rap , Music , Rap",AlbumzOnly,2015 300 Entertainment/RG% Productions,5:n1,Man,Time ( febt . Monty ) [ Clean ],Fetty Wa$,Fetty Wap [ clean ],Rap & ;ip-Hop,$ 1.o9,"( C ) 2000 Mute Records Ltd. , a BMG Company , under excIusive license to INgrooves",4r38,"Sejtember 25 , 2015",214
