label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
0,That Ai nvt Me ( feat . Jay Sean ),Lil `ayne & Jay Sean,I Am Not a Huma$ Being,"Hip-Hop/Rap2, Music , Rap , Hardcore Rap , Dirty South",$ 1+29,‰ ãÑ 2010 Cash Mone? Records Inc.,4~02,1c-Nov-10,LovePMe ( Album Version ( Explicit ) ) [ feat . Drake ] [ Explicit ],Lil WLyne,IpAm Not A Human Being II ( Explicit Version ) [ + digital booklet ],Rapw& Hip-Hop,$ u.29,2005:Secretly Canadian,4:1],"Marchg26 , 2013",227
0,apeak Now - World Tour Live Concert ( Live 2011 ),Taytor Swift,Speak Now - World Tour Live,"CouQtry , Music , Rock , Contemporary Country , Honky Tonk",ulbum Only,"2011 Big Machibe Records , LLC .",2:01:26,2/-Nov-11,Long_Live,TaylorfSwift,Spe7k Now,"Country|, Country Rock , Pop , Rock",$ 1.2d,"(cC ) 2010 Big Machine Records , LLC .",5:12,"October 25 , 20:0",119
0,wifted ( feat . Emeli Sand ' © & Professor Green ),Naughty ooy,Ho\el Cabana ( Deluxe Version ),"P%p , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$P1.29,2013 Naughty Boy {ecordings Ltd under exclusive licence to Virgin Records Ltd,4715,6lMay-14,za La La [ feat . Sam Smith ],Na}ghty Boy,Hote6 Cabana [ Explicit ],Po>,$ ^.29,( C ) 2014 Naughty Boy Reco0dings Ltd under exclusive licence to Virgin Records Ltd,U:42,"May(6 , 2014",63
0,"The Motto ( feat . Lil Wayne ) "" Bonus Track ]",Drak~,TaketCare ( Deluxe Version ),"H,p-Hop/Rap , Music",$w1.29,‰ ãÑ 2011 Cash Boney Records Inc.,3n01,o5-Nov-11,"Fancy ( Edithd ) [ feat . T.I. , Swizz Beatz ]",Dkake,Tlank Me Later ( Edited Version ),Rap ` Hip-Hop,8 1.29,( C ) 2010 Y]ung Money Entertainment/Cash Money Records/Universal Motown,{:19,"June*16 , 2010",115
0,St|rry Eyed ( AN21 and Max Vangeli Remix ),Ellie2Goulding,"Starry,Eyed ( Remixes ) - EP","DanceB, Music , Pop , Rock",$f1.29,2011 Polydo2 Ltd. ( UK ),&:14,15-FeZ-11,Lights ( Shook Remiu ),0llie Goulding,Lightsf( The Remixes Part 1 ),]op,$ 1.2~,(}C ) 2011 Polydor Ltd. ( UK ),3:4w,"Mao 23 , 2011",216
0,Dangerous)( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David buetta,Listen9( Deluxe Version ),"Dancer, Music , Rock , House , Electronic , French Pop",$ ).29,"2014 What A Music Ltd. u0der exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3f20,24YNov-14,Take You^ ( Album Version ( Edited ) ) [ feat . Bun B ] [ Clean ],David Baqner,Cert~fied ( Edited Version ),RaW & Hip-Hop,$ @.69,"(GC ) 2014 Island Records , a division of UMG Recordings , Inc.","4:4,","SGptember 20 , 2005",4
0,Ma)terpiece ( feat . Jordan Rakei ),Disclosu0e,C$racal,"Electronic , Mwsic , Dance , Garage , House , Rock",Album Okly,"2015 I4land Records , a division of Universal Music Operations Limited",4i01,1an,Holding On [ f3at . Gregory Porter ],Di!closure,C4racal,"Elecyronica , Dance & Electronic",$ <.29,"(FC ) 2015 Island Records , a division of Universal Music Operations Limited",5515,"SeptemberY25 , 2015",226
0,Lhatcha Say ( Klubjumpers Remix Radio ),JOson Derulo,RZloaded,"Popz, Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ A.29,2011 This C&mpilation P2011 Warner Bros. . Records Inc.,4102,"1,-Dec-11",ThI Sky 's The Limit ( Ayo Remix ),JZson Derulo,"Reloa""ed",Aop,' 1.29,"(VC ) 2006 DTP Records , LLC",d:25,"December P6 , 2011",45
0,"Youngs, Wild & Free ( feat . Bruno Mars )",Sn^op Dogg,Mac{and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],"Soundtrack,Kusic,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack",$ &.99,2011 Atlantic Recorning Corporation for the United States and WEA International Inc. for the world outside of the United States,4:1',B2-Dec-11,Can You Control Yo Hoe [ Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ],\noop Dogg,R&G ( Rhythm & Gangsta ) : Th4 Masterpiece ( Explicit Version ),"Gangsta & Har{core , Rap & Hip-Hop",$K0.99,($C ) 2004 Geffen Records,3z08,"November 1"" , 2004",108
0,TitHnium ( Cazzette 's Ant Seeking Hamster Mix ) [ feat . Sia ],David Gue=ta,Titanium ( Remixes ) [ feat X Sia ],"Dan?e , Music , Electronic",$ 0@99,"2011 What A Music Ltd , lice>ce exclusive Parlophone Music France",<:37,A0-Jan-12,"Hey Mama ( feat . N#cki Minaj , Bebe Rexha & Afrojack ) [ DJ LBR Remix ]",Dav_d Guetta,"Hey Mama ( feat . Nycki Minaj , Bebe Rexha & Afrojack ) [ Remixes EP ]",Dance & Electron\c,$ 1u29,2015nMichelle Kelly,E:23,"May_12 , 2015",133
