ltable_title,ltable_description,ltable_brand,rtable_title,rtable_description,rtable_brand,label,id
"461826 b21 hp 2gb pc5300 2x1gb kit , null new wholesale price",description genuine hpe 2gb fbd pc2 5300 2x1gb low power single rank memory kitpart number s option part 461826 b21,hp enterprise,"null , 358349 b21 hp 2gb pc2700 sdram module",description genuine hpe 2gb 1x2gb of advanced ecc pc2700ddr 333 sdram dimm memory modulepart number s option part 358349 b21 spare 367553 001 assembly 331563 051,hp enterprise,0,15174562#15654089
apple imac 27 inch 3 5ghz quad core i7 late 2013 me089ll a macofalltrades,apple part number me089ll a hardware configuration 27 inch led backlit glossy widescreen tft lcd display with ips 2560x1440 resolution3 5ghz quad core intel core i7 processor with turbo boost up to 3 9ghz8 0gb 4x2 0gb pc3 12800 1600mhz ddr3 so dimm supports up to 32 0gb3 0tb serial ata hard disk drive 7200rpmnvidia geforce gtx 780m graphics with 4gb of gddr5 memoryairport extreme wireless card 802 11ac bluetooth 4 0built in facetime hd camera2 thunderbolt ports4 usb 3 0 ports1 ethernet port1 secure digital sdxc slotpower cable included,,apple imac 27 inch 2 9ghz quad core i5 late 2012 md095ll a macofalltrades,apple part number md095ll a hardware configuration 27 inch led backlit glossy widescreen tft lcd display with ips 2560x1440 resolution2 9ghz quad core intel core i5 processor with turbo boost up to 3 6ghz8 0gb 4x2 0gb pc3 12800 1600mhz ddr3 so dimm supports up to 32 0gb1 0tb serial ata hard disk drive 7200rpmnvidia geforce gtx 660m graphics with 512mb gddr5 memoryairport extreme wireless card 802 11a b g n bluetooth 4 0built in facetime hd camera2 thunderbolt ports4 usb 3 0 ports1 ethernet port1 secure digital sdxc slotpower cable included,,0,17033106#15346584
corsair ax860i,fuente de alimentaci n 860w modular 80plus platinum con control dsp digital,,corsair ax860i 80 platinum,corsair ax860i 80plus platinum 860w 100 240v 50 60 hz 12 cm actif 24 pin atx,,1,4370336#5591751
"""Acer Swift 1 SF113-31-P4A2 Pink ""@de","""                                                         33,80cm (13,3"") FullHD, Intel Pentium N4200 (4x 1,1GHz), 4GB RAM, 256GB SSD, Intel HD Graphics, Windows 10 Home 64-Bit                                                ""@de",,intel barebones nuc kit nuc5i5ryh ucff core i5 5250u 1 6ghz max 16gb ddr3l 1x2 5 bay m 2 pcie gbe ac bt boxnuc5i5ryh,,,0,17557479#14404470
hdd desk black 1tb 3 5 sata 6gbs 64mb zona apple tu tienda online l der con precios m s baratos,wd black performance hard drive wd1003fzex disco duro 1 tb interno 3 5 sata 6gb s 7200 rpm b fer 64 mb,,western digital 1tb wd1003fzex black hard drive hdd ln53872 scan uk,1tb wd black wd1003fzex 3 5 hdd sata iii 6gb s 7200rpm 64mb cache,,1,10194898#1690717
wd red 2tb 5400rpm sata 6gb s 64mb cache hdd oem wd20efrx ocuk,2tb capacity 3 5 inch sata 6gb s interface optimal compatibility for nas systems 3 year warranty,wd,b grade seagate 2tb 7200rpm sata 6gb s 64mb cache hdd oem st2000dm001 ocuk,2tb capacity sata 6gb s interface 7200rpm spin speed 64mb cache 2 year warranty,seagate,0,16275041#7335905
amd a8 5600k black edition 3 60ghz socket fm2 apu trinity quad core processor ad560kwohjbox ocuk,integrated hd 7560d graphics quad core technology 3 90ghz clock speed 760mhz gpu clock speed 4mb l2 cache 256 radeon cores ddr3 2400 support 100w tdp 3 year warranty,amd,amd black edition a8 5600k 3 6 ghz processor prices cnet,,amd advanced micro devices,1,3278254#14201351
hp 397409 b21 1gb fbd pc2 5300 2x512 kit,hp 397409 b21 1gb fbd pc2 5300 2x512 kit,hp,"null , 432806 b21 hp 2gb pc2 5300 sdram module new wholesale price",description genuine hpe 2gb 1x2gb unbuffered pc2 5300666mhz ecc dimm sdram modulepart number s option part 432806 b21 spare part 433935 001,hp enterprise,0,15856581#17258138
apple ipad mini 4 128gb wifi gold buy at connection public sector solutions,,,apple 12 9 inch ipad pro wi fi tablet 32 gb ml0h2ll a tablets cdw com,no matter the task the ipad pro is up to it and then some it offers far more power than most pc laptops yet is delightfully simple to use the redesigned retina display is as stunning to look at as it is to touch everything you want modern computing to be now even well better,,0,14728032#6443065
corsair cmu16gx4m2c3000c15,memoria ram dual kit 2x8gb pc4 24000 ddr4 3000mhz 15 17 17 35 2n 1 35v xmp vengeance led blanco,,corsair vengeance led 16gb 2x8gb ddr4pc4 21300c16 2666mhz dual channel kit red ocuk,2666mhz ram speed cas 16 18 18 35 timings 1 20 vdimm lifetime warranty with ocuk,corsair,0,3384262#2748862
