Song_Name;Artist_Name;Album_Name;Genre;Price;CopyRight;Time;Released;Neg_sample_ID
324;493;493;493;324;493;493;493;25
324;324;324;324;324;324;223;324;271
493;324;324;493;493;324;223;493;267
373;373;373;373;373;373;373;373;130
84;84;84;84;84;84;84;84;301
488;373;488;373;373;373;373;373;202
409;488;488;488;488;488;409;488;118
84;84;84;84;84;84;84;84;15
488;488;488;488;488;488;488;488;359
373;373;373;373;373;373;373;373;136
488;488;488;488;488;488;488;488;319
440;440;440;440;440;324;84;440;454
84;84;84;523;84;84;84;523;500
324;324;324;324;324;324;84;324;65
493;493;488;493;488;488;488;488;501
181;373;488;373;373;373;373;373;113
84;84;84;84;84;84;84;84;238
324;324;324;324;324;324;84;324;182
324;324;324;324;324;324;324;324;34
373;373;373;373;373;373;373;373;116
84;84;84;84;84;84;84;84;109
493;493;440;493;493;493;223;440;371
373;373;373;373;373;373;373;373;83
488;488;488;488;488;488;223;488;431
409;488;409;409;409;488;409;488;195
409;409;409;409;409;409;409;409;312
353;353;353;353;353;353;84;353;77
370;370;370;370;370;370;370;370;314
474;474;50;474;474;474;474;474;357
488;493;493;493;493;493;493;493;378
409;373;488;488;373;373;373;373;467
488;488;488;488;488;488;488;488;55
373;373;373;373;373;373;373;373;89
409;409;409;409;409;409;409;409;221
373;373;373;373;373;373;223;373;125
409;488;488;409;488;488;409;488;341
488;488;488;488;488;488;373;488;37
523;409;523;523;523;523;409;523;306
522;522;522;522;522;522;522;522;531
488;488;488;488;488;488;488;488;214
488;373;373;373;373;373;373;373;484
373;373;373;373;373;373;373;373;139
373;373;373;373;373;373;223;373;91
181;373;488;373;373;373;373;373;452
409;409;409;409;409;409;409;409;402
353;373;373;373;373;373;373;373;78
488;488;488;488;488;488;488;488;422
440;440;440;440;440;440;304;440;259
7;7;7;7;7;7;7;7;129
373;373;373;373;373;373;373;373;328
7;373;7;373;373;373;223;373;470
373;373;373;373;373;373;373;373;521
488;488;488;488;488;488;488;488;445
493;493;493;493;493;493;223;493;161
488;488;488;488;488;488;488;488;360
373;373;373;373;373;373;373;373;336
488;488;488;488;488;488;488;488;275
370;373;370;370;373;373;223;370;487
523;523;523;523;523;523;84;523;209
373;373;373;373;373;373;223;373;172
440;440;440;440;440;440;84;440;235
353;353;353;353;353;353;353;353;347
84;84;84;84;84;84;84;84;514
181;181;181;493;181;181;373;181;255
181;373;181;181;373;373;373;373;80
353;353;353;353;353;353;353;353;193
7;7;7;7;7;7;7;7;372
488;488;488;488;488;488;373;488;299
493;493;493;493;493;493;223;493;28
409;493;409;409;409;488;409;488;311
504;504;504;504;504;504;62;504;241
373;373;373;373;373;373;373;373;375
392;390;392;392;392;392;392;392;46
219;218;219;219;219;219;219;219;420
181;181;181;181;181;181;181;181;63
493;493;493;493;493;493;493;493;492
488;488;488;488;488;488;488;488;366
181;181;181;181;181;181;181;353;227
373;373;373;373;373;373;373;373;93
523;523;523;523;523;523;523;523;262
493;324;324;493;493;324;324;493;284
353;353;353;353;353;353;353;353;367
181;181;181;181;181;181;181;181;410
488;488;488;488;488;488;223;488;421
409;409;523;409;409;409;409;523;19
409;488;409;409;409;409;409;488;204
373;373;373;373;373;373;373;373;99
324;324;324;324;488;324;84;324;278
181;181;181;181;181;181;181;181;442
181;181;181;181;181;181;409;181;427
84;84;84;84;84;84;84;84;160
373;373;373;373;373;373;373;373;90
7;7;7;7;7;7;7;7;342
181;181;181;181;181;181;353;353;30
373;373;223;373;373;373;223;373;123
493;493;493;493;493;493;493;493;477
373;373;373;373;373;373;373;373;97
523;523;523;523;523;523;84;523;424
373;373;373;373;373;373;373;373;176
84;373;84;84;84;84;84;84;532
181;181;181;181;181;181;181;181;205
370;223;223;223;223;223;223;370;180
370;370;370;353;370;370;370;370;189
181;488;488;488;488;488;488;488;33
324;488;488;488;488;488;373;488;435
440;440;440;440;440;440;440;440;13
84;488;84;84;84;488;84;488;382
