Song_Name;Artist_Name;Album_Name;Genre;Price;CopyRight;Time;Released;Neg_sample_ID
('324', '474');('493', '44');('493', '373');('493', '389');('324', '215');('493', '253');('493', '391');('493', '213');25
('324', '506');('324', '474');('324', '506');('324', '490');('324', '261');('324', '254');('223', '528');('324', '213');271
('493', '506');('324', '474');('324', '114');('493', '490');('493', '261');('324', '254');('223', '528');('493', '213');267
('373', '223');('373', '474');('373', '478');('373', '415');('373', '339');('373', '408');('373', '503');('373', '213');130
('84', '58');('84', '70');('84', '495');('84', '191');('84', '339');('84', '250');('84', '528');('84', '506');301
('488', '488');('373', '474');('488', '488');('373', '490');('373', '339');('373', '407');('373', '523');('373', '213');202
('409', '42');('488', '474');('488', '114');('488', '396');('488', '339');('488', '408');('409', '523');('488', '213');118
('84', '84');('84', '455');('84', '7');('84', '396');('84', '339');('84', '396');('84', '411');('84', '440');15
('488', '474');('488', '474');('488', '114');('488', '415');('488', '339');('488', '407');('488', '409');('488', '213');359
('373', '87');('373', '474');('373', '506');('373', '490');('373', '339');('373', '407');('373', '528');('373', '213');136
('488', '474');('488', '474');('488', '114');('488', '415');('488', '339');('488', '407');('488', '409');('488', '213');319
('440', '42');('440', '474');('440', '114');('440', '396');('440', '339');('324', '253');('84', '503');('440', '213');454
('84', '324');('84', '503');('84', '191');('523', '523');('84', '339');('84', '408');('84', '523');('523', '213');500
('324', '405');('324', '54');('324', '263');('324', '523');('324', '396');('324', '396');('84', '528');('324', '213');65
('493', '186');('493', '474');('488', '260');('493', '490');('488', '339');('488', '408');('488', '528');('488', '213');501
('181', '506');('373', '474');('488', '506');('373', '396');('373', '339');('373', '407');('373', '373');('373', '213');113
('84', '370');('84', '62');('84', '463');('84', '396');('84', '339');('84', '414');('84', '528');('84', '523');238
('324', '257');('324', '54');('324', '405');('324', '523');('324', '339');('324', '396');('84', '324');('324', '213');182
('324', '415');('324', '474');('324', '478');('324', '490');('324', '215');('324', '253');('324', '324');('324', '213');34
('373', '87');('373', '474');('373', '506');('373', '490');('373', '261');('373', '408');('373', '528');('373', '213');116
('84', '58');('84', '54');('84', '331');('84', '523');('84', '339');('84', '396');('84', '503');('84', '213');109
('493', '506');('493', '474');('440', '506');('493', '490');('493', '339');('493', '407');('223', '528');('440', '213');371
('373', '87');('373', '474');('373', '506');('373', '415');('373', '339');('373', '253');('373', '503');('373', '213');83
('488', '488');('488', '474');('488', '488');('488', '415');('488', '339');('488', '408');('223', '528');('488', '213');431
('409', '2');('488', '54');('409', '114');('409', '523');('409', '339');('488', '407');('409', '389');('488', '213');195
('409', '84');('409', '54');('409', '114');('409', '523');('409', '396');('409', '396');('409', '409');('409', '213');312
('353', '488');('353', '474');('353', '191');('353', '396');('353', '390');('353', '407');('84', '373');('353', '213');77
('370', '207');('370', '474');('370', '478');('370', '490');('370', '280');('370', '253');('370', '283');('370', '213');314
('474', '474');('474', '54');('50', '283');('474', '523');('474', '339');('474', '396');('474', '530');('474', '213');357
('488', '474');('493', '254');('493', '373');('493', '286');('493', '215');('493', '253');('493', '391');('493', '213');378
('409', '42');('373', '474');('488', '503');('488', '490');('373', '339');('373', '407');('373', '373');('373', '213');467
('488', '42');('488', '474');('488', '506');('488', '396');('488', '339');('488', '407');('488', '409');('488', '213');55
('373', '415');('373', '474');('373', '43');('373', '396');('373', '339');('373', '254');('373', '373');('373', '213');89
('409', '47');('409', '71');('409', '254');('409', '393');('409', '215');('409', '506');('409', '373');('409', '213');221
('373', '415');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('223', '528');('373', '213');125
('409', '186');('488', '54');('488', '488');('409', '523');('488', '339');('488', '407');('409', '409');('488', '213');341
('488', '488');('488', '474');('488', '506');('488', '396');('488', '339');('488', '254');('373', '263');('488', '213');37
('523', '463');('409', '54');('523', '405');('523', '489');('523', '396');('523', '408');('409', '523');('523', '213');306
('522', '502');('522', '433');('522', '181');('522', '62');('522', '339');('522', '488');('522', '411');('522', '339');531
('488', '42');('488', '54');('488', '506');('488', '523');('488', '339');('488', '408');('488', '523');('488', '213');214
('488', '506');('373', '474');('373', '488');('373', '415');('373', '339');('373', '407');('373', '373');('373', '213');484
('373', '223');('373', '474');('373', '478');('373', '415');('373', '339');('373', '408');('373', '503');('373', '213');139
('373', '415');('373', '474');('373', '488');('373', '396');('373', '339');('373', '408');('223', '528');('373', '213');91
('181', '5');('373', '474');('488', '114');('373', '415');('373', '339');('373', '407');('373', '528');('373', '213');452
('409', '386');('409', '505');('409', '339');('409', '461');('409', '339');('409', '396');('409', '409');('409', '505');402
('353', '415');('373', '474');('373', '478');('373', '415');('373', '261');('373', '254');('373', '228');('373', '213');78
('488', '506');('488', '474');('488', '191');('488', '396');('488', '339');('488', '407');('488', '409');('488', '213');422
('440', '324');('440', '474');('440', '506');('440', '286');('440', '280');('440', '253');('304', '304');('440', '213');259
('7', '223');('7', '474');('7', '373');('7', '70');('7', '215');('7', '253');('7', '7');('7', '228');129
('373', '43');('373', '474');('373', '488');('373', '461');('373', '339');('373', '407');('373', '528');('373', '213');328
('7', '506');('373', '474');('7', '488');('373', '415');('373', '339');('373', '254');('223', '528');('373', '213');470
('373', '43');('373', '474');('373', '533');('373', '461');('373', '339');('373', '408');('373', '528');('373', '213');521
('488', '42');('488', '474');('488', '506');('488', '415');('488', '339');('488', '408');('488', '389');('488', '213');445
('493', '506');('493', '474');('493', '506');('493', '396');('493', '339');('493', '254');('223', '503');('493', '213');161
('488', '474');('488', '474');('488', '114');('488', '396');('488', '339');('488', '407');('488', '409');('488', '213');360
('373', '43');('373', '474');('373', '488');('373', '461');('373', '339');('373', '407');('373', '528');('373', '213');336
('488', '506');('488', '474');('488', '331');('488', '490');('488', '261');('488', '254');('488', '409');('488', '213');275
('370', '42');('373', '474');('370', '488');('370', '490');('373', '261');('373', '407');('223', '528');('370', '213');487
('523', '392');('523', '54');('523', '191');('523', '523');('523', '339');('523', '506');('84', '411');('523', '213');209
('373', '415');('373', '474');('373', '506');('373', '415');('373', '339');('373', '254');('223', '528');('373', '213');172
('440', '2');('440', '411');('440', '503');('440', '396');('440', '339');('440', '414');('84', '490');('440', '523');235
