Song_Name;Artist_Name;Album_Name;Genre;Price;CopyRight;Time;Released;Pos_sample_ID
180;402;491;401;281;297;357;290;305
81;49;116;371;231;487;380;519;488
188;422;491;422;281;297;472;397;407
441;337;301;401;281;297;357;290;70
426;402;491;422;281;378;472;290;47
341;424;46;282;231;116;465;182;186
236;402;491;401;281;375;357;290;461
524;418;341;182;281;420;201;290;411
188;402;83;422;281;297;357;397;436
244;418;64;182;243;420;22;397;12
525;422;491;422;281;378;472;199;482
441;418;83;418;281;297;39;290;528
188;402;491;401;281;297;357;199;517
244;418;341;83;281;420;462;397;252
248;521;220;3;231;534;241;419;504
285;22;275;167;231;258;372;335;7
426;422;83;182;281;378;472;199;8
167;402;491;38;281;199;357;290;254
206;402;83;422;281;361;357;199;494
217;262;105;477;231;306;179;246;391
426;422;83;182;281;378;472;199;0
426;402;83;421;281;378;472;290;450
149;402;491;425;281;379;472;290;87
206;402;491;422;281;297;357;290;505
247;418;83;398;281;420;144;290;523
206;420;83;401;281;297;357;290;387
335;402;491;401;281;361;472;397;533
167;402;491;422;281;199;357;290;253
188;402;491;422;281;361;472;397;386
441;244;73;401;281;297;357;290;190
524;422;341;422;281;420;472;397;393
256;418;83;398;281;420;79;290;489
188;402;83;401;281;297;472;290;216
217;262;105;477;231;306;179;246;390
429;422;492;422;281;199;357;290;42
244;145;225;402;231;221;264;434;304
441;244;83;401;281;297;318;199;212
441;244;83;401;281;297;357;290;191
477;418;83;182;281;420;439;290;102
180;402;492;422;281;378;472;290;54
288;402;491;422;281;297;472;290;261
426;402;83;422;281;378;357;290;50
206;402;491;401;281;297;472;290;229
426;402;491;401;281;378;472;290;292
535;402;83;38;281;199;472;290;433
256;423;83;398;281;420;75;397;228
535;402;492;422;281;420;472;290;260
344;402;341;401;281;375;472;199;334
426;402;83;38;281;378;357;290;520
248;97;248;527;231;306;459;473;219
441;244;301;401;281;394;357;290;245
535;402;491;421;281;379;472;397;506
188;422;491;422;281;297;472;397;408
120;402;377;421;281;187;188;290;223
288;422;491;422;281;297;472;290;41
441;337;83;401;281;297;318;397;114
426;402;491;401;281;378;472;290;293
288;402;83;422;281;297;472;290;483
206;402;83;401;281;297;472;290;385
441;244;83;401;281;297;318;199;412
477;418;83;182;281;420;439;290;84
426;422;491;182;281;511;472;290;2
180;418;492;182;281;420;256;397;280
244;418;77;398;281;378;368;397;283
426;402;83;422;281;378;357;290;289
441;244;83;401;281;297;357;199;516
441;422;83;422;281;297;357;199;388
441;244;83;401;281;297;318;199;413
258;418;83;182;281;420;451;397;490
243;402;491;401;281;375;357;397;474
239;424;208;282;231;509;119;477;181
306;422;341;422;281;361;472;290;495
18;418;527;284;328;420;341;290;409
417;402;492;422;281;378;472;290;415
285;273;65;371;259;487;354;410;353
206;422;492;422;281;297;357;397;497
90;49;60;519;231;487;99;178;373
206;402;83;401;281;297;472;290;405
426;402;83;182;281;297;472;290;67
441;244;83;401;281;394;357;397;1
288;422;491;422;281;297;472;290;44
344;402;83;401;281;375;472;397;333
426;422;491;422;281;378;357;290;257
441;244;301;381;281;297;357;199;455
180;402;492;422;281;297;472;290;53
426;402;491;401;281;378;472;397;224
535;402;491;381;281;199;357;397;230
344;402;83;381;281;375;357;397;530
248;439;248;527;231;306;459;473;218
513;402;492;422;281;199;472;199;486
535;402;491;182;281;378;472;397;56
424;419;311;284;328;335;141;290;440
180;402;491;182;281;379;472;290;183
524;422;341;422;281;420;318;397;395
441;422;73;401;281;297;357;290;526
306;402;492;182;281;378;472;397;463
426;402;491;422;281;378;472;290;51
535;402;491;401;281;199;472;290;339
535;402;83;422;281;375;357;290;479
513;402;492;182;281;420;472;290;207
535;402;492;422;281;420;472;290;251
236;402;491;422;281;297;357;397;414
335;402;377;418;328;420;154;290;522
235;49;248;423;231;536;458;322;370
426;402;491;422;281;378;472;290;45
441;244;83;401;281;297;318;199;406
217;262;105;477;231;306;179;246;392
441;337;301;401;281;297;318;290;71
206;422;83;401;281;297;357;124;52
288;402;492;422;281;297;472;397;478
202;423;492;425;281;379;472;290;416
206;422;83;401;281;297;357;124;48
259;273;509;120;259;487;233;182;324
535;402;491;182;281;378;472;290;58
206;402;83;401;281;297;357;290;332
441;244;73;401;281;297;357;199;287
438;418;83;421;281;420;166;397;286
188;262;511;477;231;208;399;262;389
429;422;492;422;281;199;357;290;43
426;422;83;182;281;378;472;199;5
441;418;83;182;281;420;40;290;263
206;402;83;401;281;297;357;290;331
426;422;492;421;281;378;472;397;213
188;402;491;422;281;297;472;397;215
306;402;492;421;281;378;472;290;62
424;480;160;477;231;303;431;410;493
256;439;201;83;281;420;240;90;396
206;422;83;422;281;297;472;199;502
438;418;491;398;281;420;290;397;250
426;402;341;401;281;199;472;290;313
180;418;492;182;281;420;256;397;276
244;418;491;421;281;420;233;397;503
