Song_Name;Artist_Name;Album_Name;Genre;Price;CopyRight;Time;Released;Pos_sample_ID
357;357;472;241;472;357;357;472;305
422;422;422;422;422;422;422;422;488
188;256;256;418;256;256;256;256;407
256;256;256;256;256;256;256;256;70
472;472;472;418;472;472;472;472;47
307;307;307;307;307;307;307;307;186
357;357;472;357;357;357;357;357;461
206;244;518;244;244;518;518;518;411
357;256;256;256;256;256;256;256;436
441;244;441;244;244;441;441;441;12
472;418;472;418;241;472;241;27;482
402;244;335;402;244;244;244;511;528
256;256;256;256;256;256;256;256;517
244;244;244;244;244;244;244;438;252
241;241;241;241;241;241;241;241;504
372;372;372;372;372;372;372;372;7
472;418;472;418;472;472;418;472;8
357;357;472;357;357;357;357;357;254
357;256;256;357;256;256;357;256;494
511;511;511;511;511;511;511;511;391
472;418;472;418;472;472;418;472;0
472;418;472;418;418;418;418;418;450
472;472;472;472;472;472;472;472;87
357;256;472;418;256;256;256;256;505
308;308;308;424;424;511;511;511;523
357;256;256;418;256;256;256;256;387
256;256;256;256;256;256;256;256;533
357;357;472;357;357;357;357;357;253
188;256;256;241;256;256;256;256;386
357;256;256;256;256;256;256;256;190
256;256;256;256;256;256;256;256;393
206;518;518;244;518;518;518;518;489
188;256;256;418;256;256;256;256;216
511;511;511;511;511;511;511;511;390
357;472;472;472;472;472;357;472;42
244;244;244;244;244;244;244;244;304
256;256;256;256;256;256;256;256;212
357;256;256;256;256;256;256;256;191
115;309;238;301;424;20;20;301;102
472;472;472;472;472;472;472;472;54
188;256;256;418;256;256;256;256;261
357;357;357;357;357;357;357;357;50
256;256;256;256;256;256;256;256;229
472;472;472;418;472;472;241;472;292
357;357;472;357;357;357;357;357;433
410;438;410;410;410;410;410;410;228
472;472;472;472;472;472;472;472;260
472;256;472;418;256;256;256;256;334
357;357;472;357;357;357;357;357;520
64;64;64;64;64;64;64;64;219
357;256;256;256;256;256;256;256;245
472;472;472;472;472;472;472;472;506
188;256;256;418;256;256;256;256;408
152;152;152;152;152;152;152;152;223
472;256;472;418;256;256;256;256;41
256;256;256;256;256;256;256;256;114
472;472;472;418;472;472;241;472;293
357;256;472;418;256;256;256;256;483
188;256;256;418;256;256;256;256;385
256;256;256;256;256;256;256;256;412
115;309;238;301;424;20;20;301;84
357;357;472;418;472;357;357;472;2
472;472;472;472;472;472;472;472;280
438;244;244;244;244;244;438;438;283
357;357;472;357;357;357;357;357;289
256;256;256;256;256;256;256;256;516
256;256;256;256;256;256;256;256;388
256;256;256;256;256;256;256;256;413
511;438;518;244;511;511;438;511;490
357;357;472;357;357;357;357;357;474
199;199;199;199;199;199;199;199;181
357;256;472;418;256;256;256;256;495
49;49;49;49;49;49;49;49;409
472;472;472;472;472;472;472;472;415
220;220;220;220;220;220;220;220;353
357;256;472;357;256;256;357;256;497
90;90;90;90;90;90;90;90;373
357;256;256;418;256;256;256;256;405
180;418;241;418;256;256;241;256;67
357;357;357;357;357;357;357;357;1
472;256;472;418;256;256;256;256;44
188;256;256;418;256;256;256;256;333
357;357;472;357;357;357;357;357;257
256;256;256;256;256;256;256;256;455
472;472;472;472;472;472;472;472;53
472;472;472;418;472;472;472;472;224
357;357;357;357;357;357;357;357;230
357;357;357;357;357;357;357;357;530
64;64;64;64;64;64;64;64;218
472;472;472;472;472;472;472;472;486
472;418;472;418;472;472;241;472;56
309;309;309;309;309;309;309;309;440
472;472;472;418;472;472;241;472;183
256;256;256;256;256;256;256;256;395
357;256;256;256;256;256;256;256;526
472;256;472;418;256;256;241;256;463
472;472;472;418;472;472;241;472;51
472;418;472;418;472;472;472;472;339
357;357;472;357;357;357;357;357;479
472;418;472;418;472;472;241;472;207
472;472;472;472;472;472;472;472;251
357;357;472;357;357;357;357;357;414
335;335;335;335;335;335;335;335;522
372;372;372;372;372;372;372;372;370
472;472;472;418;472;472;241;472;45
256;256;256;256;256;256;256;256;406
511;511;511;511;511;511;511;511;392
256;256;256;256;256;256;256;256;71
357;256;256;256;256;256;256;256;52
472;256;472;418;256;256;241;256;478
472;472;472;472;472;472;472;472;416
357;256;256;256;256;256;256;256;48
233;233;233;233;233;233;233;233;324
472;472;472;418;472;472;472;472;58
357;256;256;256;256;256;256;256;332
256;256;256;256;256;256;256;256;287
206;402;518;402;244;206;244;291;286
206;206;206;206;206;206;206;206;389
357;357;472;472;472;357;357;472;43
472;418;472;418;472;472;418;472;5
291;244;518;244;244;244;244;511;263
357;256;256;256;256;256;256;256;331
472;472;472;418;472;472;241;472;213
188;256;256;418;256;256;256;256;215
472;418;472;418;472;472;241;472;62
233;233;233;233;233;233;233;233;493
518;518;518;518;518;518;518;518;396
188;256;256;256;256;256;256;256;502
291;402;480;402;518;518;518;518;250
472;418;472;418;472;472;472;472;313
472;472;472;472;472;472;472;472;276
518;244;518;244;244;518;518;518;503
