name,description,price,SampleID
2372,5498,5428,7973
8495,6212,7428,8326
8112,429,9052,7749
8112,5498,7428,7982
8112,8898,1822,8691
2372,5292,7626,9239
8468,3561,7428,8935
1646,2677,1822,8441
6503,2677,1822,8440
2372,6275,7626,7902
2372,2904,7626,8626
6167,5250,2731,9119
7631,5498,5266,9524
1808,904,7626,8597
8112,5727,5531,9271
7573,5250,1822,9370
2085,2085,9052,8190
2549,6361,1822,9347
1808,6104,1822,7761
5804,5250,7428,8436
9458,3435,7626,8352
5804,5720,7428,8291
2549,2,7626,9332
2372,5498,7428,8594
7334,2677,5498,8033
2549,5498,7428,8448
8112,224,7626,8474
8898,4414,1770,7949
8112,2446,9052,8199
8814,4016,5875,8009
7630,575,5712,9117
8112,5250,1822,8016
8112,224,7428,7703
7589,6275,7626,8387
2372,6182,5582,7900
9245,3802,3487,9567
2586,462,7626,8712
2549,6104,1822,7760
8112,5251,7428,8109
8112,6104,7428,7731
9157,6259,7626,7785
5804,868,7428,8251
2372,9095,1770,9094
6104,216,7626,7878
2372,3404,1822,8268
5804,6324,2662,8846
5498,2764,7428,8933
1808,1716,1822,8902
1646,6104,1822,8279
8112,4376,1822,8924
2372,6830,8544,7797
2549,6104,1822,7753
2549,6104,7428,8482
8112,1931,1822,8679
1484,868,5531,9459
5202,5202,7626,8102
5804,3220,7428,8444
6503,5250,7428,9060
7227,5251,7428,8412
6507,2677,7626,8811
2372,5498,7428,8087
9064,5996,5531,8656
8112,7149,3888,8815
5804,2677,1822,8372
6344,6588,7428,8150
2372,5250,9052,8550
7577,575,7626,9077
4058,3458,9236,9237
1646,5136,7428,8980
6503,3305,7626,7687
7589,7131,7626,8310
7631,3802,1770,9485
2372,3338,7428,8073
8112,224,1822,7967
5804,3404,7428,8143
4816,4816,7626,8229
2372,7899,5428,7874
5804,224,7626,8003
8804,6104,7626,7798
2372,5250,7428,8110
2549,6104,7428,7772
8804,3065,7626,7792
4124,5244,9469,8569
8112,6104,7428,7768
2549,6104,7428,8480
2372,2677,7428,8813
6167,5498,5547,8936
5804,2586,7428,7839
6104,3369,7428,8327
8627,2485,7428,8065
7657,2677,5547,9367
2586,5250,7626,9247
7577,5255,5582,8427
5804,5250,5428,9223
9336,2586,7428,8245
7131,5292,5428,8301
7231,7845,4333,7784
9557,4016,7626,8818
5804,5498,5531,8360
2549,3404,7428,7849
5804,3220,7428,8445
2549,868,7428,8292
2372,5498,5428,8948
4986,5505,1339,7676
7628,418,5428,7887
6212,5225,2312,8422
2549,8898,7626,8314
1214,3404,7428,7781
9336,4390,7428,8764
5804,3404,7428,8147
7684,4627,9052,7786
6507,4409,7626,7665
2372,6275,5428,8385
6788,5250,1822,9337
5804,868,7428,8506
5804,5498,7428,8068
7573,5604,5443,8258
8750,4376,7428,9404
2005,3404,9052,8999
2549,9306,7626,9304
8750,3787,7428,8289
6167,5505,5428,8577
5804,3338,7428,8514
7519,4627,7428,8573
8896,6324,7407,8869
7413,8843,7626,8465
5197,5197,7626,9274
8112,2207,1822,8823
5804,5122,7428,9553
5804,5498,9052,9143
2549,8408,1822,8478
8627,2677,9052,7681
5251,5498,7428,9139
1214,5996,5531,8653
8804,6221,7428,8340
6507,8726,7428,8725
2549,6104,7428,8484
5804,7725,7428,8152
2549,6104,5531,7769
2372,4376,7428,8162
8351,6361,5428,9229
8627,2,7626,9216
2372,5498,1822,7969
8641,3561,1822,8937
7628,7899,7428,7885
1484,9167,7626,9169
8750,9455,1822,8683
8112,8898,1822,8698
6104,5250,9052,7995
2372,4689,7428,8160
9213,5498,7428,8059
8627,2677,7626,9424
7413,5250,9373,9369
6104,8627,7626,8856
5410,3765,3765,9571
4986,4524,7626,9487
7896,1931,1822,9290
2372,5498,7428,9198
8896,9512,7626,8197
1646,7725,1822,8337
8187,6588,7428,8202
2372,5251,7428,8623
2549,6104,7626,7837
2549,4689,5443,7748
8814,6275,7626,8011
6503,2677,7626,8722
8187,5498,5428,9091
2549,6104,7428,8479
7589,6275,7626,8383
8112,462,7428,8116
7630,5250,1822,8565
8750,8408,1822,7773
2372,462,7428,8118
7628,4058,7626,8730
2586,5250,1822,9181
8351,4878,5251,9493
7589,6747,5428,8080
1808,8408,1822,7746
7571,5345,7428,7917
1646,6273,7626,8049
5387,5679,3338,9482
2372,3561,7428,8992
2904,5498,7428,8425
8351,2,7626,9218
4986,5448,7428,8432
9557,4650,5428,9444
9144,4376,2738,9431
2549,6830,7428,8205
2549,4390,7428,8242
7631,2,7428,9522
8187,3404,7626,8489
1808,1931,1822,9291
8750,5250,7428,8825
4986,2446,1822,8931
2549,9306,7428,9015
9245,5667,4106,9044
5209,2602,7428,8177
8112,8898,1822,8680
6104,3404,1822,8648
9386,7076,168,9073
7628,418,5498,7890
8750,5720,1822,8703
2549,6104,7428,7745
8750,8408,1822,7735
5804,6104,7428,8133
2372,224,1822,7702
8112,8408,1822,7732
1808,5250,7428,9402
5804,4266,7626,8907
7413,5505,7626,9214
8077,8077,7428,8163
4986,4530,7626,9486
9336,3369,7428,8324
9397,9497,7626,9499
8112,3324,7428,8502
1808,2512,9052,8713
8112,868,7428,8178
8112,6104,9052,7799
8750,6588,7428,8611
9361,6780,5289,9349
7193,5250,5428,8545
2549,4377,7626,9310
7652,8169,7626,8168
2372,2975,7428,8145
8750,8898,7428,8697
5804,1136,7626,8859
6273,8077,3210,8165
2549,9306,5428,9302
9336,4865,3487,9334
2860,8174,5708,8173
6104,418,1822,7990
7580,7149,5531,7935
8221,6104,9052,7795
2549,5300,9052,8820
8804,3065,9052,7793
2372,3324,7626,7747
2372,4016,9052,8986
2372,868,7428,7717
7589,1770,5676,8588
7571,9539,7626,8586
6994,9570,7626,9141
7571,5498,7626,9146
6212,5936,4459,7752
4986,5452,200,9124
64,8898,7626,9135
2586,2,7626,9330
1808,1716,7428,8904
2372,6259,7428,7893
2549,4935,7428,8871
2372,6275,7626,7876
2372,224,7428,8590
2005,3404,5428,8496
6503,8981,5547,8983
8187,1770,4826,8874
8351,5250,7428,8566
3925,9518,7517,9515
7631,6562,5722,9261
8641,3775,7626,8636
6507,2485,7428,8801
7336,5250,7428,8228
8221,3404,7626,8596
7684,2485,9052,7829
7608,5604,3487,9227
2372,224,5428,7966
5804,5498,9052,8888
7684,2586,7626,7794
8112,6104,9052,8139
5804,5498,5531,9203
6830,1343,5428,8835
2372,7899,7626,8012
7571,4376,1822,8075
7571,3670,7428,8773
7334,224,7428,8984
8112,1931,7428,8690
7413,1120,7626,9355
2372,4414,7626,8842
8898,5250,7428,9062
5804,2677,3300,8443
2549,4250,7428,8877
2586,868,9052,8664
7555,7480,7626,9414
1646,2677,7626,8021
7204,7204,7626,8887
7589,6182,9052,8343
8112,8529,5428,8528
8351,5250,5582,9267
8112,6104,7626,8274
2372,6259,7428,7705
9157,5244,4862,9468
8187,5996,5428,8491
2549,8627,7626,7947
2372,868,7428,7715
6167,5498,7428,9072
5804,9102,9052,9103
5686,1370,1822,8560
6104,2975,7626,7817
2372,6747,9052,9479
7608,4076,5257,9049
5384,9469,8708,8568
9114,5496,5531,7855
8814,6182,5241,8379
5209,9157,7626,9190
9518,4878,5443,8260
9361,5498,7626,8915
8112,6104,7428,8651
9144,9570,7428,9262
8627,2829,7428,7678
2372,224,5428,7965
2372,5122,5582,8044
5804,5498,5531,7979
9512,548,1822,8900
2372,6275,5428,7700
2372,5498,7428,8523
5804,4689,7428,8153
5804,5498,7428,7987
8750,9491,1822,8193
7589,6275,2312,7695
8641,4016,7626,8928
7896,4418,6830,8829
7635,5122,5547,9473
7577,5498,1822,8452
5804,826,7428,8658
7577,8408,7428,7771
2372,5250,7626,9150
2549,4281,9052,8879
8112,6104,7428,8134
7684,7725,7626,8334
9531,5667,1568,9260
8112,6104,7428,8212
5310,3364,9536,8333
8221,2586,7428,8805
6167,5505,9052,9559
2372,429,5428,8527
8112,9491,1822,8872
6167,5250,5428,9429
7413,2677,1822,8563
2549,6104,7428,8406
2586,2,5712,9377
5804,4376,7428,8072
4816,4816,7626,8230
5156,4066,9052,8616
2372,2053,7428,8795
8104,8104,7626,9280
7578,5498,5428,8914
8919,4780,5428,9112
5443,8431,5443,9542
8187,3404,1822,8227
2372,6259,7428,7871
9512,5771,5531,9076
5362,5543,5600,9159
8221,2904,9052,8176
5086,3785,3787,9389
2372,5498,7428,8083
8413,1214,3454,8416
7577,5936,7428,7744
14,5122,7626,8734
2372,1136,5257,9363
2372,1484,5531,7779
8804,904,7428,7825
5804,5498,5531,7975
2372,2485,1822,8076
5804,5498,7428,8743
7577,5498,7428,8453
2549,6104,7428,7820
2372,868,7428,9284
8112,6468,7428,8702
8221,6104,7428,8220
9557,5122,7626,9250
1808,1716,7428,9511
7450,6729,7626,8554
8750,6104,7428,7739
2586,6104,7626,7835
2485,3404,5428,8997
2005,1343,2662,8837
7519,826,7626,8275
8112,868,7428,8283
5804,5498,7626,9528
