title,manufacturer,price,SampleID
2553,1313,509,9889
9990,1034,5463,11520
11403,2705,1822,11106
5700,11519,7238,10860
204,10723,3565,10328
10821,8712,8598,10705
9696,132,4948,10186
4780,11055,78,11459
10693,1034,8781,10204
11588,976,10323,11094
8763,9515,7409,10001
911,976,1925,11581
2891,1911,1822,11105
2954,1034,9963,9737
5824,2032,918,9556
2954,7707,3565,10356
8416,7707,1822,11321
6590,1911,1822,11118
3558,11519,5611,10697
2761,7707,53,11364
4948,4470,4899,9412
1105,2032,2305,10827
10693,4470,4899,10462
467,6994,3565,10766
5625,6272,3574,10132
4473,1313,5611,9371
9593,11645,1822,9683
6665,1034,6502,9940
2172,1909,7645,10673
4780,1909,5611,10447
2706,1313,1822,11346
2980,7736,5463,11474
4780,1313,5611,10354
10067,1258,4539,9417
4780,4470,3977,9742
225,9591,7577,10800
4780,11519,53,11210
10167,1909,3565,10370
695,9591,3565,10424
467,1909,3565,9595
2954,4470,1822,11468
2954,11055,5016,11516
10437,10723,7690,10916
726,4470,7238,10418
7256,11055,9087,11298
1713,1034,3565,11410
5889,4470,9963,9911
1225,2705,6075,9650
4512,1313,7238,9977
2891,4470,5476,11384
2954,1034,2628,11470
4780,4470,10414,9527
4248,11519,5611,10888
1206,1034,3247,9776
9944,4470,4841,11447
2954,4470,5611,11602
10545,11055,53,10534
5889,4470,9963,11525
5259,3244,5463,11337
1273,4470,3565,9616
7476,11055,10736,10233
8348,6855,1822,9833
4780,9591,5611,11646
1096,1911,3574,10772
2954,2705,3565,9688
1225,4470,3565,10376
726,11055,4308,10216
4780,1909,1822,11039
11512,1909,4873,11514
3102,1313,2380,10115
4780,1034,1822,11085
2954,4470,10723,10550
5263,1003,3320,11120
4509,2705,4899,10052
5343,6994,3565,9929
2954,976,7317,10614
4308,4689,1845,9669
2954,3495,10723,11473
6590,2032,9863,10315
10693,11519,2161,9420
3286,7461,1004,11614
4495,11248,5922,10074
9824,1313,3565,10018
2954,1911,6374,10025
4780,4470,2711,10477
8108,1034,726,11319
3558,4470,3565,10085
2954,7707,5463,10303
7447,10545,5463,9409
11001,1313,6713,10366
5261,1911,7354,10369
6463,8257,836,10244
2172,4470,5463,10086
11512,1034,3565,10988
6605,3367,918,10748
5539,6272,7238,10319
4780,4470,5611,9500
10167,6994,4899,10787
218,9591,2032,11277
9944,6812,4202,9729
9432,10806,8869,11155
8735,1313,3452,11265
6861,1034,1822,10654
9891,1909,5463,11408
6424,2032,4948,11434
5225,7736,9963,11424
4780,1034,10332,10078
2172,1034,11231,9484
2954,2032,1822,11253
2954,1034,1822,9635
9944,459,726,11533
4308,1034,3565,10436
551,11055,4899,11352
4308,1909,5611,9524
8488,3495,5611,11016
1225,4470,4899,11615
3737,1909,1954,10969
11512,1034,3565,11205
2031,2705,3565,10272
4410,11055,5499,11333
225,11248,8233,10722
11287,8712,8712,10438
3558,1909,1822,9904
1225,2705,1822,10183
2954,11055,11231,10176
7843,1034,4948,11556
384,1313,9739,10126
4094,1258,11645,10507
4780,4470,6596,9682
551,6812,7284,9930
4780,1909,5463,11221
1778,1313,911,9814
2970,4470,9087,10915
2954,6812,9963,11315
9969,2032,9824,11283
4780,3367,2938,9479
9874,5265,2985,9909
9944,6812,5463,11398
5625,11216,6596,9429
8232,3367,2628,11309
2954,4470,316,9577
4248,5889,53,10090
9593,2032,3565,11170
5539,6812,1911,11551
3558,1909,6502,10484
7203,1909,1822,10128
7069,1480,969,11036
8348,3367,3565,11479
11248,1909,8668,11328
384,8598,8771,10974
4872,8257,693,10465
4780,1909,3565,10631
11512,6812,8781,10084
1225,8598,53,11054
2954,3367,7238,11433
2954,2032,3565,10553
225,2032,3774,11435
3276,3367,3565,10943
9944,4470,8642,9921
4997,4470,4899,9705
7763,7584,10323,9547
4780,4470,909,10273
5463,3367,1822,9482
4780,6812,7238,10882
1273,4470,11231,10312
218,2032,1954,10508
1752,3367,11200,11436
6855,6812,909,10105
2954,6812,5463,11095
4780,4470,9963,10573
2954,1909,5463,10145
8348,3367,11645,10316
4997,4470,4899,11499
10167,6034,6502,9714
1225,1909,1822,10777
1993,3495,6837,9610
794,1909,11231,10963
827,4470,5463,9630
7489,1909,5463,10922
9130,4470,53,10422
10677,7707,3574,10229
2706,4470,9963,11056
1225,4470,2711,11140
3565,5265,8900,9716
11512,8598,1822,10403
9974,1778,9411,9841
4780,4470,8900,11207
2489,1003,4364,10249
5203,5889,53,10157
3802,2827,2380,10979
2954,4470,6986,11320
3737,4470,726,10423
9508,7584,10117,9424
4780,8598,53,11455
8520,2032,9963,9427
1752,3367,9818,9466
5852,6669,2380,10531
9891,10332,3565,10265
2954,3367,5463,10037
5889,3367,2938,10431
8304,1911,918,10528
7540,2032,642,10590
10311,1313,2044,10525
2801,7584,736,11161
3565,11216,4971,9397
10167,3367,5476,9384
3737,459,726,10958
4780,6812,1128,10455
4509,3367,8947,10574
2172,6812,7238,9658
7519,2032,5527,10130
5700,6812,4202,10847
2954,4470,8916,10295
4780,4470,5463,9681
204,5889,5611,11302
2172,6812,10491,11087
4248,6812,1822,10000
114,7279,9963,9684
4948,4470,1822,10068
598,1909,5611,11238
6812,2032,7238,10079
9969,1909,10723,11488
2172,5889,1925,9792
9695,4470,3655,10313
5478,8598,5611,10569
2031,3367,10120,9575
9990,6812,5611,11089
4780,4470,4899,10023
3558,6812,4202,9910
4780,7707,8330,11603
3737,4470,4202,11445
1618,2032,11645,9749
6199,4470,2508,10608
2891,1909,1822,11050
5854,1313,421,11195
4780,8598,726,9407
1225,4470,5578,10259
2031,8598,2628,11429
4780,1909,5247,10304
1225,4470,4527,10058
7489,6812,2508,9375
3616,11055,11231,9710
