title,manufacturer,price,SampleID
11273,5622,6463,10644
2066,5412,6686,10682
3305,2787,2952,10350
6697,5525,6590,10559
522,5573,6834,11355
3305,2952,8690,10300
8486,10337,3229,11000
7626,5622,8690,10237
11443,5622,6496,10657
3229,5622,2738,9259
9055,5969,4215,10474
11443,5622,5573,10718
11443,8709,8709,9748
6911,6447,6284,11396
6308,5754,5683,11389
11273,5622,518,9321
7858,3885,9188,9673
11303,5969,833,10357
11273,5622,6463,10948
3229,8356,6463,10649
3305,5969,11200,9818
7626,6009,5573,9804
5909,5969,8900,10762
5166,5969,11200,9387
11333,8356,833,9636
8486,10337,7510,10864
6580,5754,6416,10874
11443,10337,2738,9863
3305,10337,1772,9306
5004,5573,8796,11373
8486,5622,8690,10836
3305,5969,5573,10079
2738,6056,833,11038
11303,5622,2738,9429
3682,5622,4292,9535
6807,2066,5461,9370
8039,10337,5719,10356
11273,2952,6207,9167
8486,5969,833,10238
11273,6686,5989,10433
11333,6336,9309,9314
3305,5622,2932,9620
8970,6336,7001,10673
8486,6056,8900,10197
9528,10897,6224,10106
2003,3885,3555,10457
10902,7952,6807,10760
8486,5622,6516,10455
8486,5622,6463,9971
5909,6447,833,9850
1631,8354,6353,9945
1135,3031,3555,10268
4120,2066,6807,10639
9768,8927,8927,11230
3229,5622,833,10828
11349,8515,8690,11211
6438,11309,6837,9769
7218,6754,3867,10596
893,5616,5573,9398
6751,6056,833,9193
7626,5622,5573,9830
9528,3031,6807,10248
3229,5622,1772,9177
2932,5061,5719,11153
1071,5622,1772,11266
6113,2406,174,9442
8486,2952,5878,9817
7779,1755,9944,10759
8039,2787,6807,10352
8039,5969,4215,9443
7629,1988,8467,9879
5605,6733,7816,10346
8486,5969,6463,10139
8727,1988,2325,9453
7228,5969,833,10547
7626,6686,8398,10205
8831,6056,5465,9466
5909,5622,5989,10260
6558,6558,6558,11330
3305,5622,1640,9895
2066,5969,833,10008
4660,6257,1640,10427
3704,6081,11299,11174
8486,5622,5878,10622
11303,5969,6686,9785
11273,6056,6686,9637
10460,3202,11046,10476
11428,3510,3510,11270
11303,6056,833,10123
10053,3202,7428,10051
2066,3814,3798,10360
6134,2406,2406,9589
11088,5692,3913,10648
9735,8709,8991,10663
11273,5969,833,10250
8105,5622,8690,9676
5081,10210,788,10754
8486,6733,6807,10826
8039,7218,1640,10979
2066,10460,9159,9447
7626,1988,9528,9567
8486,5622,1794,10525
8486,5622,2738,9554
2738,2787,7001,9222
3229,5969,11200,9520
9055,10054,5590,9643
8486,5969,9452,9371
8460,3885,2200,9202
11273,5622,2738,9414
11303,5622,4234,10856
3641,2952,10784,9907
11236,8796,9069,9841
5081,8039,5461,9343
6911,6532,6850,11342
5605,5412,5889,11254
4120,5969,833,10046
2738,6733,9218,11124
3305,5622,7898,9327
6798,10772,11253,10195
4890,8872,6315,10689
4912,9995,6826,9997
11407,8872,8289,10694
8468,8039,8468,10017
2066,5969,833,11429
4120,5969,10503,10251
6134,8039,2273,10044
8486,2952,2738,10391
2066,6056,5989,9733
3305,5622,1743,9667
5647,5622,2738,10696
4177,5412,6778,11359
1071,6697,788,10766
8996,6858,4215,10389
2066,10460,174,9439
10767,867,7629,11022
6605,6572,6807,10419
3229,6056,5692,10119
6911,5969,833,10733
8359,5539,3988,9917
11428,7952,6837,9954
8486,5969,2738,10535
8486,10337,2738,9485
3229,6447,3229,11455
3305,5622,5573,9594
7228,6447,11200,10496
8105,6542,7510,11217
3641,6056,8690,10129
3305,10337,2738,10620
11443,11099,10050,10729
9528,8039,893,9352
4177,6056,948,9705
8964,2787,3756,9221
10902,6056,1083,10814
8486,5969,11200,9532
3305,5622,1772,9828
2066,2952,833,9510
5909,6036,11200,9197
7626,2952,5573,9436
4120,5969,833,10113
8749,5969,5652,10580
1071,5573,6463,10326
9055,6447,833,9459
8486,8351,833,11436
2066,5969,11200,9881
2003,3885,1377,9974
11333,5969,6771,10929
3305,6364,1772,9468
6039,8831,6353,11332
2066,5622,11168,10849
6911,8039,10200,10199
10244,5573,7816,10747
5989,5573,2267,11010
9735,10897,8563,10417
5909,5969,8900,9729
5647,6597,1772,10785
8486,5622,2932,10398
7626,7218,5573,9235
10460,5593,11046,10477
11442,6081,6284,10439
4177,3885,10503,10275
4992,5073,5624,9608
11303,5622,5573,9613
10897,5616,5465,11300
2971,3885,5383,9189
8039,5622,6242,10401
8486,5622,5573,10340
8709,8709,10918,9961
7626,2952,11141,9618
5647,5622,9115,9619
11273,5969,6463,11135
11273,5622,11200,9649
8486,5622,6516,10621
