title,manufacturer,price,SampleID
7354,1313,9722,10832
4248,6994,3977,10594
11612,2032,836,11552
3558,5764,3565,10029
10861,2705,2938,9879
8348,10545,1822,9833
4780,1313,7645,9763
2954,11645,909,10097
984,1313,11645,10470
4308,11645,4899,9907
1225,8598,11645,10932
4780,4470,7577,10675
7935,9974,391,9995
2954,1034,10926,10363
4948,1034,4006,10936
2954,6994,4527,10072
337,1911,9963,10573
2954,2705,1822,9543
2938,10806,5068,9703
4308,1034,5611,10739
2954,5764,3565,11113
8348,2490,78,10828
10113,5533,4494,9609
204,2980,3565,10328
911,1034,2628,10139
5700,11645,2628,10385
4780,1313,7645,10300
4780,2705,1822,10952
6697,5533,2628,11566
794,11645,5611,11602
4595,2705,1822,9669
6199,2490,4948,9706
10693,6994,909,10204
4948,11645,10723,10033
421,9974,2027,10687
3217,8304,9891,9746
4862,4470,3063,10398
11132,1911,7577,11616
1225,2705,5463,11358
1096,2490,5463,10668
10070,2032,3011,11023
5263,1003,8598,9807
4780,6994,4527,10697
3558,2490,8642,9372
5700,6994,3655,11510
3276,3910,1822,10930
4780,11645,3041,10267
8346,11645,5578,11557
1669,6687,3383,9752
5263,8598,8520,11313
1822,132,5611,11192
4780,4470,2711,10477
3558,1034,7238,9783
6855,5764,5611,10105
5539,11248,10388,11038
10693,6994,5463,9420
5539,1909,1822,9861
3616,4470,8520,11130
726,1034,3565,10387
5261,1911,1845,9868
8057,2490,53,11097
4091,11248,6424,11218
2954,5533,1925,11581
4780,11645,9963,11131
8110,10806,2330,11052
11652,11248,11004,10657
2706,4470,3565,10771
1534,6687,4948,10021
4780,3367,5463,9678
509,132,9963,10610
10693,1909,3565,11181
391,2490,53,10807
4780,1909,8947,10960
598,1909,2980,10373
6998,6687,7317,10921
2737,132,3565,10083
4780,8598,1822,9398
2954,11645,53,9873
3276,6994,5463,10611
2954,5533,1925,11269
7009,1313,1822,11063
5463,2705,1822,9482
4780,1034,1822,11394
4780,11645,5463,10865
5700,11645,8947,9621
726,6994,2027,10308
2954,2490,3565,9946
2954,4470,4899,11542
5130,4470,981,9480
10112,6143,6502,10035
3468,2380,3383,10797
4780,6994,9963,10016
731,1313,534,11042
3558,7707,5126,11625
10167,2490,7645,11133
4862,4470,1845,10644
11512,11645,3888,11190
218,11248,2032,11277
4780,4470,909,10273
2954,1911,2628,10897
6625,1911,981,10617
4780,1034,5463,9984
1555,1034,3565,10689
8520,5764,10117,11391
6406,1911,1822,9738
2954,2027,5611,9660
2891,6994,4873,11171
10167,2705,7935,9384
3558,2705,726,9502
4780,2490,2938,10541
1041,1911,5463,11440
4780,2705,236,10698
9696,3910,2373,10518
3098,1313,5611,11604
