ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office frontpage 2003 academic version windows ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,159.98,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office small business 2007 full version,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,449.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft powerpoint 2004 upgrade ( mac ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,109.99,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft visual studio professional 2005 upgrade,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,549.0,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office small business 2007,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,735.33,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office 2004 standard upgrade ( mac ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,239.99,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft powerpoint 2004 ( mac ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,229.99,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office student and teacher edition 2004 macintosh,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office 2004 standard ( mac ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,399.99,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft visio standard 2007,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,259.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office 2004 professional ( mac ),,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,499.99,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft onenote 2007,,129.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,99.95,"('price',)"
