label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,answering queries with useful bindings,"edward y. chang , chen li",acm trans . database syst .,2001,answering queries using views : a survey,alon y. halevy,the vldb journal -- the international journal on very large data bases,2001,1356#2109
0,a system for keyword proximity search on xml databases,"tianqiu wang , yannis papakonstantinou , nick koudas , vagelis hristidis , andrey balmin , divesh srivastava",vldb,2003,generalized search trees for database systems,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",very large data bases,1995,1583#1440
0,directv and oracle rdb : the challenges of vldb transaction processing,william l. gettys,sigmod conference,1995,query processing and optimization in oracle rdb,"gennady antoshenkov , mohamed ziauddin",the vldb journal -- the international journal on very large data bases,1996,189#1195
0,query optimization for selections using bitmaps,ming-chuan wu,sigmod conference,1999,sql query optimization : reordering for a general class of queries,"piyush goel , bala iyer",international conference on management of data,1996,385#1954
0,multi-dimensional clustering : a new data layout scheme in db2,"bishwaranjan bhattacharjee , sriram padmanabhan , matthew huras , leslie cranston , timothy malkemus",sigmod conference,2003,mining multi-dimensional constrained gradients in data cubes,"guozhu dong , jiawei han , joyce m. w. lam , jian pei , ke wang",very large data bases,2001,2333#1280
1,analysis of sigmod 's co-authorship graph,"mario a. nascimento , jörg sander , jeffrey pound",sigmod record,2003,analysis of sigmod 's co-authorship graph,"mario a. nascimento , j &#246; rg sander , jeffrey pound",acm sigmod record,2003,1911#2258
1,securing xml documents : the author-x project demonstration,"elisa bertino , elena ferrari , silvana castano",sigmod conference,2001,securing xml documents : the author-x project demonstration,"elisa bertino , silvana castano , elena ferrari",international conference on management of data,2001,428#285
0,dynamic multi-resource load balancing in parallel database systems,"robert marek , erhard rahm",vldb,1995,managing intra-operator parallelism in parallel database systems,"manish mehta , david j. dewitt",very large data bases,1995,1247#1472
0,timber : a native system for querying xml,"laks v. s. lakshmanan , stelios paparizos , nuwee wiwatwattana , cong yu , jignesh m. patel , h. v. jagadish , andrew nierman , divesh srivastava , adriane chapman , yuqing wu , shurug al-khalifa",sigmod conference,2003,timber : a native xml database,"h. v. jagadish , s. al-khalifa , a. chapman , l. v. s. lakshmanan , a. nierman , s. paparizos , j. m. patel , d. srivastava , n. wiwatwattana , y. wu , c. yu",the vldb journal -- the international journal on very large data bases,2002,1849#1232
0,efficient ir-style keyword search over relational databases,"yannis papakonstantinou , luis gravano , vagelis hristidis",vldb,2003,xrank : ranked keyword search over xml documents,"lin guo , feng shao , chavdar botev , jayavel shanmugasundaram",international conference on management of data,2003,36#2076
1,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",sigmod conference,2000,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",international conference on management of data,2000,2589#431
1,mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,international conference on management of data,2001,2272#368
0,data management challenges in crm,george colliat,sigmod conference,2003,sigmod challenges paper : database issues in telecommunications network management,ilsoo ahn,international conference on management of data,1994,897#1740
