title,authors,venue,year,SampleID
1024,1642,7237,1808,4509
2428,1642,156,1808,7808
9641,1642,3061,1808,226
7233,3717,7911,1808,3901
12177,11290,6130,2280,5015
9118,4098,2893,1808,2581
12177,4098,10832,1808,1675
7981,1642,2893,3536,160
7981,2863,7237,10587,8947
7981,7790,7237,1808,10959
12372,8140,2893,1808,10912
6190,2863,7911,10587,4998
5474,1642,2893,11239,4310
11794,1642,7911,9827,6350
8140,1642,156,1808,408
2655,4098,2893,1808,8765
11179,7267,156,1808,8053
11179,4098,7237,10587,6608
2639,2863,7911,1808,10851
481,373,7237,3536,3987
2265,1642,11983,1808,12546
7556,2863,156,1808,4038
2479,1642,7911,11239,8035
689,1642,7237,1808,10833
3867,1642,156,1808,10512
5330,2863,7237,1808,454
11179,2863,156,10587,9336
9118,373,156,10587,7181
9641,1642,2893,1808,4455
5474,4098,7237,2893,2427
6376,1642,10832,6535,1071
1405,1642,7911,6535,3478
11179,1642,11983,3536,1380
4165,7790,156,1808,1203
7380,2779,156,10587,9301
5321,1642,7911,1808,866
1405,11575,7911,1808,10507
11437,373,2893,3536,7077
7556,7790,7911,2893,12484
3867,4098,2893,10587,7748
3847,373,2893,2280,8604
2503,4098,11983,2614,4764
4165,4098,3784,11239,10595
7981,12376,7911,1808,10335
11665,1642,2893,10587,2173
2639,766,2893,1808,7676
5708,1642,7911,1808,464
11171,2863,156,2280,1445
3867,4098,156,1808,12123
7631,4098,7237,1808,9942
9118,2863,7911,2280,5340
1731,373,11983,1808,11450
6190,8140,7911,2614,10234
7631,1642,11983,1808,3604
6234,10261,7237,10587,1905
7718,4098,10832,9827,11173
10436,4098,7911,2280,5509
11794,2863,156,2893,2918
1637,373,7911,10587,11736
7556,2863,3061,1808,8850
9118,932,7911,2280,11630
10090,1642,156,1808,12294
11665,4098,156,2893,12427
2639,2863,7237,11239,2860
183,2863,7237,2893,7062
2639,2863,3688,2280,6067
3376,2863,156,1808,3499
2639,7790,7911,2893,11348
4660,2863,7911,5443,11258
1637,1642,3784,1808,3527
8140,10134,156,1808,12041
11179,373,10832,10587,2257
4165,2863,7911,2893,283
6556,1642,7237,1808,8136
12372,2863,2893,1808,11486
5330,1642,7237,1808,152
12177,1642,156,10587,2190
