title,authors,venue,year,SampleID
9118,2863,8753,814,5287
8207,1642,814,4345,5776
11179,277,814,814,2031
1455,2863,8753,4653,12326
3847,1642,5283,4345,6888
1637,1642,4043,8753,12139
5375,1642,5283,8728,7972
3867,1642,4043,4345,259
4683,373,5283,4345,7937
9118,4098,6672,12487,2121
11794,7790,814,9569,5735
1405,1642,8444,8753,5531
6556,1642,5283,4345,2357
3847,373,5283,814,11703
11179,10134,814,1700,4450
860,1642,5283,8728,10139
578,1642,4342,4345,2611
9118,11575,4043,4345,7408
9641,8140,814,8753,9180
4192,4098,814,4773,674
2283,7071,3209,4345,9533
10648,7790,5283,4773,5270
2503,2863,814,8753,2868
6510,2863,8753,4345,11821
7413,1642,7389,12487,7350
3867,1642,4043,12487,3269
7981,1642,814,814,9366
5474,1642,814,4345,5705
689,1642,8753,4773,12193
11794,4098,6672,4773,2409
4192,1642,4043,4345,8307
12372,2863,814,814,6425
4192,4098,5283,4345,3491
6556,1642,6672,4773,11801
6190,3734,4043,4345,306
3847,1642,8753,1700,566
2831,1642,4342,814,299
7631,1642,4043,8753,10178
12372,4098,8753,1700,2885
5474,1642,4342,8444,12391
9118,1642,9485,8728,1458
3847,1642,5283,2093,4808
8224,4098,4043,4773,12490
5966,1642,814,4345,4744
7981,4098,6672,4773,2552
3847,1642,6672,814,7961
5564,1642,8753,814,4745
1405,2863,4043,12487,6250
3867,1642,814,4345,7364
3839,1642,4043,4345,2267
11794,8140,8753,4345,3902
2838,4098,9843,8753,4603
4192,2863,8753,8753,5147
4192,1642,4043,814,2773
6190,2505,4043,4043,11300
2639,4098,1700,4145,7616
4165,4098,4043,814,11146
3847,1642,6845,9526,11886
183,373,814,4345,3856
12372,4098,8753,4043,11483
1405,4098,5283,8728,1895
6950,1642,814,814,9323
3847,373,814,814,10182
3847,1642,4043,8728,2194
7981,373,8753,814,2589
1224,2863,4043,4345,2817
511,1642,814,4345,9779
7380,1642,4342,4345,2439
6190,2863,814,9526,8019
11198,9763,1700,4043,9004
3839,2863,814,4345,12239
11794,4098,4342,8728,4930
4683,1642,8753,9569,6785
2655,2863,1700,4773,11331
9118,4098,1700,8728,11410
3839,2343,1700,4345,4807
12100,373,1700,8753,6042
8207,1642,5283,814,9442
10758,9448,5283,4345,3834
373,11713,8753,4043,3295
9118,1642,814,4345,7072
7981,7790,4043,814,7149
9118,2863,4043,4345,7904
4664,2863,4043,1700,8202
483,1642,8753,4773,2884
6556,4098,9485,4345,9377
6190,2863,4043,4345,8472
5708,1642,814,814,9916
483,373,5283,4773,1272
2639,2863,1700,8753,2169
3847,2863,4342,814,9122
6190,2863,814,4773,223
5816,1642,4149,4345,5201
3847,373,8753,4345,4780
1637,1642,4342,9569,1437
1027,1642,814,814,5568
5474,1642,814,4345,8806
12177,4098,4043,4773,2209
1405,1642,814,8728,718
3056,1642,4043,4345,2561
5517,1642,8753,4345,6890
7981,1642,4043,12487,679
9118,1642,8753,12487,817
5474,1642,1700,8753,1534
7380,1642,4043,4345,10991
2831,1642,4043,4345,11563
7981,1642,814,814,10770
5474,1642,6672,4345,2521
4071,1642,9485,4773,3433
9118,1642,4043,4773,1852
4192,2863,814,4345,12328
8224,2863,814,4773,8690
11794,4098,4342,4773,443
7233,1642,5283,8728,3548
7981,1642,1700,8728,5437
3867,1642,6672,4345,11235
9641,4098,8753,4345,1415
6409,1642,8753,8753,8353
5474,1642,4043,4345,2525
6190,10765,4043,8753,3547
12177,1642,814,8753,11042
3847,2863,814,4345,8924
11179,1642,4043,9526,9837
3847,4098,4043,12487,5462
578,7790,814,4345,11068
12177,2863,5283,4345,7085
12177,1642,814,8753,477
6190,373,814,814,1983
3867,1642,8753,4345,10512
7981,1642,4043,10547,510
11794,2863,8753,2093,2918
6190,4098,814,12487,10931
9118,1642,8753,4345,9268
7233,1642,8753,8753,4617
11794,7790,4043,4145,11323
4165,4098,814,4773,10393
1405,1642,4043,4773,3478
11794,1642,8753,4773,2463
6510,1642,4043,4145,8497
689,7790,8753,8753,2284
7790,1642,5283,4345,8100
5375,373,8753,814,3963
3847,11575,1700,8753,3438
6190,1642,4043,10547,11805
2751,12213,8753,4653,3436
8207,1642,814,4345,3244
11171,1642,5283,2093,10973
2124,1642,6672,814,2486
2503,2863,814,8728,4469
1637,1642,5283,9569,6655
6768,2863,8753,12487,10874
3847,1642,4043,4773,1054
1637,1642,814,4345,3000
7380,1642,6672,4345,8559
1405,1642,5283,4345,6684
9974,1642,4043,4345,6642
4664,2863,5283,4345,1048
5534,3647,4773,4345,2180
6190,1642,5283,12487,3015
483,1642,6672,4773,1469
12100,1642,8753,4345,618
11665,1642,814,814,2173
3235,1642,4342,9569,6552
1637,2863,8753,8753,7127
1403,1642,6845,8728,6892
7380,1642,8753,4345,2633
7380,1642,814,4345,387
6556,4098,9059,4345,2723
1637,2863,4149,8753,3110
7556,2863,814,8753,12371
7556,7237,4043,4773,6994
4192,4098,8753,814,5586
2503,277,814,8753,9359
2831,10972,6672,4345,3046
5708,2863,814,4345,1677
1568,1642,8753,8753,11037
1274,1642,8753,8753,6925
7380,7790,1700,4345,11657
719,1642,4345,8753,6666
11794,1996,814,4773,2526
12465,1642,4342,8728,5617
5474,2863,4342,4345,7819
1027,7237,8753,4043,7261
10464,373,4342,4345,8505
5363,1642,4342,4345,3693
10336,1289,4149,10547,2310
4683,1642,4043,4773,4787
6190,4098,4342,4345,929
7380,11575,4043,4345,10839
5816,12376,5283,814,1824
3839,10164,8753,4043,7642
11794,10134,4043,4345,1122
3847,2863,814,8753,2054
9569,2252,8753,8753,3543
2011,373,814,4345,10755
3839,7564,1700,598,3024
9118,7790,5283,4773,1311
7981,7790,1700,8728,6453
860,4098,8753,8728,8188
9788,1642,5283,8753,4560
12465,1642,1700,814,2967
1637,1642,8753,4345,6305
6510,373,8753,814,1236
3839,2343,8444,1700,1688
1129,11783,814,4345,3179
5708,2863,1700,4773,4828
2639,7790,814,7391,3008
7380,2863,1700,12487,4216
2831,1642,4342,8753,3324
7556,2863,4043,4345,3153
12143,4098,9485,4773,10190
2639,1642,4043,9569,11901
5975,2863,814,814,3150
1405,1642,4043,4345,8663
6171,1642,5283,8753,8685
2283,11285,4773,4345,10372
6789,4098,5283,4345,2647
7981,2863,814,4773,10300
1637,1642,4043,4773,987
9724,1642,3209,4345,12212
5708,1642,4043,4773,11704
2639,2863,4043,814,10188
3867,7790,814,814,12434
672,932,9485,2093,3018
1936,5330,4773,4145,6549
6190,2863,4043,814,4998
12372,1642,1700,8728,9938
1455,8140,814,4043,11715
7380,4098,5283,4773,3177
12100,1642,8753,4345,5614
2639,4098,8753,4145,3504
9118,1642,4043,9569,1300
3847,1642,814,2093,5828
7981,1642,5283,4773,5422
4664,1642,8753,8753,7281
3845,1642,814,4773,12033
9159,373,4043,2093,4369
11437,1642,4773,8753,2673
11179,2863,5283,4345,7402
11794,1642,4043,4345,148
5474,1642,6628,4043,11709
12177,8140,814,4345,10997
9118,1642,9059,814,4682
7556,8140,4043,4345,11452
3847,2863,4342,8753,8577
4165,2863,4043,4345,701
3847,1642,4043,4773,233
9584,2863,1700,1700,9075
11179,2863,814,814,12451
11665,1642,4342,4345,5089
7981,1642,814,8753,9015
3444,4098,4043,8753,2847
7380,7237,4043,4345,2520
3376,1642,5283,8753,919
183,6101,4342,4145,2899
11794,1642,814,4345,11530
11794,3734,4043,12487,7294
578,1642,4043,4345,5559
7955,181,5283,4773,3307
7981,12380,4342,8753,10673
2639,4098,1700,4345,10331
1637,1642,4043,4345,8631
2751,7790,4043,4653,9704
7981,7790,814,4345,11362
345,7790,8753,4345,849
7981,2863,9485,814,6966
11179,4098,1700,8753,12163
7655,5233,8753,4345,8270
11794,1642,4342,814,2094
3839,2863,4043,814,5588
7631,5867,814,1700,10772
2639,1642,5283,8753,6099
1405,11239,8753,4145,1956
6510,1642,8753,8753,12005
2614,7404,8753,4773,8494
11665,373,8444,4345,252
9118,4098,4043,814,9797
3847,932,814,4345,7547
7981,1642,5283,8753,10128
12143,2863,8753,4773,11733
7556,1642,814,4773,8861
3847,4098,4342,8753,7050
1637,7790,4342,8728,2985
6190,1642,814,8728,4456
11665,2863,4043,4773,12446
1405,8140,8753,814,1566
4683,1642,4043,8753,9634
12177,1642,814,9569,2091
7981,2863,8753,4345,7528
2639,7790,4043,8753,1434
7981,5867,4043,9569,6877
11179,2863,814,4773,1079
4192,1642,4342,4773,2366
1405,1642,814,814,11301
9118,2863,814,814,3684
3867,2863,814,814,11744
9641,4098,4043,8728,2560
7981,373,814,1700,9495
11171,1642,5283,12487,209
6704,1642,8444,12487,2250
7981,1642,814,4773,1981
481,1642,4342,8753,6862
4165,5033,4043,4345,3942
5474,4098,9059,12029,4016
11794,1642,4043,4145,8051
11179,373,814,814,5224
1627,1642,814,8753,3601
2503,277,814,1700,4567
1455,9763,10547,4345,9889
9066,2863,8753,4345,11098
1637,3155,6628,2093,9346
8044,6828,4342,814,4931
9118,373,814,8753,10365
5816,1642,6672,814,8548
5363,2863,4043,814,7881
4660,3155,8753,4145,5362
7556,8140,4043,8753,2949
1024,1642,814,8753,4106
2639,1642,8753,4773,2188
12004,6650,5283,4345,4799
7981,4098,814,4345,11944
9159,4098,4043,8753,6529
7981,1642,8753,814,9416
4660,1642,5283,4345,7227
9724,3155,4043,8753,2361
11179,8140,5283,8753,9600
11437,373,814,8753,7077
1705,1642,8753,8728,6275
1560,4098,1700,8753,1341
1637,1642,814,4345,5506
2639,2863,6845,4345,9872
7556,7790,8753,814,6566
3847,7790,8753,814,10299
5708,4098,8753,8753,2254
1027,373,5283,4345,5185
5000,1642,8753,4345,2286
2505,1642,8753,8753,4065
9118,1642,814,4043,4739
1405,1642,5283,8753,1715
11171,1642,814,4345,6050
5708,2863,4043,4145,3357
7380,2863,8753,4345,7683
9277,1642,814,8753,11401
2335,1642,814,8753,6047
3839,2863,1700,4773,7923
12435,373,6672,814,2502
11794,2863,8753,4345,5211
11665,1642,6672,4773,4904
12177,1642,4043,814,11752
11179,1642,814,4145,11411
9118,1642,4043,12487,6135
11794,7790,814,4345,4794
10242,2863,814,9569,10549
5474,4098,814,814,3910
9118,1642,5283,814,3306
2505,1642,8753,8753,8969
10445,1642,8753,8753,2517
6190,7790,4342,814,4344
7380,2779,8753,814,9301
4071,2863,1700,4773,7731
11179,1642,1700,8753,3035
1637,1642,4043,4773,12342
12447,1642,814,4145,420
4683,10134,4043,4145,11120
3847,1642,5283,4345,6577
3839,7790,814,12487,3632
11794,3734,4342,1700,3978
3847,1642,4043,4345,9815
9118,1642,814,12487,3754
11179,6101,4043,12487,3181
3847,4098,1700,4345,7044
3847,2863,8753,8753,6676
11058,766,814,8753,10459
1405,6940,4043,4773,9562
11179,6101,8753,4345,1276
7380,1642,8753,8753,189
6950,4098,8753,8753,2842
5095,2863,814,9569,1991
7988,8626,4043,8753,3938
7233,1642,4043,4773,12211
1637,4098,6672,4345,3709
5708,1642,6672,8753,11516
11665,1642,6845,4043,10183
7981,2863,814,4773,123
3235,1642,4043,4345,9271
9118,1642,8753,814,3441
1405,7790,8753,814,6811
7556,2863,8753,4773,9056
373,1642,3209,12487,6714
8140,1642,4043,8753,1652
11665,2863,814,4145,6220
11179,12177,814,4773,5293
1405,11575,4342,4345,10507
11179,2863,814,4043,4757
11179,4098,4149,12487,2461
5816,1642,6672,4345,7060
5816,1642,8753,6190,9807
11179,4098,814,4345,2674
1637,4098,8753,814,3763
12372,7790,8753,4145,9502
7981,10766,4043,8728,681
6171,1642,5283,8753,12209
5474,1642,8753,1700,7298
6376,1642,814,4345,3448
4660,4098,8753,4653,8258
9118,2863,8753,12487,254
6768,1642,4043,8753,10552
6190,1642,8753,8728,11875
4660,8140,8753,8753,9287
12177,1642,4043,4345,12548
7981,7790,814,12487,8507
7380,1642,4043,4043,11798
5330,7790,4043,4345,11386
10648,1642,814,2093,521
3847,4098,8753,8753,2756
1936,5330,4773,4345,3883
4165,4098,4043,814,1068
7981,2863,4043,6190,11653
6190,1642,5283,4345,1931
2503,2343,814,4345,3210
7556,2863,1700,4345,4634
678,766,8753,814,1348
11794,1642,6672,4773,5644
7981,4098,5283,4345,11526
7981,1642,8753,814,5258
8229,1642,662,4773,8030
2639,4098,8753,814,4127
7981,1642,4043,12487,6363
4165,4098,8753,814,3081
6510,1642,4345,8753,8707
3867,4098,8753,4345,12123
2585,1642,814,8753,2784
11198,9763,1700,12487,2692
4660,2863,4043,4653,1693
5769,1642,6845,4653,5624
11794,2505,814,814,445
11171,7790,5283,9843,10271
1627,1642,814,4773,5673
9788,11928,662,1700,1729
1217,4098,8753,4345,3212
9118,7267,5283,4345,6172
1637,2863,814,7391,439
3847,1642,5283,814,3186
5564,1642,4342,814,11212
1936,5330,4773,4145,379
3847,373,5283,4773,11479
9118,1642,4342,6190,1773
2639,1642,814,4345,6494
11198,9763,814,4043,10802
2639,1731,814,814,9120
5534,277,4773,4145,11641
10826,1642,1700,4345,5157
1405,1642,4043,4043,9285
1705,7790,814,8753,4487
3687,1642,814,8753,6306
9118,2863,8753,12487,8646
3867,1642,4043,4043,9447
1637,373,4342,814,11736
3847,1642,5283,4345,3852
11794,1642,4043,4653,3167
7658,1642,4043,4345,1443
12030,932,4773,8753,10492
7556,1642,8753,4345,4535
5144,9557,814,4043,6699
5534,7071,4773,598,7985
2479,7790,8753,8728,9586
3847,1642,5283,814,6523
1637,1642,9485,4345,11693
4165,1642,4043,4345,10381
11794,4098,814,4653,7562
5474,932,4043,6190,4432
9118,7790,8753,4145,9344
481,373,8753,6190,12009
1405,4098,4043,4345,5745
860,1642,4342,4345,13
5708,2863,8753,814,10229
2614,2252,8753,4773,11351
7981,1642,4043,4345,4911
6171,1642,8753,4773,3780
7981,1642,1700,4345,622
2566,11347,5283,2093,9322
2503,2863,4043,814,5605
7981,2863,4342,814,11712
7631,1642,4342,8753,10283
3847,2863,814,814,5711
4192,1642,4342,4043,9309
9118,277,4342,4345,2697
1405,1642,4342,1700,9238
3847,1642,4342,4773,705
3100,1642,814,4773,5783
9118,1642,8753,4345,8431
1405,1642,4043,814,2809
