title,authors,venue,year,SampleID
10600,7646,6302,1007,344
9695,6989,6302,6860,186
9519,11781,726,10520,9488
11456,11781,8648,10520,1825
1172,4468,88,1007,11874
5247,11781,8648,10520,145
2609,6091,6302,6860,10827
10254,10674,88,6967,7741
12328,4939,8460,6967,6586
260,6091,88,10728,7671
8283,11781,726,1007,10692
12174,11063,88,6860,7266
5292,10674,88,1007,12136
3849,4252,6302,4056,3302
12482,8715,6302,1007,5072
6618,1174,6302,4056,5741
1514,11781,8648,1736,1146
2132,11781,5508,6788,10587
2150,1174,6302,1007,3102
2425,1174,6302,308,11613
4730,5612,6808,6967,1060
4483,6091,6302,6967,3370
10473,11781,88,6788,12275
9949,11781,6808,4056,5002
2374,6458,88,6967,4750
12003,11781,3279,10520,9713
11667,11781,5508,1736,5465
5472,9456,8460,8648,1662
5385,8334,6302,9680,1928
15,8915,6302,1582,12084
4898,9226,6808,10728,3084
12003,11781,88,10520,8888
15,12127,6302,6967,11206
923,10312,88,1007,8741
12003,11781,88,10520,4858
7343,11781,8648,10520,11087
11934,11781,2795,9154,1486
5494,6877,88,10728,11481
446,11781,88,1906,3104
4898,6091,726,10728,11862
2132,11781,2795,10520,824
1514,11781,4064,9335,9223
2132,11781,8648,10520,10359
2599,2448,88,1007,1726
2609,11781,5508,11597,602
4177,12249,6808,6860,11171
6791,8169,6302,1007,9828
185,11781,88,10520,8379
6445,11781,5508,1736,1223
10473,11781,6808,1736,11490
8157,11781,6808,1736,5428
5525,11781,2795,1736,9192
4898,2210,88,726,8003
11478,11781,6157,1906,5870
7343,11781,2795,1906,10901
9418,6091,6302,4056,2105
2615,6976,6302,1007,12144
3982,10674,6302,6967,5652
5247,11781,726,10520,5482
8298,8689,88,1007,1651
1838,12001,6302,1007,2098
142,182,88,1007,5078
6379,7646,6302,1007,3464
7952,5701,6302,6211,3839
5292,9267,6302,1007,5426
3413,11781,88,3433,1883
10254,12377,88,6967,7226
3810,11781,3279,1736,8404
9519,11781,2795,10520,8753
1708,4468,88,6967,9982
8764,11781,5193,1736,1185
3985,11781,88,10520,2705
10638,10747,6302,6302,3482
6508,6091,6302,4056,8793
1708,499,88,1582,593
2132,11781,8648,1906,11883
3064,6091,6302,4056,4894
2132,11781,3279,11597,1896
3203,9226,6808,6967,9242
11949,1174,88,6967,6179
5450,3901,6302,1007,721
1131,5703,9045,6211,1996
11241,11781,88,6788,406
12354,1798,6302,1582,5474
10473,11781,88,6949,11600
8230,10674,3398,1007,5108
11478,11781,2795,10520,6962
10612,12099,88,6967,12447
9881,212,88,1582,12465
3835,12001,88,1007,11575
3248,9267,88,1582,791
11934,11781,88,6949,3305
5091,11781,6808,5396,1763
8157,11781,88,10520,8520
2785,1174,6302,1582,708
9064,11781,8648,10520,9827
9953,7786,6808,10728,710
6644,10674,12461,1007,2441
11365,7786,88,6967,5788
9519,11781,6808,10520,550
9519,11781,6808,10520,1860
12294,9346,88,1582,4639
5247,11781,88,11597,8540
11268,10674,6302,6860,9972
8719,11781,5508,3581,6360
8341,9523,6302,1007,5539
5238,10674,6302,1007,2510
10306,6116,6302,6967,882
2154,4643,5520,6967,6143
3985,11781,6157,10520,6550
2132,11781,8648,10520,9198
484,11781,6808,6967,6284
11468,6400,6302,1007,2693
1708,9267,6302,1007,5283
3810,11781,2795,10520,9760
9519,11781,4064,10520,12213
5989,1174,6302,1007,12310
5425,10860,88,1582,3294
484,10747,6302,1007,4746
681,6458,1268,10520,3823
7343,11781,2795,1736,4636
6375,2405,88,6967,4881
3274,11781,2795,6788,12502
9311,11781,6302,6967,12388
2231,9267,88,1582,9304
11626,9267,88,1007,1520
9180,11781,88,1906,3756
4287,11781,12461,11597,6567
11878,11781,88,10520,3622
7304,988,88,1007,2155
3413,11781,726,10520,8203
12407,1793,88,1582,9540
10602,10674,88,1582,11529
10473,11781,2795,1364,8271
1919,6091,11214,1906,5104
8275,4854,6302,6860,3733
561,4468,6302,6465,1329
1514,11781,5508,6788,10968
4209,12237,8460,6967,7267
1514,11781,88,6949,5084
12526,9267,88,1007,9941
10463,11781,2807,6788,5949
8581,6877,6302,6860,10125
10602,7644,6302,6967,3061
6496,2054,6302,6967,4920
1725,6091,6302,6302,8709
6991,10674,88,1582,1217
11906,8910,12461,1007,7071
5292,1174,88,6967,3004
5639,11781,6808,10520,10715
9222,11781,3279,10520,7155
6976,11059,6302,1007,10830
282,10169,8460,8648,9978
4758,3454,6302,308,1328
10368,7646,6302,1007,12556
1919,10522,6302,1007,10388
10473,11781,88,6530,4311
11105,8334,6302,6967,69
1231,6838,88,1007,5530
1556,10312,6302,1007,6311
11934,11781,2795,6782,20
1919,1798,88,6967,2614
9578,10674,88,1007,4839
2132,11781,88,10520,9741
9519,11781,2795,10520,6418
3083,4468,3398,726,5590
6808,2795,6302,1007,1560
4221,6877,88,10728,9569
9695,6091,6302,6967,7718
2609,11781,88,3433,9468
7732,11781,88,10520,11706
9947,11781,2795,6788,9197
4287,11781,88,1736,2541
3894,10649,6808,6860,12080
4886,182,12461,6967,6190
2615,1785,6302,6860,375
3299,10597,5984,308,8016
12354,11781,6808,10520,533
1827,6989,6302,1007,4076
4158,6110,88,1007,2406
6174,5364,6302,1007,8225
12324,6091,1268,6967,1909
3606,8370,88,1007,7371
4535,10747,8648,6735,10648
7343,11781,8648,10520,7391
9519,11781,2795,1906,1460
11478,11781,6157,10520,9140
1708,5432,88,1582,892
3528,11781,3279,11041,7122
3913,9267,88,6967,419
185,6877,88,6967,1191
10512,3540,6808,1582,11290
9435,10839,88,1007,3242
8764,11781,8648,10520,2958
9380,5122,88,1007,11707
7127,7786,6302,4056,5634
6012,11781,6808,9154,8164
4783,9962,88,1007,12454
7343,11781,2795,1906,952
6138,6091,88,726,4476
6315,4817,6302,6302,10876
9519,11781,2795,9154,8777
10473,11781,6808,1906,12393
9084,9267,6302,1007,158
2231,4354,3398,6967,6376
3910,11781,2795,6949,3847
8539,9047,6808,308,5667
9519,11781,726,6949,2738
9064,11781,88,6788,6088
7527,499,88,6211,6599
6247,1793,6302,1007,2746
10811,12425,88,1007,4523
6009,11781,3279,6782,6472
7717,5261,88,6211,4265
9048,2795,6302,6967,1781
