title,authors,venue,year,SampleID
1041,7646,502,9797,7617
716,2371,8963,9772,1307
5513,1174,5700,9797,3366
8705,2371,71,31,4167
9789,11781,3253,3555,9107
11478,11781,11603,6344,983
10306,6116,4486,5418,882
4906,988,2642,9797,8478
6174,5364,502,8244,8225
9519,11781,11603,1814,8753
4010,2069,5700,5495,2971
9798,1275,4486,6384,4022
3335,11781,7813,1814,5218
10254,12377,5700,5418,7226
1722,1174,4486,5418,8879
1708,9723,502,9797,12473
7090,11354,2879,11037,2011
4906,5122,4486,9797,869
2785,1174,4486,6580,708
7128,8370,5700,5418,9658
11890,11781,7862,4040,10688
7348,6458,8244,11037,1621
9265,11426,4486,5418,11028
1711,8410,502,1248,7307
6618,1174,4486,3964,5741
11517,11781,3253,3661,2016
12003,9232,7838,4582,9118
10463,11781,12052,3951,5949
7817,2371,5700,9669,3912
2132,11781,1361,6344,8914
1908,8663,5700,9797,1463
3928,11781,446,3362,30
2132,2371,3253,1814,1528
11020,988,8244,11037,7842
4287,11781,8244,7016,2541
2132,11781,11603,3555,9198
9274,11364,5700,4040,4905
9519,2371,71,7016,596
11456,11781,3253,1814,1825
11478,11781,11603,1814,9140
1514,11781,4203,4582,9223
6315,6457,4486,10535,9718
1514,11781,1361,1814,5312
1514,11781,1361,4582,1146
8719,11781,11603,8573,10187
9428,4468,5700,5418,9448
1385,11781,3253,1814,8044
5247,11781,2642,1814,7029
8385,11781,10647,1322,4207
4219,9232,11603,1814,6556
6928,2795,5700,4040,8972
10811,12425,5700,7382,4523
8829,11781,2642,2808,12030
4287,9232,3253,1814,3734
4219,11781,3253,5916,6360
3910,11781,3253,3362,3847
2132,11781,11603,6344,4139
11279,8410,4486,6580,8309
11478,9232,3253,3555,4125
737,10674,4486,11168,9972
561,4817,5700,10535,689
12267,11063,8244,11168,7266
3810,9232,3253,1814,943
8253,11256,5700,11037,9557
11365,7786,5700,7813,5788
5,4252,502,10535,3302
489,12001,5700,4408,9399
7343,11781,2642,31,10701
2132,9232,3253,7016,5659
5855,11781,3253,1814,5860
11878,11781,8244,3555,3622
3203,8377,2879,11374,9706
1919,4632,502,5418,4788
7343,11781,11603,1814,789
7343,9232,3253,2885,1530
5823,11781,4203,11037,744
669,5122,5700,5418,4307
4898,2210,5700,3661,8003
10297,9346,4486,9797,8031
2132,11781,11603,31,4871
8716,11781,3253,1814,3374
3344,11781,3253,6344,8683
1708,9267,4486,9797,5283
2154,4643,1218,5418,6143
2120,1785,2642,4066,9714
8056,12165,4486,1248,1332
7717,5261,5700,5200,4265
7732,11781,8244,1814,11706
3810,11781,11603,4582,8404
8157,11781,71,9154,2215
8050,7916,2879,5495,3846
12003,11781,5700,1814,7863
5247,11781,2879,8573,12170
4993,4943,2879,11037,9689
2772,11781,3253,2808,7102
5525,10143,502,5495,6380
142,182,2642,8244,5078
7345,6091,4486,10535,537
4401,11781,3579,5916,8023
11934,9232,2879,4582,10228
9061,11781,11603,5730,3376
11934,11781,3253,8573,20
9519,11781,4203,1814,12213
10473,2371,10647,1814,12393
2132,11781,2879,1814,1512
3127,7786,4486,10535,6602
9519,11781,3253,1814,1754
1797,1785,5700,11531,8552
7051,10891,5700,1801,3633
9078,12512,502,9797,3
2132,11781,3253,1814,824
7881,10674,5700,9797,9778
12003,11781,5700,3362,3263
951,988,4486,5418,2314
8428,10674,4486,8244,12333
5425,10860,5700,5495,3294
10836,11781,2879,1322,8774
9519,11781,3253,2808,2295
11714,9267,5700,5495,1627
4288,11781,3253,4582,5465
9380,6116,4486,4097,3643
366,9232,7813,1814,4175
8249,6217,6673,11037,2996
1708,10889,502,5418,2970
2132,11781,3253,6344,10359
3835,12001,5700,7382,11575
4898,9226,2879,11374,3084
3118,11781,4203,4582,7975
4753,12512,5700,5418,2652
9477,9359,4486,1248,156
5009,12249,5700,9797,9858
8764,9232,3253,2808,9937
9519,11781,2879,1814,2546
2231,5814,8244,5418,6376
12003,11781,8244,1814,4858
11934,11781,2642,3362,3305
11478,11781,3253,1814,6298
11478,11781,3253,8573,5579
11105,8334,4486,5418,69
1708,12165,4486,5418,5388
8055,6110,8244,8244,2406
3454,5185,5700,5200,4566
3913,9267,8244,5418,419
137,2371,11603,31,2253
7717,1174,4486,9797,10758
6012,11781,2879,8573,8589
5288,11059,5700,8244,3743
6268,11807,6673,5200,932
5292,1174,3423,9797,7330
15,2054,4486,9797,1716
3833,11781,9947,9154,235
4219,11781,11603,1814,10100
9311,11781,4486,5418,12388
561,4468,4486,4040,1329
752,9456,6673,5200,1662
5184,11781,4203,8573,8268
8539,9047,2879,7862,5667
8304,7786,2879,10535,4302
15,182,8244,9797,1966
282,10169,6673,5200,9978
9680,6458,5700,9669,4220
3910,11781,10248,1814,1388
10473,11781,3253,1814,6595
2615,8370,2879,9797,8568
3083,10747,5700,5418,12372
8341,10312,5700,9095,3028
8157,11781,10647,7016,5428
4197,1174,4486,9797,2006
10306,6091,4486,3964,35
1961,2371,3253,2906,8357
5942,11781,3579,1814,7874
7934,7862,4486,5418,2659
3985,11781,3253,6344,6550
138,1398,4486,9797,481
9048,2795,502,5418,1781
6449,6091,5700,5418,6883
12354,720,5700,9669,11330
2399,1798,5700,6580,2292
12256,1174,4486,11531,10759
3985,9232,8244,1814,2705
3835,2405,4486,11037,4954
1041,7786,5700,10535,1003
4221,6877,8244,11374,9569
7343,9232,11603,3362,9614
5247,2371,8244,2808,5382
3248,9267,5700,5495,791
8854,6091,4486,5418,3360
411,980,4486,8244,7750
185,6877,5700,5418,1191
1866,5362,2642,9797,7413
3413,11781,4203,1814,8203
166,10773,8244,11037,1422
3985,9232,12052,4582,11125
11667,7786,5700,10535,6033
5641,7786,2879,6580,7955
3810,11781,10647,2808,6041
923,10312,8244,9797,8741
2132,11781,1361,913,7049
7952,4403,4486,5200,3839
6644,10674,5700,9797,2441
5091,10500,4486,8244,2726
9222,11781,11603,2885,9146
5219,12001,4486,8244,963
