title,authors,venue,year,SampleID
6096,11783,5216,4546,10813
8873,11464,2130,7244,10635
11171,11239,2130,5378,10554
2479,3235,5216,4546,10267
2479,3235,3034,4546,12557
2479,11464,12387,11648,12207
2479,3804,5216,818,11613
1050,7790,5216,818,11423
8873,7790,5216,4546,12056
11171,862,5381,11225,12431
1913,862,2130,7244,11440
2479,11464,1727,818,10449
578,11464,2130,6088,10704
2479,11464,1727,3767,11700
11171,3755,2130,4546,10758
2479,11239,2130,4546,11035
7380,11239,5216,3767,12264
7380,3804,5216,3511,10857
2479,3804,7414,11648,11643
7380,3804,3034,4546,12468
2479,3235,5216,3511,11599
7380,3804,5216,3767,11393
11171,3235,1727,3767,11911
11171,3804,1727,7244,11392
11171,11464,2130,3767,11958
11171,11239,5216,3767,12405
11171,3804,5216,6088,11654
2479,3804,5216,3767,10830
1050,3804,2130,4546,10238
2479,3804,2130,6088,10261
2479,3804,5381,4546,11781
1050,3804,5216,3767,11813
11171,11464,3034,11648,12176
2479,3804,7414,818,11257
1050,3804,5216,3767,11400
11171,3804,3034,11648,10718
2479,11464,12387,4546,10815
11171,11464,7414,12387,10230
1050,3804,5216,7244,10542
2479,3804,5216,7244,11224
2479,11464,5216,4546,10751
1050,3804,7414,7244,10286
1050,7267,7414,4546,10326
2479,3804,5216,4546,11510
11171,3235,5216,4546,12452
1050,11464,5216,3767,12275
2479,11464,3034,818,12261
2479,3804,5216,3767,10707
2479,7267,5216,6088,12515
11171,3235,5216,4546,11106
2479,11239,2130,3767,10533
11171,11239,2130,7244,12143
8873,3235,2130,818,12488
11171,3235,2130,3767,11760
10827,3235,2130,12387,12132
11171,10448,2130,3767,11935
11171,3804,7414,818,10946
2479,3804,5216,4546,11887
11171,3804,5216,4546,10849
1050,3235,3034,6088,10774
8873,862,2130,3767,12455
2479,11464,2130,4546,12340
2479,11464,2130,4546,10666
1050,7790,2130,4546,10514
8873,3804,2130,6088,10624
8873,7267,2130,11648,10439
11171,7267,2130,6088,12234
2479,7267,1727,4546,10156
8873,11239,2130,6088,12204
11171,3235,1727,4546,12106
1050,11464,3034,6088,10334
11171,7082,3034,4546,11372
2479,7790,3034,6088,11585
1050,11464,3034,6088,11336
11171,7790,7414,818,12112
11171,11464,5216,6088,12037
11171,11464,3034,11648,11339
8873,11464,5216,11648,12281
8873,7790,5078,3767,12464
578,3235,2130,5378,11606
578,3235,2130,4546,12374
11171,11239,2130,4546,10969
11171,3235,1727,12387,10319
11171,11464,7414,7244,11472
11171,10527,5216,11648,10709
11171,7635,2130,7244,10895
1050,7790,2130,5378,10551
11171,3804,2130,4546,12115
2479,11464,2130,4546,11268
8873,11239,2130,4546,11477
1050,3804,2130,7244,11537
1050,3804,5216,4546,11192
2479,9067,2130,11648,11291
8873,11464,5216,4546,10180
2479,11464,7414,7244,12150
2479,11464,2130,4546,11363
8873,11464,2130,11648,12125
2479,3804,2130,4546,11398
11171,3235,2130,5378,12165
11171,3804,5216,4546,11278
11171,3804,2130,4546,11040
11171,11239,5216,4546,12247
11171,3804,2130,4546,11250
10827,11464,2130,4546,12298
860,3804,2130,4546,10236
11171,11464,2130,4546,10929
11171,11464,2130,7244,11615
11171,3804,5216,4546,11705
11171,10766,2130,4546,10912
11171,3804,2130,4546,10552
11171,3804,2130,6088,11963
8873,11239,2130,818,10218
11171,3804,2130,4546,10581
8873,3804,2130,6088,10836
11171,3804,2130,4546,10950
2479,3804,2130,10174,10894
2479,11464,2130,5078,10658
11171,9067,2130,4546,12404
11171,11464,2130,7244,11021
2479,3235,2130,3767,10967
11171,7790,2130,4546,12253
8873,11464,5216,4546,11281
