title,authors,venue,year,SampleID
12463,10205,12388,3761,6546
11464,10547,11511,3761,8082
10826,10205,12388,3761,6029
6254,10547,12144,3761,9574
1274,10205,12388,3761,11096
6254,10547,7404,3761,4456
3648,10547,12388,3761,928
3648,3474,7404,3761,11709
1274,3507,12388,3761,6518
12463,10205,12388,3761,12023
5144,10547,12388,3761,11340
12,7071,372,3761,5012
12463,10205,10800,3761,9389
4933,10547,12388,3761,6761
3648,7413,4504,3761,3387
112,10205,7404,3761,9690
6254,10205,12388,3761,1780
6254,7561,12388,3761,4082
3648,10205,372,3761,6167
3648,9879,12388,3761,10819
6254,8728,7404,3761,9442
3648,8844,7404,3761,10699
5144,5380,12388,3761,439
6254,10547,12388,3761,1007
3648,3474,7404,3761,3630
6254,3474,7404,3761,5175
112,8000,12388,3761,883
3648,10205,7404,3761,356
3648,10547,12388,3761,12495
6254,10205,12388,3761,11041
6254,10547,7404,3761,7077
6254,10547,6387,3761,12126
7360,1924,372,3761,1682
1418,10205,372,3761,9889
8271,5095,7404,3761,3757
6254,10205,12388,3761,5280
3648,10547,7404,3761,4864
3648,3474,12388,3761,11383
112,10205,12388,3761,6442
8271,10547,12388,3761,1408
112,6823,12388,3761,4173
6254,8728,7404,3761,10879
6254,8728,7404,3761,12072
3452,10205,1185,3761,49
6254,10547,12388,3761,8075
10826,10547,7404,3761,12561
3648,9879,12388,3761,8149
112,7413,12388,3761,5737
3648,9608,12388,3761,9563
3648,5095,10800,3761,3754
6254,10547,12388,3761,1898
6254,10547,7404,3761,2966
3648,10547,12388,3761,3696
6254,10205,12388,3761,7923
1024,10205,11511,3761,6030
6254,10547,7404,3761,3987
6254,10547,6387,3761,5364
12114,10205,12388,3761,12171
2240,10205,12388,3761,8067
11464,4416,6387,3761,5160
3648,10205,12388,3761,11388
6254,10547,6387,3761,2094
6254,10547,11511,3761,1155
6254,10547,7404,3761,4644
112,10205,12388,3761,6362
6254,10205,7404,3761,5921
10826,10205,12388,3761,9916
6254,10547,12388,3761,8635
6254,9608,12388,3761,1100
10826,5095,12388,3761,1169
721,10205,12388,3761,4913
6254,10205,7404,3761,9256
10972,4012,12388,3761,2959
3648,10547,12388,3761,7686
9643,10205,12388,3761,6746
8271,10547,12388,3761,7293
12463,10205,12144,3761,6046
12463,3474,372,3761,11136
6254,10547,7404,3761,8776
10111,5380,3761,3761,7535
860,5000,11511,3761,10246
3648,9608,12388,3761,9683
10648,10758,8802,3761,8468
12463,9165,12388,3761,3227
3648,10547,12388,3761,2110
6254,5095,3761,3761,4487
6254,10547,12388,3761,10237
8271,1145,7404,3761,3150
3648,10547,7404,3761,11941
6254,3474,12388,3761,2486
12114,10205,372,3761,1449
8478,5095,8802,3761,8047
6254,10205,11511,3761,288
3648,8728,7404,3761,703
9643,10205,12388,3761,1931
3648,512,372,3761,3451
3648,10205,12388,3761,8467
6254,10547,12388,3761,5444
3648,10547,12388,3761,12498
6254,10205,12388,3761,6071
6254,8728,12388,3761,8353
112,10205,12388,3761,9072
6254,10205,12388,3761,3017
6254,10547,12388,3761,6647
12463,9608,12388,3761,444
112,10205,7404,3761,8452
6254,8728,372,3761,9071
6254,10547,7404,3761,3470
2726,2163,1185,3761,5749
12463,8728,12388,3761,5656
112,10547,12388,3761,2509
8767,10205,12388,3761,11474
6254,10547,7404,3761,2644
3648,10205,12388,3761,5258
