title,authors,venue,year,SampleID
-1,2683,-1,-1,11228
1512,-1,-1,-1,10942
-1,-1,-1,-1,10220
-1,5999,10759,-1,10346
-1,-1,-1,-1,10633
-1,8928,-1,-1,12263
-1,10164,-1,-1,11077
1512,-1,-1,-1,10250
-1,2945,-1,-1,12210
-1,11377,-1,-1,11334
-1,-1,-1,-1,11057
-1,-1,-1,-1,10252
5652,-1,-1,-1,11075
-1,-1,-1,-1,11831
-1,181,-1,-1,12470
-1,3341,-1,-1,11860
-1,-1,-1,-1,12027
-1,-1,-1,-1,10098
-1,-1,-1,-1,10643
-1,-1,-1,-1,12191
-1,-1,-1,-1,12143
-1,-1,-1,-1,11577
-1,-1,-1,-1,10435
-1,-1,-1,-1,12489
-1,2945,-1,-1,11707
-1,-1,-1,-1,10737
-1,-1,-1,-1,12178
-1,-1,-1,-1,11119
-1,2683,-1,-1,10398
-1,-1,-1,-1,12282
-1,-1,-1,-1,10963
-1,-1,1001,-1,10968
-1,-1,-1,-1,11104
-1,-1,-1,-1,11607
-1,-1,-1,-1,11389
-1,2945,-1,-1,10141
-1,1741,2244,-1,12327
-1,-1,-1,-1,11085
-1,11377,-1,-1,10540
-1,-1,-1,-1,11321
-1,-1,-1,-1,11744
5652,-1,-1,-1,12113
-1,-1,-1,-1,11315
-1,11377,-1,-1,11830
-1,-1,-1,-1,12220
9198,5564,-1,-1,11448
-1,-1,-1,-1,11243
-1,-1,-1,-1,10559
-1,-1,-1,-1,10277
-1,-1,-1,-1,12393
4087,-1,-1,-1,10114
-1,3482,-1,-1,11666
-1,-1,-1,-1,10930
-1,2945,-1,-1,11872
-1,-1,-1,-1,10183
633,-1,-1,-1,10169
-1,-1,-1,-1,11380
9198,9733,-1,-1,11663
-1,-1,-1,-1,12284
-1,3341,-1,-1,10659
-1,11377,-1,-1,11926
-1,-1,-1,-1,10166
-1,-1,-1,-1,11368
-1,-1,-1,-1,11391
5514,9900,10759,-1,11010
-1,-1,-1,-1,10508
-1,2945,-1,-1,10637
-1,-1,-1,-1,11051
-1,2683,-1,-1,12111
-1,-1,-1,-1,10493
-1,3260,-1,-1,10452
-1,-1,-1,-1,10379
-1,-1,-1,-1,12262
-1,11377,-1,-1,12307
-1,-1,-1,-1,10557
-1,-1,-1,-1,12188
-1,-1,-1,-1,11862
-1,11593,1001,-1,11497
-1,3341,-1,-1,12150
-1,2945,-1,-1,12556
-1,-1,-1,-1,12441
-1,-1,-1,-1,12280
-1,-1,-1,-1,12215
-1,11377,-1,-1,12447
-1,2683,10759,-1,10736
-1,1308,-1,-1,10093
-1,-1,-1,-1,10641
-1,9007,-1,-1,10617
-1,-1,-1,-1,11935
-1,-1,-1,-1,11748
-1,-1,-1,-1,11817
-1,8928,-1,-1,12208
-1,-1,-1,-1,11974
-1,-1,-1,-1,11680
-1,-1,-1,-1,10769
-1,-1,-1,-1,10681
-1,-1,-1,-1,10170
-1,-1,-1,-1,10212
-1,-1,-1,-1,11208
-1,-1,-1,-1,11120
-1,-1,-1,-1,12504
-1,-1,-1,-1,12313
8454,5453,10759,-1,11317
-1,4473,-1,-1,10288
-1,-1,-1,-1,10882
4776,-1,10759,-1,11409
-1,1092,-1,-1,11159
-1,-1,-1,-1,10802
-1,-1,-1,-1,10316
-1,-1,-1,-1,12399
-1,-1,-1,-1,11669
-1,-1,1001,-1,12260
-1,-1,-1,-1,10793
-1,-1,-1,-1,12062
-1,3464,-1,-1,10417
11464,-1,-1,-1,11094
-1,1107,-1,-1,10354
-1,4076,-1,-1,11248
1145,1552,10759,-1,10676
-1,-1,-1,-1,12474
-1,-1,-1,-1,10403
-1,-1,-1,-1,10666
-1,-1,1001,-1,11516
-1,3482,-1,-1,10567
-1,-1,-1,-1,10262
-1,-1,-1,-1,11758
-1,-1,-1,-1,12036
-1,-1,-1,-1,11938
-1,-1,-1,-1,10812
-1,-1,-1,-1,12471
-1,1308,-1,-1,11572
-1,3750,-1,-1,11547
-1,-1,-1,-1,11415
-1,-1,-1,-1,11261
-1,3267,-1,-1,10951
-1,5202,10759,-1,12445
-1,-1,-1,-1,10928
-1,1308,-1,-1,11040
-1,-1,-1,-1,10554
-1,-1,-1,-1,12468
-1,-1,-1,-1,10664
-1,-1,-1,-1,10498
6865,5564,-1,-1,10795
-1,-1,-1,-1,10944
-1,-1,-1,-1,11599
-1,-1,-1,-1,10979
-1,-1,-1,-1,12539
-1,2683,-1,-1,11091
-1,-1,-1,-1,10298
5514,-1,-1,-1,10394
-1,-1,-1,-1,12060
-1,-1,-1,-1,11442
-1,11377,-1,-1,10982
-1,-1,-1,-1,10336
-1,2683,-1,-1,11868
-1,-1,-1,-1,11846
-1,2945,-1,-1,11581
-1,-1,-1,-1,11989
-1,-1,-1,-1,11890
-1,-1,-1,-1,10375
-1,-1,-1,-1,10772
-1,-1,-1,-1,11592
-1,-1,-1,-1,12183
-1,-1,-1,-1,11031
-1,-1,-1,-1,12051
633,5564,-1,-1,12285
4087,11044,10759,-1,10798
-1,2945,-1,-1,10897
-1,-1,-1,-1,11306
-1,-1,-1,-1,10555
-1,3341,-1,-1,11217
-1,1308,-1,-1,11121
-1,-1,-1,-1,12286
-1,-1,-1,-1,12255
-1,-1,-1,-1,11328
-1,-1,-1,-1,10654
-1,-1,-1,-1,11473
-1,-1,-1,-1,10954
-1,-1,-1,-1,10915
-1,-1,-1,-1,11918
-1,-1,-1,-1,10732
-1,3872,-1,-1,12238
-1,-1,-1,-1,10779
-1,3267,-1,-1,11068
-1,-1,-1,-1,11271
-1,-1,-1,-1,11519
-1,-1,-1,-1,11175
-1,-1,-1,-1,11865
-1,-1,-1,-1,11034
-1,-1,-1,-1,12081
-1,-1,-1,-1,12473
-1,-1,-1,-1,10531
-1,-1,-1,-1,11688
-1,-1,-1,-1,10497
-1,4300,-1,-1,12304
-1,-1,-1,-1,10757
-1,4087,-1,-1,10727
-1,-1,-1,-1,12015
-1,2683,-1,-1,11593
-1,-1,-1,-1,11148
-1,11377,-1,-1,11304
-1,3482,-1,-1,12196
-1,-1,-1,-1,11761
-1,6380,-1,-1,11683
-1,-1,-1,-1,11281
-1,-1,-1,-1,12222
-1,11377,-1,-1,11331
-1,-1,-1,-1,12176
-1,-1,-1,-1,10299
-1,8229,10759,-1,12100
-1,-1,-1,-1,11171
-1,-1,-1,-1,11879
-1,2945,-1,-1,11373
-1,3482,-1,-1,10465
-1,11887,-1,-1,11537
-1,-1,-1,-1,11459
-1,-1,-1,-1,11411
-1,-1,-1,-1,11990
-1,2945,-1,-1,11520
-1,-1,-1,-1,10875
-1,11377,-1,-1,11844
5514,-1,1001,-1,11899
-1,1107,-1,-1,10614
-1,-1,-1,-1,10551
-1,-1,-1,-1,12254
-1,6957,-1,-1,10883
-1,-1,-1,-1,11919
-1,-1,-1,-1,10470
-1,-1,-1,-1,10657
-1,-1,-1,-1,11494
-1,2945,-1,-1,10645
-1,-1,-1,-1,10425
-1,11377,-1,-1,11563
-1,-1,-1,-1,10994
-1,-1,-1,-1,11307
7525,10765,5453,-1,11732
-1,-1,-1,-1,12383
-1,-1,-1,-1,11883
-1,156,-1,-1,11950
-1,-1,-1,-1,11893
-1,2945,-1,-1,11819
-1,-1,-1,-1,11762
-1,-1,-1,-1,12426
-1,-1,-1,-1,11759
-1,5564,-1,-1,12239
-1,-1,-1,-1,10532
-1,3341,-1,-1,10923
10610,-1,-1,-1,12212
-1,5564,-1,-1,10679
-1,-1,-1,-1,11629
-1,-1,-1,-1,11912
-1,-1,-1,-1,11652
-1,-1,-1,-1,10261
-1,3341,-1,-1,10380
-1,-1,-1,-1,10599
-1,1383,-1,-1,11291
-1,-1,-1,-1,12069
-1,5564,-1,-1,11299
-1,-1,-1,-1,12022
-1,2683,-1,-1,11760
-1,-1,-1,-1,10577
2479,-1,-1,-1,11388
-1,-1,5453,-1,10905
-1,1107,-1,-1,11770
-1,3482,5453,-1,11984
-1,-1,-1,-1,11046
-1,-1,-1,-1,11482
-1,9867,-1,-1,10325
-1,2945,-1,-1,10801
-1,5606,-1,-1,11523
-1,-1,-1,-1,10600
-1,-1,-1,-1,11209
-1,-1,-1,-1,11365
-1,-1,-1,-1,11438
-1,-1,-1,-1,10787
-1,2945,-1,-1,11722
-1,1092,-1,-1,10752
-1,-1,-1,-1,10327
-1,6290,-1,-1,12211
-1,-1,-1,-1,11706
-1,-1,-1,-1,11548
-1,-1,-1,-1,11993
-1,-1,-1,-1,10689
-1,2945,-1,-1,12084
-1,-1,-1,-1,11932
-1,9867,-1,-1,12276
-1,5564,-1,-1,12008
-1,-1,-1,-1,11988
9833,-1,-1,-1,11213
-1,9591,5453,-1,11015
-1,6957,-1,-1,11032
-1,448,-1,-1,10966
-1,-1,-1,-1,11202
-1,-1,-1,-1,12558
-1,-1,-1,-1,11811
277,8229,10759,-1,11738
-1,-1,-1,-1,12055
-1,5564,-1,-1,11916
-1,-1,-1,-1,12550
-1,8137,-1,-1,12086
-1,448,-1,-1,10204
