title,authors,venue,year,SampleID
-1,-1,-1,-1,10841
3985,-1,-1,-1,10756
6178,4854,6204,6056,11816
2888,11830,6204,2164,11554
-1,-1,-1,-1,10419
5436,619,6204,2164,12516
-1,-1,-1,-1,10906
4010,6694,8740,2511,12416
5509,9324,735,3190,11399
5588,4468,6204,209,12149
5472,8370,6204,412,10835
169,2448,6166,3326,10937
6942,4468,3333,4390,11417
7796,-1,-1,-1,12223
4010,6005,6204,-1,10660
6681,8965,7089,2511,11185
169,10674,6166,2511,11353
5762,9908,6204,4390,11264
4758,1798,6204,-1,11422
8581,6005,9947,6047,12351
-1,10312,-1,-1,12227
-1,2371,-1,-1,10436
6919,-1,10548,-1,11294
-1,2371,-1,-1,11178
11458,5122,6204,4390,12396
3722,10747,6166,12063,10711
2785,2176,6204,6056,11602
939,10674,6166,1183,10090
-1,-1,-1,-1,11022
-1,-1,-1,-1,12308
-1,-1,-1,-1,12289
10426,11646,8740,2164,12533
8735,8056,9947,9675,11362
11411,157,2511,6056,11792
-1,-1,-1,-1,12302
8685,3274,3333,2164,11508
5288,7280,6204,-1,11312
11424,10674,6166,12063,12496
-1,-1,-1,-1,10104
1231,9596,6204,3190,10970
5762,10143,6166,4390,12562
10297,8370,7089,412,12121
-1,-1,-1,-1,10917
9064,398,6204,4390,11855
5694,-1,-1,-1,11150
366,9267,225,3326,10455
3203,1541,10984,-1,10096
-1,-1,-1,-1,11565
-1,-1,-1,-1,11478
-1,-1,-1,-1,11279
5,-1,225,4104,11348
7665,10674,6166,4390,10300
7667,1798,6204,-1,12198
-1,-1,-1,-1,11490
9486,-1,6204,-1,10202
6288,413,6204,2164,10804
11246,-1,-1,-1,10440
9380,182,6166,1183,11231
10600,9324,6204,4390,12472
1953,2372,3333,4390,10808
352,11364,-1,12329,11487
3560,1785,8740,4390,11807
9908,5889,8740,3892,10671
362,1798,3333,4390,11345
-1,-1,-1,-1,10604
1238,-1,-1,-1,11540
3642,5689,6166,3892,12237
2615,122,9947,4390,12114
6119,1275,6166,4390,10920
5525,1785,6166,4390,10311
5288,11268,6204,-1,11790
-1,2371,-1,-1,12386
3011,-1,-1,-1,12170
12462,-1,10548,2596,12020
6008,1686,8740,1051,10851
5605,9351,6204,2511,10574
6942,1798,6204,4390,10719
5167,9562,6204,2511,12159
10465,-1,10548,12063,11965
3677,5557,6204,2164,11679
6117,10143,6166,4390,12025
8175,1798,6204,4390,10344
569,3274,6204,4390,10150
9064,-1,-1,12063,11456
8481,4426,7089,2164,11564
281,12001,6166,4390,11526
2626,10967,6204,2511,11480
7717,122,6204,4390,11909
1231,3037,2511,412,10189
3489,27,8740,6056,10649
9846,499,6166,3892,11962
-1,2371,-1,-1,11169
11979,2468,6204,2596,11029
4137,10674,6204,9675,11227
9656,10674,10984,12063,10349
4451,193,8091,9675,12185
-1,-1,-1,-1,12415
12328,3149,7089,2511,12088
3412,11354,6815,3326,11734
-1,-1,-1,-1,12480
4505,5985,6166,6047,10376
5855,6005,6204,2511,11196
9064,1398,6204,6047,11109
-1,2371,-1,-1,12057
10584,8335,6204,2511,11491
2150,12001,6166,4390,11559
-1,2371,-1,-1,10187
8026,7285,6204,9675,10770
10993,-1,-1,-1,12109
6338,-1,3333,-1,11800
10254,8298,6204,9675,10945
7665,10674,8740,3326,11266
-1,-1,-1,-1,11610
3092,3046,6204,4390,11065
9298,495,6204,9675,12291
5247,9908,6204,12063,10846
6017,2405,9947,2511,10990
6532,8056,6204,4390,11430
12302,9523,6166,4390,11815
36,7361,10984,4390,11203
10945,854,8740,4390,11567
11747,1374,6204,4390,10721
11246,12377,6204,4390,12422
-1,-1,-1,-1,11998
2647,2795,6166,4390,11534
11645,2069,6166,4390,11838
7148,6035,6204,2164,10351
11458,12001,6204,412,10381
1961,-1,-1,-1,12029
6942,-1,-1,-1,10880
5329,-1,-1,-1,11357
11458,1785,6204,4390,10780
11458,4725,6204,-1,11842
5247,-1,-1,-1,12523
4580,5379,6204,4390,11073
-1,-1,-1,-1,12201
5009,8713,6166,5716,10139
-1,-1,-1,-1,10610
5329,10674,10984,-1,12010
12558,4468,6166,4390,11455
669,5985,6166,3326,10879
4638,4232,8740,3892,11642
-1,-1,-1,-1,10964
9913,12204,6204,4390,12153
3835,9908,6204,4390,10729
11916,10312,6204,412,11533
11489,5138,6166,2164,12249
3092,10674,225,10820,10165
10323,6104,7089,3892,10340
4461,11059,6204,6056,12555
11966,1798,8740,3326,12540
-1,-1,-1,-1,11311
6200,9267,6166,9675,11726
-1,-1,-1,-1,10682
7845,11020,8091,8535,10582
4449,5502,6204,412,11871
-1,-1,-1,-1,12278
9579,2824,8740,2511,10716
1231,7786,6204,10820,10171
281,4468,10548,12063,10669
-1,-1,-1,-1,12157
-1,-1,-1,-1,11095
5592,10597,6204,2164,12101
11489,919,5490,6056,10636
10929,9351,6204,3326,11165
-1,-1,-1,-1,10372
1041,11059,225,6047,10389
11645,10700,5490,3326,10401
3127,10747,6166,5716,11467
11604,8228,-1,5716,10122
10157,6005,6204,8535,10313
10432,5518,10984,6047,12258
11581,4036,8740,2511,11839
8385,-1,-1,-1,11598
1961,8486,8740,4390,11350
2615,2405,225,4390,10221
8829,-1,-1,-1,10623
11747,11059,6166,4390,12244
5855,12165,10548,1183,11542
-1,-1,-1,-1,10810
9462,8498,225,9675,12068
8967,8263,6204,4390,11184
8050,1798,8740,-1,11774
5286,10839,6204,6056,12513
669,1097,6204,4390,11689
3624,6005,6204,6056,10562
7789,4468,6204,4104,12031
-1,-1,-1,-1,11147
3982,4468,6204,4390,12071
3928,-1,8740,2596,10248
1813,2256,6204,4390,12294
3928,-1,-1,-1,10234
-1,2371,-1,-1,10576
-1,-1,-1,-1,12042
-1,2371,-1,-1,11141
-1,-1,-1,-1,12043
3413,-1,-1,-1,12245
6200,1686,3333,412,11506
6576,5787,6204,2164,12177
-1,-1,-1,-1,12324
-1,2371,-1,-1,12502
2442,12249,6204,412,12408
7234,1785,6204,4390,10341
7895,4468,6204,4104,10107
2542,5612,6166,2511,11942
2847,8370,6204,2164,11020
5157,11739,8604,412,10632
1231,-1,-1,-1,12395
334,9348,8740,3326,10734
3203,1398,6204,-1,12090
929,6336,6204,-1,10301
-1,-1,-1,-1,11583
386,7646,-1,3326,11011
1634,4468,6204,4390,11513
-1,2371,-1,-1,10121
5379,12001,225,4390,12466
489,10312,6166,1183,10691
5288,281,6166,4390,10696
4792,122,3333,6047,10194
737,5622,6204,6056,12371
-1,-1,-1,-1,10672
7693,4939,3892,2511,11152
-1,-1,-1,-1,12528
-1,-1,-1,-1,12122
2859,5787,9947,2511,12023
11458,2824,6204,2511,10111
5694,-1,-1,-1,12478
11916,1275,6204,6056,11618
3248,1174,6166,4390,12537
72,3617,6204,412,10959
-1,-1,-1,-1,11791
72,4468,6204,5716,12462
7938,9267,6166,9675,11130
8998,1155,3333,12063,11622
184,10597,6204,9675,10845
1961,9908,6204,-1,11729
365,6005,6204,9675,10459
11542,10747,6166,5716,12444
1231,4108,6166,1183,12357
-1,-1,-1,-1,10378
2352,4252,6204,412,10596
2352,182,6204,1183,10817
3902,2985,8604,3326,10701
7908,7862,6204,4390,11377
4753,10747,6204,-1,12333
9064,1785,6204,4390,11060
-1,-1,-1,-1,11555
10708,56,6204,2511,11276
8461,8370,6204,2511,10339
7250,5641,8091,6056,11428
5645,7294,6204,2511,12532
-1,-1,-1,-1,12158
11458,7862,6204,4390,12046
6163,6110,6166,412,12119
7954,9520,10984,4390,11044
923,5115,6166,1051,12217
9009,6989,6166,4390,11579
-1,-1,-1,-1,12398
3865,10674,6204,-1,10820
9956,-1,6204,4104,10123
-1,-1,-1,-1,10720
-1,-1,-1,-1,11008
11458,10597,6204,3326,12382
951,8252,7089,2164,10142
-1,-1,-1,-1,10163
8860,6005,6204,2511,11342
-1,-1,-1,-1,11402
9064,-1,-1,12063,10615
8081,1798,6204,4390,10392
10993,-1,-1,4390,11427
5247,-1,-1,-1,11512
12186,2882,6204,3333,12322
1046,4725,6166,4390,10684
2972,8334,6166,6047,10235
11542,1275,6204,4390,11206
6025,1097,6204,3326,11560
6014,6005,6204,2511,12172
446,-1,-1,-1,12283
6079,11806,10871,9675,10565
9680,8378,6204,4390,11155
6178,2405,6166,6206,10753
-1,2371,-1,-1,10176
65,-1,-1,-1,11495
7390,-1,-1,-1,11987
9435,1275,6166,4390,11995
1919,1785,6166,4390,11848
10214,4468,6204,4390,11568
2615,4314,3333,6056,11983
-1,-1,-1,-1,11036
8005,10312,6166,4390,11316
-1,-1,-1,-1,10355
4090,7646,6204,5716,11100
9680,4468,6166,412,10728
191,84,225,1051,10500
-1,-1,-1,-1,10799
9380,8233,10984,4390,12498
6669,6110,8740,2164,11997
2267,1793,225,4390,11986
10815,12377,3333,2511,10683
7250,9346,8740,3333,10321
-1,-1,-1,-1,10172
