title,authors,venue,year,SampleID
8267,1811,10556,3139,11602
8267,4898,4434,3139,12523
8267,1674,1709,3139,12562
8267,310,4434,3139,11376
8267,4832,11705,3139,11987
8267,9083,1709,3139,10668
8267,2288,1709,3139,11319
8267,-1,11705,3139,10187
8267,5925,4434,3139,10701
8267,10347,11705,3139,10990
8267,6994,3693,3139,12382
8267,2288,1709,3139,10133
8267,-1,11705,3139,11019
8267,5710,3693,3139,11020
8267,4898,3693,3139,11512
8267,9083,1709,3139,10297
8267,9787,10556,3139,11600
8267,4898,3693,3139,12502
8267,4898,4434,3139,10165
-1,6781,9207,-1,10455
8267,4898,4434,3139,12107
11109,11266,9207,-1,11203
8267,2288,11705,3139,10355
8267,4898,11705,3139,11399
8267,4898,4434,3139,11427
11998,9273,9207,-1,10632
8267,2288,3693,3139,11842
8267,-1,11705,3139,10610
8267,7740,4434,3139,12297
8267,10573,4434,3139,12109
8267,5422,4434,3139,12170
8267,10835,4813,3139,12249
8267,5511,10556,3139,12516
700,4557,8080,-1,10582
8267,2711,4434,3139,11941
8267,1469,4434,3139,10122
8267,4898,1709,3139,11965
8267,4832,11705,3139,10104
8267,-1,11705,3139,10651
8267,4486,-1,3139,10121
8267,803,4813,3139,11962
8267,4898,1709,3139,10711
8267,12495,3693,3139,11921
8267,2711,10556,3139,11165
8267,4575,10556,3139,10574
8267,10108,10556,3139,12338
8267,5511,11705,3139,12153
8267,10108,10556,3139,12187
8267,4898,4434,3139,11451
8267,4898,3693,3139,10646
8267,4898,10556,3139,11109
8267,2288,3594,3139,10753
8267,4898,4434,3139,12158
8267,2288,11705,3139,11183
8267,4898,3693,12292,11568
8267,9083,1709,3139,12302
8267,11757,3693,3139,11573
-1,6238,3693,-1,10716
-1,10870,3693,-1,11480
8267,10108,10556,3139,10107
8267,2288,11705,3139,11951
8267,6233,9054,3139,11670
11773,664,9207,-1,12068
8267,2711,4434,3139,12010
8267,4898,3693,3139,11625
8267,4898,10556,3139,12172
8267,4898,3693,3139,11908
8267,4898,3594,3139,10340
8267,2288,11705,3139,10372
8267,2288,11705,3139,10991
8267,9083,1709,3139,10615
-1,772,3693,-1,10321
8267,4898,11705,3139,11055
8267,4898,4434,3139,11330
8670,9083,3693,3139,11276
10483,4965,9207,-1,10401
5345,4898,3693,3139,12533
8267,2288,4434,3139,12413
8267,4898,4434,3139,11150
8267,11510,7949,3139,11096
-1,9091,9207,-1,11292
1635,7001,3693,-1,11840
8267,9083,10556,3139,12159
8267,310,4813,3139,10937
8267,9361,9054,3139,10459
8267,-1,11705,3139,11565
8267,540,10556,3139,12149
8267,9083,1709,3139,12543
8267,4898,3693,3139,11184
8267,4898,10195,3139,11806
8267,-1,11705,3139,12244
8267,-1,11705,3139,11022
8267,8264,-1,3139,12031
8267,9083,1709,3139,11316
8267,4898,11705,3139,12142
8267,9083,1709,3139,10311
8267,-1,11705,3139,10808
8267,206,10556,3139,11621
8267,4898,3693,3139,11264
8267,2711,1709,3139,11815
8267,2288,4434,3139,10964
8267,731,3693,3139,10660
8267,9083,1709,3139,12379
8267,2288,10556,3139,12422
8267,-1,11705,3139,10799
8267,4898,4434,3139,11490
8267,4575,4434,3139,10096
8267,2288,1709,3139,11598
8267,6569,4116,3139,12408
8267,-1,11705,3139,11766
8267,-1,11705,3139,11467
8267,2288,1709,3139,10880
8267,4898,10556,3139,11287
8267,4832,3594,3139,11559
8267,4898,4434,3139,11583
8267,2288,11167,3139,11619
8267,2708,3693,3139,10339
8267,-1,11705,3139,11231
8267,4898,1709,3139,12283
8267,4898,4434,3139,11270
8267,9083,1709,3139,10357
12032,228,3693,-1,11560
8267,4898,3693,3139,12472
8267,-1,-1,9054,11679
8267,9083,4434,3139,12299
8267,4898,1709,3139,10917
8267,10108,10556,3139,11719
8267,4898,4434,3139,10440
8267,10108,1709,3139,11402
8267,12557,3693,3139,11997
8267,4898,4434,3139,10601
8267,12278,12408,3139,11564
8267,579,4813,3139,10909
8267,2288,11705,3139,10175
8267,9083,10556,3139,10344
8267,-1,11705,3139,11294
8267,4898,11705,3139,11800
8065,2728,9207,-1,12337
8267,-1,11705,3139,11983
8267,4575,1709,3139,12518
10725,12024,3693,3139,11422
8267,2383,10556,3139,10499
8267,4898,4434,3139,11348
8267,2288,11705,3139,10139
8267,10108,1709,3139,11848
8267,7396,11705,3139,10123
8267,4898,1709,3139,10536
8267,4898,-1,1710,10171
8267,12315,4813,3139,11942
8267,4898,4434,3139,12042
