ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,akmal b. chaudhri,sigmod record,1995,"('title',)"
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an aspect of query optimization in multidatabase systems,özgür ulusoy,acm sigmod record,1995,"('authors',)"
information systems research at george mason university,"sushil jajodia , daniel barbar &#225; , alex brodsky , larry kerschberg , ami motro , edgar sibley , x. sean wang",acm sigmod record,1997,information systems research at rwth aachen,matthias jarke,acm sigmod record,1997,"('year',)"
fibonacci : a programming language for object databases,"antonio albano , renzo orsini , giorgio ghelli",vldb j.,1995,thémis : a database programming language handling integrity constraints,"antonio albano , giorgio ghelli , renzo orsini",vldb j.,1995,"('authors',)"
paradise : a database system for gis applications,paradise team,sigmod conference,1995,paradise : a database system for gis applications,jim gray,sigmod conference,1995,"('title',)"
paradise : a database system for gis applications,paradise team,sigmod conference,1995,paradise : a database system for gis applications,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,"('title',)"
paradise : a database system for gis applications,paradise team,sigmod conference,1995,visdb : a system for visualizing large databases,corporate the paradise team,sigmod conference,1995,"('authors',)"
duplicate removal in information system dissemination,"tak w. yan , hector garcia-molina",very large data bases,1995,the sift information dissemination system,"tak w. yan , hector garcia-molina",acm transactions on database systems ( tods ),1995,"('year',)"
providing database migration tools - a practicioner 's approach,andreas meier,very large data bases,1995,providing database migration tools - a practicioner 's approach,"tor didriksen , c &#233; sar a. galindo-legaria , eirik dahle",very large data bases,1995,"('title',)"
providing database migration tools - a practicioner 's approach,andreas meier,very large data bases,1995,database de-centralization - a practical approach,andreas meier,very large data bases,1995,"('authors',)"
research activities in database management and information retrieval at the university of illinois at chicago,"a. prasad sistla , isabel f. cruz , ashfaq a. khokhar , clement t. yu , bing liu , ouri wolfson",sigmod record,2002,amicalola report : database and information system research challenges and opportunities in semantic web and enterprises,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",sigmod record,2002,"('authors',)"
research activities in database management and information retrieval at the university of illinois at chicago,"a. prasad sistla , isabel f. cruz , ashfaq a. khokhar , clement t. yu , bing liu , ouri wolfson",sigmod record,2002,research in information managment at dublin city university,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",sigmod record,2002,"('authors',)"
an efficient bitmap encoding scheme for selection queries,"chee yong chan , yannis e. ioannidis",sigmod conference,1999,an efficient bitmap encoding scheme for selection queries,ming-chuan wu,sigmod conference,1999,"('title',)"
an efficient bitmap encoding scheme for selection queries,"chee-yong chan , yannis e. ioannidis",international conference on management of data,1999,an efficient bitmap encoding scheme for selection queries,ming-chuan wu,international conference on management of data,1999,"('title',)"
semantic interoperability in information services : experiencing with coopware,avigdor gal,sigmod record,1999,semantic interoperability in information services : experiencing with coopware,"amit p. sheth , aris m. ouksel",sigmod record,1999,"('title',)"
