ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",sigmod conference,2003,qc-trees : an efficient summary structure for semantic olap,"chee yong chan , minos n. garofalakis , rajeev rastogi",vldb j.,2003,"('title',)"
qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",sigmod conference,2003,re-tree : an efficient index structure for regular expressions,"laks v. s. lakshmanan , jian pei , yan zhao",vldb j.,2003,"('authors',)"
infomaster : an information integration system,"arthur m. keller , michael r. genesereth , oliver m. duschka",sigmod conference,1997,infomaster : an information integration system,"alon y. levy , daniela florescu , daphne koller",vldb,1997,"('title',)"
infomaster : an information integration system,"arthur m. keller , michael r. genesereth , oliver m. duschka",sigmod conference,1997,infomaster : an information integration system,"david j. abel , dean kuo , kerry l. taylor",sigmod record,1997,"('title',)"
providing database migration tools - a practicioner 's approach,andreas meier,very large data bases,1995,providing database migration tools - a practicioner 's approach,"tor didriksen , c &#233; sar a. galindo-legaria , eirik dahle",very large data bases,1995,"('title',)"
an effective deductive object-oriented database through language integration,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",very large data bases,1994,an effective deductive object-oriented database through language integration,won kim,international conference on management of data,1994,"('title',)"
an efficient bitmap encoding scheme for selection queries,"chee-yong chan , yannis e. ioannidis",international conference on management of data,1999,an efficient bitmap encoding scheme for selection queries,"surajit chaudhuri , luis gravano",very large data bases,1999,"('title',)"
a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001,a fast index for semistructured data,luca cardelli,acm sigmod record,2001,"('title',)"
quickstore : a high performance mapped object store,"seth j. white , david j. dewitt",vldb j.,1995,quickstore : a high performance mapped object store,"david j. dewitt , seth j. white",sigmod conference,1995,"('year',)"
issues in data stream management,"lukasz golab , m. tamer özsu",sigmod record,2003,issues in data stream management,"michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , alex rasin , ugur çetintemel",vldb,2003,"('title',)"
the ecrc multi database system,"heribert schütz , willem jonker",sigmod conference,1995,the ecrc multi database system,michael h. böhlen,sigmod record,1995,"('title',)"
the ecrc multi database system,"willem jonker , heribert sch &#252; tz",international conference on management of data,1995,the ecrc multi database system,"fabrizio ferrandina , thorsten meyer , roberto zicari , guy ferran , jo &#235; lle madec",very large data bases,1995,"('title',)"
mining fuzzy association rules in databases,"chan man kuok , ada fu , man hon wong",acm sigmod record,1998,mining fuzzy association rules in databases,"sridhar ramaswamy , sameer mahajan , abraham silberschatz",very large data bases,1998,"('title',)"
mariposa : a wide-area distributed database system,"carl staelin , paul m. aoki , witold litwin , michael stonebraker , adam sah , jeff sidell , andrew yu , avi pfeffer",vldb j.,1996,mariposa : a wide-area distributed database system,jeff sidell,sigmod record,1996,"('title',)"
mariposa : a wide-area distributed database system,"michael stonebraker , paul m. aoki , witold litwin , avi pfeffer , adam sah , jeff sidell , carl staelin , andrew yu",the vldb journal -- the international journal on very large data bases,1996,mariposa : a wide-area distributed database system,jeff sidell,acm sigmod record,1996,"('title',)"
metadata for integrating speech documents in a text retrieval system,"ulrike glavitsch , peter sch &#228; uble , martin wechsler",acm sigmod record,1994,metadata for integrating speech documents in a text retrieval system,"anthony tomasic , h &#233; ctor garc &#237; a-molina , kurt shoens",international conference on management of data,1994,"('title',)"
geo/environmental and medical data management in the rasdaman system,"peter baumann , paula furtado , roland ritsch , norbert widmann",very large data bases,1997,geo/environmental and medical data management in the rasdaman system,"david j. abel , kerry taylor , dean kun",acm sigmod record,1997,"('title',)"
re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal,sigmod record,2001,re-designing distance functions and distance-based applications for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001,"('title',)"
re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal,sigmod record,2001,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",acm sigmod record,2001,"('venue',)"
clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar raghavan",vldb j.,2000,clustering categorical data : an approach based on dynamical systems,"prabhakar raghavan , david gibson , jon m. kleinberg",vldb,2000,"('year',)"
erratum-a database model for object dynamics,"m. p. papazoglou , b. j. kr &#228; mer",the vldb journal -- the international journal on very large data bases,1997,a database model for object dynamics,"m. p. papazoglou , b. j. kr &#228; mer",vldb j.,1997,"('venue',)"
approximate join processing over data streams,"johannes gehrke , abhinandan das , mirek riedewald",sigmod conference,2003,approximate join processing over data streams,"lukasz golab , m. tamer özsu",vldb,2003,"('title',)"
"optimizing queries using materialized views : a practical , scalable solution","per-åke larson , jonathan goldstein",sigmod conference,2001,"optimizing queries using materialized views : a practical , scalable solution","rachel pottinger , alon y. halevy",vldb j.,2001,"('title',)"
"optimizing queries using materialized views : a practical , scalable solution","jonathan goldstein , per - &#197; ke larson",international conference on management of data,2001,"optimizing queries using materialized views : a practical , scalable solution",alon y. halevy,the vldb journal -- the international journal on very large data bases,2001,"('title',)"
minicon : a scalable algorithm for answering queries using views,"rachel pottinger , alon halevy",the vldb journal -- the international journal on very large data bases,2001,minicon : a scalable algorithm for answering queries using views,"jonathan goldstein , per - &#197; ke larson",international conference on management of data,2001,"('title',)"
