title,authors,venue,year,SampleID
2479,2863,1727,7244,22965
11171,2863,4504,-1,22966
11171,2863,3034,4546,22967
11171,2863,10174,7244,22968
11171,632,4504,4546,22969
11171,4098,10576,7244,22971
11171,2863,1727,4546,22973
11171,2863,5078,6088,22974
4660,2863,1727,7244,22975
11171,11239,10576,6088,22976
5667,4098,1727,7244,22978
11171,2863,1727,4546,22979
8615,4098,4214,7244,22981
4660,11239,4214,7244,22982
10531,2863,4214,11225,22983
4660,4098,3034,7244,22985
4660,2863,4504,-1,22986
11171,2863,10576,2130,22987
4660,2863,4504,7244,22988
11171,2863,3034,4546,22989
11171,8140,5078,4546,22990
11171,2863,4214,6088,22991
11171,4098,10174,-1,22992
11171,2863,4214,12047,22993
4660,11239,7414,10174,22994
4660,4098,4214,4546,22995
4660,4098,1727,4546,22996
4660,4098,1727,5948,22997
7745,8140,7414,10174,22998
4660,632,4214,7244,22999
11171,4098,4214,4546,23000
7745,8140,5078,6088,23001
11171,11239,4504,7244,23002
4660,8140,7414,10174,23003
11171,8140,3034,6088,23004
11171,632,12047,7244,23005
7745,4098,1727,4546,23006
4660,9485,7414,7244,23007
4660,2863,4504,11225,23008
8615,2863,4504,7244,23009
4660,11239,6265,7244,23010
8615,2863,6265,4546,23011
4660,2863,6265,4546,23012
4660,2863,4504,2130,23013
8615,2863,1727,5948,23014
3839,11593,5381,6088,23015
7745,8140,7414,6088,23016
11171,11239,5381,-1,23017
7745,8140,5078,6088,23018
11171,4098,10174,6088,23019
11171,2863,4214,5948,23020
7745,8140,5078,6088,23021
11171,4098,4504,10174,23022
7745,8140,5078,7244,23023
11171,11239,4504,-1,23024
4660,11239,3034,7244,23025
11171,11239,4504,-1,23026
11171,2863,3034,-1,23027
4660,11239,4504,12047,23028
11171,4098,1727,-1,23029
7745,8140,7414,6088,23030
11171,4098,6265,7244,23031
11171,11239,4214,7244,23032
4660,8140,4214,-1,23033
4660,10242,5078,-1,23034
4660,11239,5078,7244,23035
11171,8140,5078,10174,23036
11171,11239,4214,11225,23037
11171,4098,4214,7244,23038
11171,2863,4214,7244,23039
11171,2863,4214,5948,23040
12447,8140,7414,10174,23041
11171,7267,2130,4546,23042
7745,632,1727,4546,23043
11171,8140,3034,6088,23044
11171,8140,3034,-1,23045
11171,2863,1727,-1,23046
11171,11239,3034,-1,23047
11171,11239,3034,-1,23048
11171,2863,2130,-1,23049
4660,7071,1727,-1,23050
7745,8140,5381,-1,23051
4660,2863,4214,2130,23052
4660,8140,5078,-1,23053
4660,4098,5078,7244,23054
4660,4098,5078,7244,23055
4660,4098,5078,7244,23056
11171,8140,5078,-1,23057
7745,11239,3034,5948,23058
4660,2863,3034,7244,23059
4660,11239,3034,7244,23060
7745,11239,3034,4546,23061
4660,7071,12387,7244,23062
4660,11239,5078,7244,23063
4660,11239,7414,-1,23064
8615,2863,1727,4546,23065
4660,2863,1727,2130,23066
4660,2863,5078,4546,23067
8615,11239,1727,-1,23068
4660,7071,7414,10174,23069
7745,8140,7414,6088,23070
11171,4098,10174,-1,23071
11171,11239,5078,4546,23072
11171,632,5078,11225,23073
11171,4098,1727,-1,23074
11171,4098,4504,-1,23075
4660,719,-1,3511,23076
12,4098,1727,7244,23077
2831,4098,5078,5948,23078
4660,4098,5078,3767,23079
2479,632,1727,7244,23080
4660,7071,12387,6088,23081
11171,632,5078,4546,23082
7745,8140,7414,6088,23083
7745,4098,10174,7244,23084
