title,authors,venue,year,SampleID
5478,3957,7759,2812,22970
8344,3957,7568,2929,22972
5997,3957,3691,5212,22977
6657,1083,7759,2812,22980
10492,3957,7759,2812,22984
5997,8477,9573,998,23088
11468,3957,163,6178,23100
5478,8910,7759,2812,23111
5997,3035,163,4882,23134
11468,8477,9573,998,23141
11468,2419,163,2929,23142
5997,9984,4808,2929,23154
5997,12351,6600,5832,23201
7187,2382,163,10249,23203
5997,12351,7759,5832,23215
10492,8477,7759,998,23227
5997,8933,7759,4651,23236
5997,8477,7759,5212,23239
5997,8933,7759,998,23244
11596,2442,10328,5212,23245
5997,3957,6970,5212,23246
5997,11419,7759,5212,23269
1368,2442,163,272,23282
3548,9567,4808,2929,23322
10492,8477,163,5212,23328
10929,2442,6848,303,23334
11182,9543,6848,510,23342
10492,10743,6848,5212,23349
7187,9711,6520,5570,23354
5997,11576,4808,6119,23358
11596,8316,6520,272,23465
10492,9482,6520,5212,23469
11596,3957,163,303,23512
10492,8477,7759,5832,23516
5997,8933,9046,5212,23521
2674,11889,10533,5570,23536
10492,8080,7759,7324,23539
1604,8910,9573,5212,23588
5997,4064,6520,998,23594
5997,3957,7759,5212,23601
5997,8160,4808,5212,23602
6268,10673,5419,2929,23608
5093,8315,7008,272,23629
10492,3957,7568,998,23635
5997,3152,7568,998,23645
5997,8910,4631,5212,23646
6780,3957,2628,5212,23649
11288,2419,7759,5212,23660
3552,12351,7759,7324,23724
5997,12351,7759,2812,23725
11468,3957,163,2154,23726
5997,8477,163,4651,23736
6657,1427,4808,2812,23759
5997,2419,163,998,23769
5997,4064,163,998,23776
11596,3017,7759,2929,23795
6629,681,7008,272,23800
5997,2419,163,998,23803
5997,11576,163,4651,23818
5997,9062,3105,272,23831
5997,8080,7759,4651,23854
5997,2442,7759,5570,23899
6780,12351,9046,2154,23914
10492,8477,6520,5212,23921
5997,8477,163,998,23922
5997,8477,163,5212,23923
11468,8477,6520,998,23924
5997,7638,4808,998,23925
5997,11576,2628,4651,23951
5093,2719,5503,2929,23956
5997,8080,4808,998,23957
5997,8477,2282,5212,23958
11468,9482,6600,2929,23960
5997,11814,7759,5570,23965
5478,12266,163,5212,23966
5997,2382,6520,5212,23969
1056,3957,7759,2812,23970
5478,2442,7759,5212,23971
5997,8933,163,4651,23986
5997,4064,7759,998,23992
5997,1285,10225,5832,24006
11468,3957,6520,10710,24008
5997,3957,6520,2929,24010
6780,3957,6520,5212,24012
1604,3957,6848,6119,24020
5997,3957,163,5212,24027
5997,3957,163,4651,24029
374,7791,2628,6178,24062
5997,11814,10533,6178,24065
5478,3957,6712,5212,24137
5997,1285,9046,5212,24171
5997,8477,4808,4571,24179
10492,2382,6848,10249,24183
5997,6665,6520,5212,24200
10492,5295,9573,4651,24202
11596,3957,4808,5212,24213
7192,3957,163,2929,24216
10492,3957,6520,6119,24217
5997,1148,7759,4651,24218
10492,11256,7008,5212,24219
5997,2419,7759,998,24229
10492,11576,6600,5212,24250
5997,911,5747,7324,24253
5997,3957,6600,998,24254
5997,3152,163,5212,24256
5997,3152,7568,5212,24270
5997,2419,4808,2154,24320
5997,909,163,7324,24321
4890,9710,4310,272,24323
5997,2919,7759,6283,24345
5997,8477,7568,5212,24379
7192,3957,6848,5212,24392
5997,3957,163,4651,24396
6669,11576,9046,2929,24441
5478,3957,5455,5212,24443
11596,6040,2628,4651,24476
5997,3152,9573,5212,24478
5997,8477,163,4882,24479
5997,11576,163,4651,24480
8406,5294,420,3184,24517
3977,5294,7759,2812,24518
11468,2419,4808,5212,24560
5997,2419,163,5832,24561
5997,12088,503,2929,24592
5997,8477,163,7324,24625
9239,2888,2876,7324,24626
5997,1285,6520,5212,24627
5997,11419,163,5570,24628
11596,11612,4280,272,24633
1604,3035,7759,998,24634
5997,1285,6520,5212,24635
5997,4594,6600,4631,24646
8025,12266,2628,6178,24728
982,10095,7759,509,24740
5997,8080,7759,5570,24774
5997,3152,3691,303,24775
5997,10743,10225,4882,24778
5997,3152,4808,5212,24792
10474,2442,6520,2929,24801
5997,3152,4808,272,24806
11596,4064,7759,7324,24825
5997,4009,2628,998,24836
5997,2382,7759,5832,24851
5997,11576,2628,5570,24852
10492,3957,7759,272,24854
5997,3957,3691,4882,24855
5997,2419,9046,7324,24858
10492,8477,7759,272,24907
5997,3152,6785,1821,24909
5997,2419,6785,998,24910
10492,8080,5180,5212,24924
5193,11419,10533,6178,24954
1604,3957,7759,5212,24967
11468,2419,10328,5212,24987
5997,9092,10328,5212,24989
5997,1285,6600,5212,25011
5997,3152,163,10249,25072
5997,8477,6076,2929,25102
5997,2419,9573,5212,25152
