ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ',atlanta,404-237-2700,` american ( new ) ',90,"('addr',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('city',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404/237 -2700,` american ( new ) ',90,"('phone',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` ext 6108 international ',90,"('res_type',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','52 236 w. 52nd st. ',` new york ',212/586 -7714,` latin american ',371,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,"('name',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,'21 club ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,"('name',)"
