ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,toulouse,' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('name',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',405,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',393,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,tomtom,' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('name',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',422,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,palisades,' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,toulouse,' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',85,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,nava,' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',682,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` georgia grille ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` brasserie le coze ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',90,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,abruzzi,' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,"('name',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',709,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` luna si ',' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',405,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,tomtom,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',422,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` cafe ritz-carlton buckhead ',' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` dining room ritz-carlton buckhead ',' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` dante \ 's down the hatch buckhead ',' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` white house restaurant ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` original pancake house ( at ) ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` ritz-carlton cafe ( buckhead ) ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` la grotta ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,85,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` palm the ( atlanta ) ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,709,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` georgia grille ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` brasserie le coze ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` brookhaven cafe ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,682,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` ritz-carlton dining room ( buckhead ) ',' b peachtree rd. ',atlanta,404/351 -9533,french,92,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,toulouse,' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` luna si ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` dining room ritz-carlton buckhead ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` dante \ 's down the hatch buckhead ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,tomtom,' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` cafe ritz-carlton buckhead ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,palisades,' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,"('name',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,410,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,` gallagher \ 's ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,` victor \ 's cafe ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,` judson grill ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',276,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,` ben benson \ 's ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',187,"('class',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,` la grenouille ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,arcadia,'21 w. 52nd st. ',` new york ',212/582 -7200,american,23,"('name',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,603,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` pinot bistro ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,"('name',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,posto,' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,"('name',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` art \ 's delicatessen ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,"('name',)"
