ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,89,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,89,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,89,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,89,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,89,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,92,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',92,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,92,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,92,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,85,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,85,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,85,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,3,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` cafe bianco ',' 1486 2nd ave. between 77th and 78th sts . ',` new york ',212/988 -2655,` coffee bar ',3,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,3,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,3,"('class',)"
seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,59,"('class',)"
seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,` il nido ',' 251 e. 53rd st. ',` new york ',212/753 -8450,italian,59,"('class',)"
` la cote basque ','60 w. 55th st. between 5th and 6th ave. ',` new york ',212/688 -6525,french,40,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,40,"('class',)"
` la cote basque ','60 w. 55th st. between 5th and 6th ave. ',` new york ',212/688 -6525,french,40,` jean lafitte ','68 w. 58th st. ',` new york ',212/751 -2323,french,40,"('class',)"
felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,33,"('class',)"
felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,33,"('class',)"
felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,33,"('class',)"
felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,33,"('class',)"
felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french ( classic ) ',33,"('class',)"
lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,43,"('class',)"
lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,` cafe pierre ',' 2 e. 61st st. ',` new york ',212/940 -8185,french,43,"('class',)"
lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,43,"('class',)"
` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',43,"('class',)"
` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,43,"('class',)"
` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43,lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french ( classic ) ',43,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,` water club ',' 500 e. 30th st. ',` new york ',212/683 -3333,american,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,` le colonial ',' 149 e. 57th st. ',` new york ',' 212 / 752-0808 ',asian,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french ( classic ) ',44,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,44,"('class',)"
lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french ( classic ) ',44,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,44,"('class',)"
oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,` fifty seven fifty seven ','57 e. 57th st. ',` new york ',212/758 -5757,american,50,"('class',)"
oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,50,"('class',)"
