ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',92,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',405,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',393,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',422,"('class',)"
` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',410,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',92,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',85,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',706,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',682,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',81,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',77,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',708,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',90,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',74,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',709,"('class',)"
` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',719,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',405,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',422,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',89,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',90,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',410,"('class',)"
toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',393,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,719,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,708,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,74,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,89,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,85,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,706,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,709,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,81,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,77,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,682,"('class',)"
toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,90,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,92,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,405,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,90,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,393,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,422,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,89,"('class',)"
` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,410,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',254,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',371,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',34,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',276,"('class',)"
'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',187,"('class',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,623,"('class',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,603,"('class',)"
'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,34,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',18,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',156,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',1,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',199,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,595,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,1,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,590,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,580,"('class',)"
` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,18,"('class',)"
seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,219,"('class',)"
