title,category,brand,modelno,price,SampleID
9702,1028,8156,35,3274,10305
8681,8220,53,9357,9258,9521
4224,5585,9689,3804,9258,9206
7634,1028,53,2093,38,10422
2268,5585,9725,9249,9258,9032
7083,7834,8957,9888,8832,8643
3798,5585,8156,3222,3337,9196
3798,8569,8156,9357,4701,9388
3798,1028,8156,3804,3337,8827
5539,7834,9689,9429,8832,8975
9702,5585,9689,3582,3337,10037
93,5585,9689,2963,8832,9632
3798,5585,9689,3582,4701,10306
8681,5585,9689,3582,3274,8974
8681,8220,53,7834,9258,9931
2132,7834,9689,3582,8832,10113
7083,7834,8156,7196,8832,8718
1719,1028,53,5340,4701,9341
8681,10191,53,4387,4701,8890
1719,7849,53,35,7349,10230
5687,10191,53,8240,9565,8916
5867,4988,7187,8823,9669,9770
8681,5585,9689,1956,7830,8572
4574,7196,8957,4871,8832,9182
9307,5585,8156,4206,4701,8644
9307,5585,9689,7937,3274,9462
8681,7834,8957,3582,7830,9174
2268,5585,53,3582,9258,9043
5687,8569,53,3215,5526,10255
3798,8487,8156,5526,8832,10173
3798,5585,8156,6882,3274,8851
3302,1028,53,4852,1097,8842
2268,1028,53,6863,4701,9598
2132,7834,8957,6863,8832,8806
8681,1028,8156,867,9565,8872
3798,5585,8957,3582,4701,9981
3798,5585,9689,3582,3274,8601
1719,1028,53,2662,4701,9443
2268,4309,53,35,3625,9158
2132,7834,9689,9429,8832,9969
7083,7834,9689,1769,8832,9211
8681,5585,9689,3291,5597,9591
2132,5585,9689,4871,5597,8507
8681,3423,53,7937,9715,10392
10265,7272,327,4735,7178,10293
1679,7834,8957,9429,8832,9045
1679,7196,8957,1353,8832,9166
9053,1028,53,2424,9258,10400
3798,5585,9689,6863,7830,8622
2268,10191,53,4206,3274,8642
3798,4988,7187,5296,4309,9386
1679,7834,8156,7196,8832,9751
680,8569,8156,10307,4701,9956
1734,5585,9689,6384,8832,9398
2132,5585,9689,1956,8832,8983
9307,1028,53,9249,7545,9117
1719,1028,53,3582,4701,9304
6640,9307,4216,7359,5847,8850
817,8569,8156,3000,2046,8495
2268,5585,9725,956,3337,8940
3085,5585,9689,3582,7830,9243
8877,1028,8156,2662,3274,9405
5597,7834,8957,2178,8832,9122
3798,5585,9689,9249,4701,10361
7083,8020,8957,3732,8832,8660
8681,5585,9689,867,7830,8903
9625,5585,8957,3582,3274,9957
7443,1028,8255,4650,4701,10091
9625,8487,8156,3582,8832,9063
3798,5585,9689,6384,7830,9856
3798,5585,9689,3804,6399,9991
8681,5585,9689,6384,3337,8641
8681,1028,8156,4019,4701,10085
7187,754,9532,4067,716,10282
3798,5585,9689,3582,3337,9226
4900,5585,8255,3510,4701,9419
7083,789,8957,7262,8832,9575
7083,8487,8957,4871,8832,9687
3798,5585,9689,6863,3337,10044
1679,5585,8957,7262,8832,8866
8240,7909,53,2965,5431,8573
4897,2094,53,3804,4701,9334
5597,7196,8957,3732,8832,9989
8275,1028,9725,3804,4701,9498
789,8674,53,9357,9565,8448
7083,5585,8957,7196,8832,9843
2132,5585,8156,6863,8832,10062
1679,5585,9689,7196,8832,9673
4586,10191,53,7937,4701,9941
3798,5585,9689,7262,8832,8744
6260,6934,3148,5169,2748,9240
2803,1028,53,867,9258,9331
7083,9586,8957,2963,8832,9723
2803,1028,53,2093,4701,8630
1679,5585,8156,7937,38,9027
2268,1028,53,682,9258,8404
4574,5585,8156,3582,7830,10403
3798,5585,8156,3582,7830,8813
3798,8569,8156,3582,4701,8860
5597,7196,8957,7262,8832,8966
10322,5364,9725,3804,4701,8399
6674,5585,8156,3804,3274,9935
3868,5585,8156,9429,7830,8761
4001,2675,8237,2965,915,9739
3798,5585,9689,5526,7830,9764
7853,1155,53,7297,9565,9915
5867,5585,8156,3582,4701,9833
6640,1028,53,3672,9258,8804
3798,5585,9689,7937,4701,8928
5539,2548,53,218,1365,9926
199,8570,4826,8108,1329,9717
8681,8569,8156,3291,7830,8997
1719,1028,53,1533,9258,9239
3798,5585,9689,3582,2419,9248
2268,1028,53,4019,1365,9860
2132,8020,8957,9429,8832,8772
7083,7196,8957,7262,8832,9657
2085,1028,9725,2662,4701,9571
4650,5585,9689,2536,3274,8760
3798,8487,8957,9429,7830,8856
3798,5585,9689,7262,8832,9161
8681,10191,8156,2662,8803,9024
8681,8487,8571,3804,8832,8669
9625,5585,9689,2178,8832,9821
7083,9586,8957,7262,8832,9757
3798,5585,9689,1177,3337,8829
6678,7842,8803,7937,9625,9377
1223,1028,8156,867,3274,9944
7083,8487,8957,5526,8832,10365
680,5585,8255,10307,4701,10016
4574,8487,8957,9429,8832,9594
7853,8220,53,3582,4701,9540
6474,1956,674,2662,2178,10216
2132,5585,8156,6863,8832,8646
3798,8569,8156,8886,7545,9810
3798,1028,53,10207,9258,9894
9357,5585,9689,9249,5037,9268
3798,5585,9689,3582,4701,9845
1679,7834,8156,7196,8832,8469
8681,5585,8156,7262,7830,8465
2803,3163,53,8830,5037,9116
2650,659,53,867,1365,8433
8681,5585,9689,3582,7545,10221
1679,8487,8957,4871,8832,9173
3798,2094,53,3510,9258,9491
1679,8487,8957,6863,8832,9107
3798,5585,9689,3582,9258,9539
9508,2094,7223,1023,9258,10286
3798,5585,9689,3582,7830,8585
9625,5585,9689,3582,3274,9013
3798,5585,9725,6252,4701,10370
3508,1028,53,9357,4701,10019
5536,1028,53,7382,4701,9303
9625,5585,8156,3582,3337,10090
10265,8220,53,7382,3274,9653
8686,8569,9725,9357,9258,9128
7083,7834,8957,7196,8832,9162
9053,3634,53,9382,9258,9526
3798,5585,8156,3582,1717,9612
3798,5585,9689,3582,4701,9671
3798,8487,8571,7196,7830,10346
3798,5585,9689,3582,4701,8694
533,1028,53,3291,2046,10158
3798,5585,9689,5526,3274,8446
3798,5585,8156,4871,3274,10349
8684,5585,9689,8275,8832,9192
7083,7834,9689,7196,8832,9517
8681,5585,8156,3804,9788,8831
3798,5585,8156,6863,9139,8893
8681,10191,8571,7009,6621,9396
3798,5585,8156,3582,3337,9328
8681,5585,8156,2093,4701,9854
9625,5585,9689,3291,3337,9950
3798,8569,9689,4019,3337,9593
5489,1028,53,2662,8917,9010
3798,5585,9725,4206,3337,9906
2803,1028,53,3582,1097,8442
8681,5585,8156,3291,7830,9452
3798,5585,8156,3804,3274,8743
3798,5585,8156,3582,4701,8567
1719,8220,53,4523,4701,8592
9625,5585,9689,6384,8832,9348
3215,1028,8156,7937,4701,9670
5996,7272,53,35,8505,10127
9702,1028,9725,2662,3274,9214
1679,7834,8957,3732,8832,9025
8681,5585,9689,3291,3337,9000
2878,5585,9689,3582,3337,8434
2268,3423,53,9429,3274,8425
2268,5585,9725,5377,3337,10261
3582,5585,8156,9429,4701,9009
4223,5585,8156,2093,3337,9366
437,8487,8156,3804,8832,9775
7083,8487,8957,1769,8832,8536
7083,789,8957,552,8832,10162
9060,8220,53,35,5037,9217
5539,5585,9689,3291,3337,9756
3798,5585,9725,956,4701,10401
8681,5585,8156,35,8832,8637
1719,5585,9689,9429,3274,9655
8681,5585,8156,3804,3274,9960
3798,5585,53,4206,4701,8708
3798,5585,973,3582,4701,8577
9656,8569,8156,3291,1992,8730
5867,5585,8156,6384,5037,9223
4852,5585,9689,6863,4701,8517
8681,5585,9725,8418,3274,10326
951,8487,8156,3804,3337,10107
