title,category,brand,modelno,price,SampleID
-1,-1,-1,-1,-1,8891
2377,-1,-1,-1,-1,10267
6703,-1,-1,5651,-1,8552
-1,-1,-1,1737,-1,8697
7187,1352,-1,6385,1549,9623
937,1338,-1,5152,6267,8778
6260,-1,4216,4058,6267,9570
8681,-1,-1,9146,-1,9262
6703,-1,-1,-1,-1,10425
-1,-1,-1,-1,-1,9687
6703,-1,-1,2093,-1,8524
8681,3676,-1,3798,8025,9595
-1,-1,-1,-1,5511,9203
-1,-1,-1,-1,3898,10169
1791,3423,-1,2852,9966,10162
5451,3423,-1,1286,6696,9502
3319,-1,7263,4024,8686,10231
7853,-1,-1,-1,6267,10227
4780,-1,-1,-1,-1,9179
3898,-1,-1,5651,-1,9500
4223,8156,-1,7937,4745,9700
9288,4019,-1,6332,8255,9207
7853,-1,-1,9698,5110,9117
6703,-1,-1,-1,-1,8905
6703,-1,-1,-1,-1,9539
680,5447,-1,4646,7661,8494
6703,-1,-1,3319,-1,8962
9702,4483,-1,141,5824,9530
5847,-1,-1,5296,-1,8943
2375,-1,-1,-1,-1,9984
-1,-1,-1,327,5511,8958
8593,2095,-1,6252,5824,8902
-1,-1,-1,-1,5511,9030
3693,-1,-1,5497,7661,10403
4780,-1,-1,5796,-1,8834
1398,-1,-1,-1,5511,9354
-1,-1,-1,-1,5511,9137
8593,-1,-1,4897,3672,10226
-1,-1,-1,-1,-1,8774
5125,-1,-1,4109,-1,10168
-1,-1,-1,327,-1,8790
-1,-1,-1,-1,-1,9269
7301,3215,4216,9395,7309,8714
-1,9955,-1,9888,4735,9912
6708,-1,-1,3853,-1,9083
6260,2384,-1,9888,6324,8808
-1,-1,-1,-1,5511,10052
6703,-1,-1,3863,-1,10306
2377,-1,-1,-1,-1,8873
9075,-1,-1,5651,9543,9792
2375,-1,4216,3291,3675,9135
8681,5008,-1,9678,5798,10086
3693,8696,-1,7083,-1,8947
-1,-1,-1,-1,-1,10253
2377,-1,-1,-1,5511,9208
7187,7357,-1,3722,6696,8662
5451,8696,-1,5023,-1,8828
2375,-1,-1,1286,-1,8772
5824,-1,-1,3798,6267,9802
6708,-1,-1,-1,-1,8475
10265,1338,-1,1286,2699,9467
1885,-1,-1,3853,-1,9152
7867,9888,-1,5169,4663,8401
4778,7443,-1,3766,-1,9268
5847,-1,-1,2852,-1,8645
4223,-1,-1,3722,-1,8575
1278,-1,-1,-1,-1,10081
-1,-1,-1,327,-1,8722
8681,8156,-1,7937,7661,9452
2831,-1,-1,-1,-1,9273
1656,8747,4216,3798,1217,9232
7853,-1,-1,3853,-1,10130
5575,-1,-1,2852,-1,9849
3773,-1,-1,2852,-1,10176
4699,5008,-1,9357,-1,8912
4780,-1,-1,-1,-1,9466
5125,-1,-1,2852,7309,9408
7853,-1,7263,6094,-1,9266
4050,-1,-1,7634,2419,8916
9702,2095,-1,5221,8444,9290
1885,-1,-1,-1,-1,10170
973,-1,-1,4058,4534,9941
8773,537,4216,737,7661,9097
6260,3423,-1,5651,3292,8848
2377,-1,-1,-1,-1,10287
546,-1,-1,9357,-1,9817
8681,-1,-1,7830,-1,8955
8801,7357,-1,9678,8225,8970
1934,-1,-1,2852,-1,10136
2377,-1,-1,-1,-1,8746
-1,-1,-1,-1,-1,8944
2377,-1,-1,-1,-1,10399
9702,3774,-1,3426,7309,9430
3693,-1,-1,3853,-1,9846
-1,-1,-1,3853,-1,9796
8681,4394,-1,2186,8441,8932
38,-1,-1,2852,-1,8516
8681,-1,4216,1737,9543,9186
2831,-1,-1,3853,-1,8557
8681,7357,-1,5296,8255,8927
-1,-1,-1,3853,-1,9381
10006,-1,-1,4058,4370,9642
8593,-1,4216,5760,7661,9616
2650,-1,-1,5651,2699,8544
-1,-1,-1,-1,5511,8915
4699,-1,-1,9678,-1,9046
1836,-1,-1,-1,-1,9916
5815,-1,-1,-1,-1,8897
-1,-1,-1,-1,-1,8775
4780,-1,-1,35,6267,8703
-1,-1,-1,3853,-1,8438
7545,8156,-1,9678,7309,10055
2377,-1,-1,-1,-1,8896
-1,-1,-1,-1,-1,9173
8096,-1,-1,8415,-1,9545
2377,-1,4216,2852,2419,9055
8681,-1,-1,3798,-1,9954
9565,1108,-1,2129,3732,10149
1084,3676,-1,6827,8894,8923
8681,3299,-1,9395,7309,8637
2377,-1,-1,-1,-1,10037
10048,-1,-1,4219,-1,9708
-1,-1,-1,-1,-1,9622
4780,-1,-1,-1,-1,9492
7554,3301,-1,5296,9543,9214
-1,-1,-1,1737,5743,8610
4852,8156,-1,4058,9585,8713
7853,-1,-1,1737,-1,10144
1398,-1,-1,-1,-1,10024
7545,-1,-1,-1,-1,8988
4050,-1,-1,-1,-1,9964
1817,-1,-1,1737,-1,9248
5996,3423,-1,834,7623,9233
9702,537,-1,8603,6267,10384
2377,-1,-1,-1,-1,8421
-1,-1,-1,-1,-1,8499
2377,-1,-1,-1,-1,9969
8681,8156,-1,5651,9543,8855
4780,7357,-1,9395,7661,9209
1538,-1,-1,2852,-1,10133
-1,-1,-1,-1,5511,10294
6703,-1,-1,-1,-1,10339
8748,8696,8957,5536,6399,10101
5296,-1,-1,1178,-1,9172
3302,-1,4216,4494,8444,10224
2377,-1,-1,-1,-1,8933
8681,-1,-1,1353,-1,10319
1885,-1,-1,3853,6267,10103
8096,-1,-1,-1,-1,10113
3798,-1,-1,-1,-1,10007
8681,-1,-1,9678,-1,9498
5265,-1,-1,-1,-1,9906
3798,-1,-1,-1,-1,10173
2698,8696,-1,5152,9606,9167
6260,8487,4216,9678,6399,9877
3898,-1,-1,7295,9543,8987
1836,3675,-1,199,6696,8481
4852,-1,-1,3509,-1,10067
-1,-1,-1,-1,5511,9661
10013,-1,-1,-1,-1,9070
9288,-1,-1,-1,-1,9624
9288,4686,4216,2968,6267,9672
3131,-1,-1,9395,-1,8640
7853,-1,-1,2919,-1,9810
6659,-1,4216,5296,3563,9747
38,-1,-1,5651,-1,9797
1656,-1,-1,9395,-1,8394
2831,-1,-1,3853,-1,9612
8681,-1,-1,5651,-1,10004
-1,-1,-1,-1,5511,10148
8681,4109,-1,4109,9543,10302
2377,-1,-1,-1,-1,9555
5996,10199,-1,1836,7309,8550
3773,-1,-1,6385,8255,9826
2925,-1,-1,5335,-1,9460
2377,-1,-1,-1,-1,10077
-1,8022,-1,3863,5511,8417
9904,-1,-1,3582,-1,9276
4216,-1,-1,2852,7950,10159
9576,6066,-1,5152,-1,8847
5169,-1,4216,6661,6267,10088
7853,7357,-1,8600,5824,8851
5125,-1,-1,-1,-1,9714
52,-1,-1,2852,-1,10208
4670,-1,-1,1737,-1,9523
-1,-1,-1,-1,-1,9646
8681,5008,-1,2930,3988,8588
5572,2095,-1,5651,6696,9361
7945,-1,-1,-1,-1,9283
62,-1,-1,4219,-1,9461
7853,-1,-1,737,5743,10258
3798,-1,-1,3319,-1,8410
7853,1352,-1,711,6621,9805
-1,-1,-1,-1,5511,9398
7853,1352,-1,3951,5929,9550
8681,-1,-1,1737,-1,9908
3693,-1,-1,-1,-1,10410
3798,-1,-1,8415,7661,8728
4650,-1,-1,-1,-1,9985
2377,-1,-1,-1,-1,9204
1836,-1,-1,737,-1,9326
5996,-1,4216,-1,5929,8759
2754,-1,-1,1737,-1,9133
8593,-1,4216,1286,7661,10032
1398,-1,-1,327,-1,10278
-1,-1,-1,3853,-1,9216
7301,7357,-1,755,9561,8465
3693,-1,-1,-1,-1,10012
10164,-1,-1,1737,-1,9188
6703,-1,-1,-1,-1,10329
2375,-1,-1,1286,6267,9968
3299,-1,-1,-1,-1,9573
3693,7357,53,1549,5051,9081
1656,3676,-1,52,4679,8920
5265,-1,-1,-1,-1,9358
9252,-1,-1,9678,1217,8545
2377,-1,-1,-1,-1,9184
8681,-1,-1,737,-1,9078
1656,3675,-1,5651,3292,9225
10155,-1,-1,1286,-1,9311
6934,-1,4216,2852,-1,9787
2377,-1,-1,-1,-1,10120
8681,7893,-1,5651,6267,10015
8593,1875,-1,8156,4871,9103
8681,3423,-1,3319,5929,9577
4961,-1,-1,-1,-1,10379
3274,-1,-1,2852,-1,9756
2377,-1,-1,-1,-1,9399
2990,2095,-1,8415,6696,8951
671,-1,-1,2852,-1,8454
2754,-1,-1,5651,7309,10252
1278,-1,-1,4058,1084,9404
2377,-1,-1,-1,-1,9166
-1,-1,-1,-1,-1,8647
3693,-1,-1,-1,-1,9584
7853,-1,-1,-1,-1,9741
8593,8696,-1,9788,-1,9838
6260,4109,-1,6790,5743,9713
4394,-1,-1,1737,-1,8477
-1,-1,-1,-1,-1,8574
2375,4109,-1,9395,6267,9234
4729,8696,-1,3319,-1,9411
5996,-1,4216,3766,8441,9829
2377,-1,-1,-1,7950,9165
9702,7357,-1,35,8684,9127
2377,-1,-1,-1,5511,8883
-1,-1,-1,3853,-1,9444
9983,-1,-1,9678,-1,9431
1885,-1,-1,4058,-1,8393
7301,8450,4216,4058,8505,9770
8681,-1,-1,3853,-1,10035
2622,-1,-1,5483,5905,10320
-1,41,-1,3853,5511,9014
3845,-1,4216,5144,5743,9010
3798,-1,-1,-1,-1,8807
-1,-1,-1,3853,-1,9441
-1,-1,-1,1737,3988,8535
8593,4109,-1,5651,2687,9847
8593,-1,-1,6733,-1,9484
1460,-1,-1,1737,-1,9571
5265,1875,-1,7486,7950,9391
2754,-1,-1,3403,-1,8606
-1,-1,-1,3853,5511,9719
5387,2093,-1,9785,8689,8864
1934,-1,-1,9395,9543,10398
2831,-1,-1,-1,-1,9294
9702,-1,-1,1737,865,9330
6708,537,4216,5023,-1,8712
2093,537,4216,9898,7661,9229
2377,-1,-1,-1,-1,10345
9075,-1,-1,2852,-1,9895
-1,-1,-1,3853,-1,9750
956,4900,-1,4024,2089,10250
817,4686,-1,2852,8255,9997
1836,8156,-1,5625,4896,10127
2803,-1,-1,-1,6267,9219
1885,-1,-1,1737,-1,9613
8681,-1,-1,5847,-1,10275
2085,-1,-1,2852,-1,10215
6703,-1,-1,-1,-1,9314
2377,-1,-1,-1,-1,10336
8593,-1,-1,5651,-1,9428
8593,-1,-1,-1,-1,8648
6384,3676,-1,4735,1352,8456
-1,-1,-1,3853,5511,9634
3898,-1,-1,5651,-1,8997
3798,-1,-1,7486,-1,8559
-1,1875,-1,6733,6621,10110
1885,-1,4216,4058,5929,9031
3693,-1,-1,682,7661,10228
1885,-1,-1,2852,-1,9253
6703,-1,-1,-1,-1,8650
1836,-1,4216,9357,5051,9042
8603,2095,-1,5651,6267,9088
8877,-1,-1,2852,-1,8657
-1,-1,-1,-1,5511,10347
9702,-1,-1,93,-1,9259
9702,-1,-1,5152,-1,9562
1850,10307,-1,4058,7712,9495
2375,-1,-1,2093,-1,9671
10164,537,4216,7830,-1,9095
-1,-1,-1,2852,-1,9068
-1,-1,-1,-1,-1,9251
8681,1352,-1,7083,5051,8561
1885,7357,-1,9898,-1,9110
-1,-1,-1,-1,-1,10378
2831,-1,-1,-1,-1,8537
3131,-1,-1,9395,-1,9239
2377,-1,-1,-1,-1,8725
5125,-1,-1,3853,-1,10369
-1,-1,-1,-1,-1,9271
3302,4109,-1,5387,9255,8831
2377,-1,-1,-1,-1,9692
3693,-1,-1,7830,6267,8426
546,-1,-1,1286,-1,9456
7957,3676,3400,9357,7966,8566
9565,-1,4216,5651,-1,10094
8810,-1,-1,5651,-1,10246
2375,-1,-1,-1,-1,8423
2925,-1,-1,-1,-1,9735
3798,-1,4216,737,-1,8514
-1,-1,-1,-1,-1,9707
8681,-1,-1,9357,7661,9036
2831,-1,-1,-1,-1,9071
162,1338,2905,9678,5051,8451
1398,-1,-1,-1,-1,10042
7853,-1,-1,9898,-1,9652
1719,-1,-1,6708,-1,8985
2377,-1,-1,-1,-1,10206
2831,-1,-1,-1,-1,9635
9983,-1,-1,737,-1,9854
1329,-1,-1,-1,-1,10041
1719,-1,-1,2852,5743,10269
38,-1,-1,2852,-1,8678
6703,-1,-1,-1,-1,9140
1885,-1,-1,-1,-1,8998
546,7357,-1,9249,5929,8420
8593,8156,-1,7937,8505,8395
-1,-1,-1,-1,-1,9572
9576,1338,-1,5651,9983,8870
2375,-1,-1,9898,7661,10068
4235,-1,-1,2852,-1,8663
8603,-1,-1,2852,-1,10313
546,-1,-1,6875,-1,9563
4670,-1,-1,2852,7309,8796
1885,-1,-1,-1,-1,9868
4216,5152,-1,3291,10009,10340
-1,-1,-1,327,-1,9976
2419,7357,-1,3291,8255,8471
4223,7357,-1,5265,8444,9827
5444,-1,-1,7259,-1,10386
6703,-1,-1,-1,-1,9949
-1,-1,-1,-1,5511,9328
9702,-1,-1,1737,-1,10138
9904,-1,-1,-1,-1,10027
8681,8156,-1,4058,9561,10023
2837,-1,-1,2852,-1,9241
-1,-1,-1,3853,5511,9755
2748,5597,-1,9678,9565,9052
2377,-1,-1,-1,-1,8893
2375,-1,-1,-1,-1,10014
2377,-1,-1,-1,5511,9118
5996,3423,-1,9678,6267,10216
8681,-1,-1,9678,-1,9356
4780,-1,-1,2662,6267,8978
1398,-1,-1,-1,-1,9375
10164,3676,-1,4123,8803,10098
8681,-1,-1,5651,6621,9842
-1,-1,-1,-1,-1,8621
6703,-1,-1,-1,-1,9922
1885,-1,-1,9678,-1,8482
4780,-1,-1,1286,8225,10089
8810,-1,-1,4058,6267,10056
2375,-1,4216,1737,-1,8736
4670,-1,-1,2852,-1,9632
9702,4169,9532,4067,1023,9736
7853,3676,53,9678,7661,8584
7853,-1,-1,1737,-1,9499
2377,-1,-1,-1,-1,10237
10164,-1,-1,2419,-1,9156
546,-1,-1,9678,7661,8984
6703,-1,-1,-1,-1,8826
2377,-1,-1,-1,-1,9501
2375,-1,-1,-1,-1,9362
8275,-1,-1,4058,-1,9578
5572,2384,-1,9898,7661,10295
546,1338,-1,3853,5051,9458
8458,-1,-1,5651,7661,10334
2377,-1,-1,-1,-1,8598
8603,-1,-1,2852,-1,9691
-1,-1,-1,-1,5511,9560
1791,-1,-1,1286,6267,10406
10013,-1,-1,-1,-1,9474
8593,4686,-1,5651,5051,10053
7301,2095,-1,35,3423,9995
9702,-1,-1,2852,6267,10273
2650,537,-1,2852,-1,10018
3798,3215,-1,1737,9543,9637
2901,9939,8571,9146,6399,9324
3798,-1,-1,1836,-1,9815
4394,-1,-1,9678,-1,10370
1398,-1,-1,-1,5511,8956
1791,-1,-1,3291,-1,9636
-1,-1,-1,3853,2649,8536
7853,-1,-1,5265,6267,10338
7853,-1,-1,-1,-1,8511
-1,-1,-1,-1,-1,9867
7853,7357,-1,9307,5110,10268
546,-1,-1,3853,-1,9296
4223,-1,-1,3853,-1,9223
2831,-1,-1,-1,-1,8910
284,8696,-1,2662,-1,9679
4961,-1,-1,2852,-1,9509
8817,5905,-1,7682,9565,9614
6582,-1,-1,-1,-1,10214
2375,-1,-1,-1,-1,10363
4961,-1,-1,3319,-1,9662
7301,8696,-1,1286,3732,9420
5265,-1,-1,-1,-1,9881
-1,-1,-1,-1,-1,9487
6703,-1,-1,3853,5511,9355
2831,-1,-1,-1,-1,10085
6703,-1,-1,3853,-1,8622
1656,5008,-1,9678,1217,8503
38,-1,-1,1737,-1,10029
6703,-1,-1,3853,-1,8452
8681,5008,-1,5651,7309,8986
9702,8747,-1,1353,1460,9050
4650,-1,-1,-1,-1,9957
2377,-1,-1,-1,-1,10026
6703,-1,-1,-1,-1,9978
5125,-1,-1,3863,-1,8721
10190,-1,-1,4058,-1,9124
8593,-1,-1,6629,-1,10284
2375,-1,-1,3853,-1,9104
8593,-1,4216,2852,-1,9804
8681,-1,-1,-1,-1,10408
1125,-1,-1,4058,-1,10371
3695,-1,-1,3853,-1,9859
2375,-1,-1,2852,-1,10440
2377,-1,-1,-1,5511,9740
4223,-1,-1,2852,-1,10243
2375,-1,-1,-1,5511,8798
2852,-1,-1,7083,7661,8614
-1,-1,-1,-1,-1,9163
7853,4109,-1,7937,7276,9038
7867,10199,4216,8830,5051,9872
7867,-1,-1,2852,7309,8946
1618,-1,-1,2852,-1,9745
-1,-1,-1,-1,-1,9033
8681,-1,-1,3898,-1,8730
2093,2095,-1,6385,1549,8881
2377,-1,-1,-1,-1,10074
9702,1338,-1,2662,9983,8527
6703,-1,-1,-1,-1,8462
8593,537,-1,3319,7309,9304
-1,-1,-1,-1,-1,9162
1836,-1,-1,7937,-1,10380
4900,-1,-1,2852,8444,9369
2831,-1,-1,4058,-1,9518
-1,-1,-1,327,-1,8995
2377,-1,-1,-1,-1,10299
2377,-1,-1,-1,-1,8412
1656,-1,-1,9395,2633,8936
4223,2095,-1,4019,4961,10059
-1,-1,-1,1737,-1,9516
2754,-1,4216,5760,6267,10435
3798,3301,4216,7937,7661,8892
7853,-1,-1,8022,5743,9928
4780,-1,-1,2852,-1,10123
2375,3423,-1,4593,-1,8814
2698,-1,-1,5296,-1,10097
1885,-1,-1,-1,-1,8453
8681,-1,-1,2852,5743,9835
286,-1,-1,2852,-1,9732
9702,-1,-1,1836,-1,9049
2377,-1,-1,-1,-1,10092
10155,-1,-1,9395,6267,8695
2377,-1,-1,-1,-1,9538
546,-1,-1,-1,-1,9459
38,-1,-1,6678,7309,9291
8681,-1,-1,5651,8520,10438
2377,-1,-1,3863,-1,10317
1329,-1,-1,2852,-1,10409
5125,8520,-1,5175,3951,9897
7853,-1,-1,2662,-1,9536
-1,-1,-1,-1,-1,9841
2375,-1,4216,-1,-1,9980
546,-1,-1,4523,3563,10150
3845,2095,-1,3853,-1,10124
8810,1717,-1,1737,-1,10040
6703,-1,-1,-1,-1,10071
8096,6066,-1,1178,6399,9664
6703,-1,-1,1286,9666,8840
2831,-1,-1,-1,-1,8965
2650,-1,-1,-1,-1,8742
-1,-1,-1,-1,-1,9475
9565,3676,-1,4058,9053,9958
5572,-1,-1,5847,5110,9510
2377,-1,-1,3853,-1,10020
7853,-1,-1,-1,-1,8576
3302,-1,-1,3085,8950,8488
4050,-1,-1,-1,-1,9141
38,-1,-1,7341,6267,9329
6803,8211,-1,9472,9177,9870
1885,-1,-1,-1,-1,8435
8634,8487,53,2852,6399,9011
1178,1338,-1,3509,4335,9425
9288,4686,-1,5182,6284,10248
2375,-1,-1,-1,-1,9454
-1,-1,-1,3853,-1,10343
4780,-1,-1,-1,-1,10433
4216,2095,-1,9395,6267,9154
6703,-1,-1,5796,-1,9798
7545,-1,-1,1737,-1,10397
7853,-1,-1,1737,6267,9178
3695,-1,-1,-1,3988,8805
5996,-1,-1,737,3646,8875
1885,-1,-1,-1,-1,9774
2377,-1,-1,-1,-1,8428
3240,-1,-1,-1,-1,8416
-1,-1,4216,737,6267,10105
4216,3675,-1,2662,8686,9061
2377,-1,-1,-1,-1,9659
9565,-1,-1,1737,-1,9403
4826,-1,-1,-1,-1,8770
6384,221,-1,4109,1084,9144
9702,7357,-1,737,6267,9079
2093,-1,-1,2852,-1,9803
8681,-1,-1,5335,6267,9688
8681,3676,-1,5983,6399,9064
7853,-1,-1,2852,-1,10200
8553,-1,-1,5296,-1,9914
4050,-1,-1,2852,-1,10003
7853,-1,-1,-1,-1,10030
4670,7357,-1,4058,4826,8879
5847,-1,-1,8600,5051,9617
2377,-1,-1,-1,-1,9883
6260,10006,3046,2633,9643,8591
3798,-1,-1,3853,-1,9806
7853,-1,-1,3291,-1,9136
-1,-1,-1,-1,5511,8904
6260,10006,3046,2633,8973,8526
8877,4109,-1,1286,3732,9340
7853,-1,-1,-1,-1,10054
1719,-1,-1,1398,-1,9931
2377,-1,-1,-1,5511,8727
4679,8747,-1,2662,6267,8400
3693,4109,-1,5651,5110,9812
7945,8747,4216,1737,7661,10229
4780,-1,-1,737,-1,8642
8570,-1,-1,5796,-1,8969
7867,3301,4216,2852,5051,9284
680,4483,-1,4646,7661,9831
2377,-1,-1,1216,-1,9996
2377,-1,-1,-1,-1,9862
8603,7357,-1,5651,3508,9728
3798,1875,-1,2093,5824,9852
8681,-1,-1,6629,8886,10221
4050,-1,-1,-1,-1,9145
2377,-1,-1,-1,-1,9682
10254,537,-1,9678,1084,9160
2093,-1,-1,1737,6267,8567
2377,-1,-1,3853,-1,9974
10013,2095,-1,3853,6696,8825
2375,-1,-1,-1,-1,9003
5125,-1,-1,1737,-1,9199
8681,-1,-1,5845,-1,10161
2377,-1,-1,-1,3898,10043
3798,-1,-1,1737,5743,10327
8681,7357,-1,141,2699,10310
5125,3299,-1,6385,6267,9773
7853,537,-1,9249,4534,8842
1885,-1,-1,3863,-1,8716
3898,-1,-1,8415,-1,9434
-1,-1,-1,327,-1,9902
8689,1338,-1,737,9543,10185
8634,5781,4216,7775,-1,9365
2831,-1,-1,-1,-1,9406
2375,-1,-1,3853,-1,9651
162,-1,-1,3863,-1,8630
2375,-1,-1,737,-1,9924
2375,537,4216,9678,1549,8399
2375,-1,-1,-1,-1,8538
680,3676,-1,9357,2965,8884
9565,1108,-1,1737,7661,9412
1885,-1,-1,-1,-1,9511
975,8505,1365,5406,6819,8845
5451,2095,-1,35,6267,10365
6696,9939,8571,9146,6399,9006
9702,7357,-1,5340,5051,8396
2698,-1,-1,1737,2699,9242
-1,-1,-1,-1,5511,10204
4650,-1,-1,4058,6267,9305
7545,-1,-1,681,6267,8646
-1,-1,-1,-1,-1,10328
3798,-1,-1,3853,-1,9748
3131,-1,-1,3319,7661,10394
5996,8696,-1,3291,3422,10312
2377,-1,-1,-1,-1,8975
1398,-1,-1,3853,-1,9824
546,4109,-1,1353,7661,8822
4216,-1,-1,5651,-1,10073
3695,-1,-1,-1,-1,9795
587,-1,-1,9678,1274,8765
-1,-1,-1,-1,-1,9433
4852,1108,-1,4058,8255,9453
8593,-1,-1,1933,7661,9432
1656,8156,-1,958,6621,9793
9288,2095,4216,7486,7309,9596
7342,4109,-1,1286,6513,8780
7187,3676,-1,7937,4898,9705
9702,-1,4216,1737,7309,9187
-1,-1,-1,-1,5511,9721
3693,-1,-1,2852,-1,10344
-1,1352,-1,6875,6267,10241
-1,-1,-1,3853,-1,8820
2375,1875,-1,7259,6267,8485
2377,-1,-1,-1,-1,9323
8593,-1,-1,141,682,9089
-1,-1,-1,3853,-1,8496
6703,-1,-1,35,-1,9711
-1,-1,-1,327,5511,8740
7853,-1,-1,9678,7661,9443
2375,-1,-1,-1,-1,10274
-1,-1,-1,-1,-1,9649
7853,-1,-1,-1,-1,9686
2377,-1,-1,5651,-1,10289
1656,5008,-1,9678,1217,10382
1398,-1,-1,-1,5511,8898
5286,1352,-1,35,4534,8922
-1,-1,-1,-1,5511,10238
5125,-1,-1,-1,-1,8639
8681,8696,-1,2852,2160,9378
