title,category,brand,modelno,price,SampleID
9888,3658,4930,7966,1764,8632
1562,2347,2330,3773,1748,9728
3502,3274,8228,1278,8603,9537
3077,9007,2330,6267,4443,9746
5696,3766,9418,4239,1212,10343
10155,7341,3764,2662,5597,9753
4019,2963,9656,6875,865,8508
2491,1411,9638,4896,8230,9986
8833,9007,5637,8096,1860,8521
7603,20,7259,867,779,8605
10413,682,3766,9472,3756,9821
9472,4679,8429,2205,38,8506
7830,7656,4455,4898,1627,9136
2852,2347,3634,7262,2395,9465
7656,1411,8823,9955,1860,10309
573,2622,5938,3774,8833,9810
1737,2963,9638,618,7652,8760
7976,6096,9983,3846,7192,8920
1308,9007,7634,926,4067,9481
1562,9007,3635,10213,9018,9829
8600,1549,2677,2994,8450,9418
5037,6096,9638,1674,5377,8583
3658,2491,9638,5569,671,9640
3319,9640,9955,9753,7652,10078
6301,3766,3635,7009,7192,8793
2419,4852,9725,1888,8973,8610
10213,6096,1353,8096,3046,9150
1801,4169,8211,4404,8505,9318
1855,8696,9638,1296,2388,8872
7624,4679,10265,4991,10264,9330
2878,4852,9983,370,5312,8720
7976,1144,3853,9890,2403,10363
2962,9150,35,6875,3182,9001
3546,1411,1562,4940,2837,10028
5994,3658,3284,4235,9429,8640
4443,6371,9638,1769,9963,9333
2046,1151,1155,528,4650,8634
1125,7554,367,1308,3269,8938
1365,6708,3658,1717,4267,9561
3046,8670,1353,1764,4267,8658
7259,8220,7804,5696,3634,9802
3131,674,1837,9904,9255,9501
8833,3766,1338,546,3131,9181
25,5364,7125,9890,4745,9392
5489,9788,8733,6674,4206,9139
1223,3773,5335,10213,3502,9329
3898,3773,8217,2377,6385,8424
1094,2963,7804,8803,4988,10324
2388,3658,3496,1151,5762,10255
10307,7656,8450,3773,498,10149
7272,20,1084,9666,10413,8425
7784,1791,8022,1801,4455,10106
8959,3766,9418,9698,1296,10301
7264,9768,2178,2831,3722,9645
7641,3773,7006,3031,2741,8783
2930,9146,1837,7009,7782,9971
8830,3766,2330,545,1933,10254
5483,3766,5637,8773,7554,8482
3373,3658,3510,5867,5536,9281
8174,2963,7804,6093,9429,9410
9782,7495,7842,7341,2905,9348
4141,3766,4523,6629,1627,9636
3569,8696,4443,6332,4802,10266
3658,1411,9638,3068,370,8712
7446,6708,3400,9890,151,9954
8570,7656,2741,5325,10177,10435
3085,9007,2330,6399,7259,8473
3722,9007,3635,82,903,9450
4749,1151,2330,3215,5200,9991
334,7849,9904,7771,2330,9067
1286,4852,9625,6267,8681,9725
4019,3766,5335,3951,1641,10030
2857,7341,8211,3311,8156,9327
9395,2963,8686,7301,7966,8759
9357,5473,9638,2403,3951,9881
3829,2622,4511,9146,5226,9716
4370,1411,9638,9580,1776,8445
1398,3658,7804,3486,2129,8985
5338,8211,3774,4239,2650,9089
3280,3773,9418,7446,6714,10135
6267,1613,8782,4267,9553,8750
5265,6096,1084,7262,738,10292
10213,8443,789,926,6324,9893
2878,3188,789,1323,5013,10108
9472,2963,8686,3302,3853,9572
1296,3658,5146,2963,5687,10140
1125,3766,3635,8600,3292,8602
6467,3658,9983,1836,5536,9649
1836,3773,5983,5696,6115,8661
7263,1549,7220,4235,573,9587
2046,2963,9395,9666,7545,9357
3085,9007,2330,5483,7661,9200
10048,9146,9666,3569,2395,10207
6467,1549,5520,9666,4239,9405
9669,2347,3182,5473,5146,9532
4802,3773,3658,5539,5226,8757
7641,1776,9007,3853,435,8558
3452,5146,3182,7178,5824,8963
4914,3773,7487,2968,4517,10336
5483,3766,3635,8683,3766,9869
5495,6096,2687,5649,8522,9538
3292,4712,8275,10271,4670,10240
737,8443,2474,3774,4586,10397
4001,789,5431,2831,6703,9625
3688,3658,2845,1933,7259,9601
6674,3126,8762,7309,9898,9423
3126,3028,8211,2857,9039,10103
9288,10351,5340,7849,7730,8534
9983,9146,2445,4747,8894,8577
5335,8568,8817,9395,1217,9599
2905,3773,7359,1769,2687,9155
6623,7656,6863,4991,2905,10416
9604,9150,7357,3509,1084,9079
1641,2622,3299,9319,3131,9473
7507,7554,4455,6882,1997,9173
7470,5144,10070,4404,8022,8834
1764,8443,3853,8096,9146,8536
3759,199,8571,7178,327,8731
2878,6708,10198,2754,151,8670
8959,9007,9418,1196,6833,10422
950,7641,9656,1308,8747,9115
6267,2963,1837,6428,1286,8526
3085,3644,5628,737,1933,8742
738,5364,3274,7262,5612,10209
7446,8211,8957,9164,865,8876
9890,4749,9505,1717,9472,8990
4802,3188,2129,5169,975,9437
546,1411,9357,57,6544,9985
437,6443,9638,6785,1353,9152
8211,741,2687,3853,4001,9543
3658,3766,2330,1892,2403,9523
3280,6819,1018,5762,573,8862
7624,8670,3274,5539,8773,10264
3077,8696,4767,3319,3677,10052
7652,3773,7192,9409,6385,9980
4729,2633,6139,9890,2609,10132
2622,3766,5637,4699,10207,8510
4141,3766,10006,7263,5511,8435
1308,1155,9983,5489,5312,8406
2633,20,148,10271,5368,9779
9656,3766,7682,5572,8762,9303
8505,2491,3422,9898,3846,8486
903,7656,2687,7463,3764,8672
1801,7341,8817,2662,4780,9530
5483,3766,3635,62,5444,9234
9472,589,2687,7241,6385,9729
8240,3658,9983,3302,7487,9108
8784,6708,755,2144,3502,8593
2878,1155,9638,9753,7545,8753
1564,3766,2330,5890,3951,9002
8830,3766,7682,7775,7357,10279
10213,3773,7220,5489,5444,9435
5387,6708,2687,545,5388,9032
5402,9146,6544,4896,6089,9526
8415,3274,1018,5649,5847,9031
10316,3274,9638,7163,2621,10016
7937,3766,9418,418,3131,9261
9429,7656,5226,9858,2754,8917
20,7656,7516,7196,6623,10268
10254,7342,3587,9307,5557,8659
5824,8108,35,618,1837,9967
3373,1956,716,1717,1934,8966
605,6371,3240,1618,6882,9497
7937,4679,8894,5539,4486,10180
3496,3766,10006,587,2885,8688
2649,6096,3400,7834,3759,10274
738,1411,2878,57,6579,9151
5495,6096,5847,5364,9585,9988
7785,3126,5965,7178,6689,9388
573,4749,9418,552,3635,9544
5526,3126,9904,82,7125,8418
8762,716,1308,9791,2878,10232
3319,6708,3240,7470,9886,9586
9983,6708,3400,5182,2741,9555
8773,3658,8686,3302,2129,8934
7342,3773,755,9904,6833,9592
7993,6322,1934,10213,6322,10195
4940,2963,2905,9146,4309,8989
7603,8696,2741,7231,3423,9494
6714,3773,7634,8096,2662,8902
1717,7554,3853,1717,286,8429
537,7309,3766,9753,2403,9246
2748,20,8817,1274,5687,9767
4574,3766,5637,4898,151,9006
7262,2963,3284,8683,4791,9256
6833,674,8228,9496,6385,9850
8801,3658,9725,10199,7192,10339
7785,1155,9638,9150,1084,9591
1151,1411,7359,8681,4735,9471
1018,8696,9357,9702,8224,9790
8773,4852,9625,7183,10245,8415
9963,6094,10191,9955,956,8519
4033,1776,3766,5651,386,8752
3804,9768,3422,8603,286,9493
5847,3766,2330,2963,9904,9653
435,9007,3635,6324,3387,8855
5265,3773,9357,4991,4216,8930
3759,9007,8156,7231,2965,9763
4729,8220,3299,4991,3634,9607
1804,6096,3297,6751,6474,8625
5110,9007,1338,2787,4670,9188
3280,5364,8817,4940,7125,9003
9553,3188,9638,10271,7341,9762
8570,2347,1837,4580,9018,10091
3766,3766,2330,1892,2403,9619
4235,2963,7804,3302,2129,10007
3085,9007,2330,5483,9698,10263
5590,1155,9638,4235,973,10430
20,7656,7192,8020,8522,9978
3020,7656,9638,5489,6089,10146
4235,9007,8156,5890,1084,9326
6678,6322,3004,3509,7513,9717
3658,4712,10351,6882,1346,9262
3756,3766,5637,3510,9725,8913
2712,8696,8022,9823,8211,10347
141,1776,2741,4589,7680,8554
4574,8556,1338,1336,4767,9914
2046,2622,1717,1296,3131,9894
9565,7656,3004,7470,2622,8585
3373,3773,5847,7634,7773,9647
6115,7342,589,9823,7773,8741
9788,6096,3182,6066,3387,8664
5146,8556,9418,4747,1934,9463
5296,9007,8156,2641,7259,9408
1308,7656,1216,199,2375,10406
1804,3658,7804,6260,3248,9621
1923,4686,4443,4940,4169,8656
4747,7554,9638,1460,5312,9415
10198,8443,4455,10413,4712,10090
8973,3188,9638,1860,9858,9825
5569,3766,10006,7297,1217,8491
7773,2963,9418,6661,1142,10417
3403,3766,10006,7382,8505,8909
4574,9007,1338,1336,4767,9064
4141,3766,4526,6428,1212,8773
5715,741,7192,6674,6749,10118
1125,3766,5637,8773,1142,9355
4747,7554,9983,7446,3829,8557
3677,3773,5451,4370,6089,9101
5936,9007,5628,5221,3829,9491
4387,3766,2330,8600,4617,9292
6139,2963,5847,4483,5182,9648
737,7554,9983,7297,9785,10398
6384,5146,6819,6875,7309,8696
9561,9561,3658,10213,1142,10294
589,7902,8773,1817,5444,10312
5489,7554,9858,8020,2687,10385
9725,7656,3766,6674,5649,8578
8773,3658,8255,5536,1247,10418
9788,1411,1084,6674,1892,9430
370,2963,7842,4235,8069,9634
6500,3274,3222,9638,2878,8820
714,3126,7804,7463,6385,9323
3420,2347,6749,5649,6061,9694
4235,3658,8686,8556,2334,8784
3496,9007,8156,5388,1719,9866
4729,1411,7264,4898,671,10284
7342,3658,9898,4387,9139,9086
1489,4686,1018,6399,2403,9034
8441,3387,5938,618,1296,9054
3672,7341,4443,10257,8733,8417
9018,20,9638,1764,5200,8407
7009,3658,2741,3311,9139,9255
4141,8532,4526,5890,7259,9830
3766,3766,2330,5890,4312,9191
7624,3766,9418,8556,5612,9658
4940,3496,10265,3774,2129,8600
4141,3766,8156,545,2905,10424
9585,6443,367,199,305,9300
4574,9007,8156,4580,8959,8907
6629,6094,1885,1286,9669,8727
9357,3658,9638,1084,573,8728
4914,9146,3658,305,2375,10133
4511,3188,7192,9904,4216,9391
7446,6096,2741,9702,1997,9699
1564,7656,9418,8415,6385,8517
5146,9146,2837,8096,8973,9812
8833,9007,3635,7656,2536,9015
8696,2963,5146,6790,2403,8746
