title,category,brand,modelno,price,SampleID
6037,4610,6816,3578,9266,10351
10350,8423,2910,6737,6092,10191
9756,4174,2684,5360,523,8603
9416,4182,9867,394,9020,9586
2848,1517,3531,1226,5199,8686
2353,1003,3062,7637,8489,9725
9614,2964,2772,4763,3652,9753
3739,721,7456,2305,6522,9955
5986,190,1703,4013,6932,8719
8490,4345,3231,124,1471,8823
3786,190,1673,9498,5733,9169
10230,6571,5010,7110,407,9604
5704,6439,3062,9699,9746,9640
5652,840,2709,5587,9365,9429
2842,1003,5828,9095,984,8817
146,2141,645,4120,8852,9669
6512,3405,8451,4862,1519,10131
10217,1479,3062,7885,6335,9040
2066,8405,7645,2097,6370,9904
1006,6778,335,820,2490,9966
9818,6439,2884,1226,1588,9335
7525,6778,4484,5283,9442,9791
6286,7436,6753,7761,3019,9472
74,1003,3062,6737,9694,9532
3087,1003,2490,9699,1107,9508
4702,9043,4413,9699,8941,8810
9201,7679,7645,840,5812,8849
4448,2027,2813,10017,6296,9731
1642,1003,3531,4787,2381,9961
6124,4364,4274,1226,1636,9558
6643,6439,8094,4787,8504,8439
5788,9043,3062,6737,1654,10198
3922,6439,4776,1226,8254,8634
7137,3413,1642,1322,4917,9051
893,1219,8983,9502,5153,9788
642,2042,4776,1226,6335,9252
4828,1063,4541,7251,9683,10199
4436,3707,4337,7396,3155,9177
4251,3413,4839,4311,1740,9689
1602,9043,3679,2549,10014,10006
3884,1479,4776,8722,4121,8894
8578,7243,10233,2240,9686,9808
9282,1003,3062,1322,9284,8553
7354,1479,3679,2549,7850,9994
7533,1479,820,1226,322,8670
6979,721,7666,3886,6984,9060
7459,5034,1959,6608,8008,9553
9921,1479,4878,1322,9136,10009
3125,3549,6082,9701,1607,10257
5704,3194,3231,1226,8564,8733
8057,142,3062,7637,2922,9138
2821,5920,1634,9284,10231,9150
1572,6439,3062,9095,6335,8613
6567,1003,3062,4311,9145,8832
8591,6439,3062,7885,7850,10155
1543,4951,7404,9115,7722,8877
3120,6902,1703,7097,6143,8963
6647,8423,5264,4311,8436,10048
3195,2870,7348,2832,3589,8803
1299,1517,3531,1226,8259,10137
5077,6439,3531,2909,8254,8684
8988,4832,9013,7311,5098,8415
6937,9359,2070,1596,8186,8681
2162,9289,8291,2109,3074,9307
8010,1003,2490,7885,10325,8980
2539,8423,5839,7043,4748,8458
7573,6590,9545,5129,1279,9146
2594,6571,4484,3472,9511,8568
6777,7679,360,5143,6681,9678
5375,5471,9728,4311,10014,8950
1886,9043,4101,1322,2780,9933
3882,8848,8504,8668,9729,8674
2571,8423,5053,6737,5329,8689
5704,6424,3062,683,9089,8450
4837,4951,2070,2090,2417,8954
7493,4832,9013,3108,1043,9543
4938,2362,6035,1759,5360,9395
6098,1479,4101,7885,7726,8747
553,1479,4101,683,2922,10316
4768,9043,4776,9699,6057,9382
7705,4832,8648,2194,815,9319
2842,6439,3531,2556,3117,9561
10185,1003,2490,9455,7494,9552
8831,6902,2131,5400,2325,9547
553,1003,5002,1259,4263,8487
138,371,10233,8866,2993,9496
6520,1003,4274,6737,3754,8444
3334,2120,9825,1979,10017,9280
7704,73,3492,1510,8469,8593
5375,142,4274,1226,2922,8443
321,4174,2813,1965,880,9580
6313,3336,8992,7529,229,8522
2995,6571,8788,3259,2660,9698
8435,1003,3062,7885,1231,9752
5421,4577,6581,8804,9632,8582
1935,476,3531,4787,416,9464
2595,6778,4484,801,4062,9139
9502,6439,4776,1226,4121,8570
4506,4174,7052,10263,400,8957
5825,2883,2813,3962,6821,9249
8405,369,10138,6679,2948,8786
9014,7404,8504,7239,8706,8917
69,476,10386,2556,4399,10264
5118,8423,3751,10327,4183,8763
9880,6998,9896,4485,240,10254
5361,5374,1792,7043,3822,8801
7953,7679,4193,6450,6424,10271
9104,3987,1475,3857,4890,8973
7091,778,6794,525,4260,9858
4606,4108,5118,7304,3314,8505
3347,3413,3531,7637,2864,9288
7991,1003,2423,1226,9824,9625
1033,3413,767,7043,4677,9782
5516,73,2315,9503,4197,9164
2452,3063,3901,1792,3363,8520
3406,5374,3200,6737,2098,9715
7962,1003,3531,4120,3686,8784
114,10094,8638,860,1640,8600
3214,420,2260,8186,6133,9702
7232,1003,3062,2303,8161,10013
7385,6439,3679,7885,7850,8696
7114,6439,4776,7885,10172,9851
9772,6996,4193,163,3327,8833
3429,9043,4823,2549,67,8762
6518,14,5284,5165,1361,8682
631,190,2350,7418,9975,9357
6549,2141,7207,683,9729,8445
6124,1479,3531,9095,9450,9338
9175,6439,3231,9095,7850,9576
1499,10094,8638,4044,7325,8773
7996,8808,9387,2448,8988,10307
5969,1479,5995,7885,7076,9255
4647,142,4817,1226,7600,10322
553,9043,4413,4787,6524,9606
8018,6902,4944,6868,2819,8429
4374,4174,3034,3114,7612,9075
8562,7136,9623,7754,8457,10164
8776,2025,8788,5896,3315,8441
5704,9043,3231,7885,7022,9983
23,7370,778,2269,9044,8571
847,2037,3531,2909,4806,9656
4800,1003,3062,9455,3927,10190
6067,1728,1362,3761,6859,8886
3087,1003,8675,1226,1615,8406
9350,3855,2070,235,7121,9463
4572,1003,3062,6737,6727,8838
4962,190,2682,4441,8529,10265
772,476,9623,455,4208,10201
9162,9289,8688,1705,6814,10070
6114,5078,2338,9448,7321,9785
6261,9043,5849,4787,3141,9768
2222,9191,9083,7097,1279,9666
430,8183,10000,6898,7549,10207
2313,6439,2884,683,2139,8532
2166,4598,4303,1862,5140,8683
9502,9043,4101,7637,5611,9963
4948,9043,4817,7885,4468,9085
642,4108,3592,481,8012,9018
5256,4441,5264,1322,6335,8959
5725,6439,1521,1226,7086,9565
2999,1479,3231,1226,8535,9784
9175,1003,3062,4787,8856,9876
5932,8539,7379,447,10103,9890
3304,1003,2884,1226,4075,8418
5829,7360,8788,728,2709,8748
3674,190,166,8968,1016,9418
1137,3194,2599,1226,8134,9848
6261,9043,4101,374,9136,10396
6069,6571,4208,301,782,9898
1248,2246,4978,3799,9657,8782
2231,6251,9257,4588,1843,9643
6118,10380,9748,10361,9846,9823
8672,9043,3193,1226,9145,8569
1096,1479,2884,7885,5851,9939
3636,4840,3052,5332,9269,8830
9950,9043,5995,9095,7306,9505
6720,3478,1396,9023,630,9638
9274,4341,3901,3907,7386,9888
1404,4598,4303,164,61,9546
6261,3194,4101,6737,6309,9053
2501,8539,5390,335,7176,10413
5725,908,4823,1226,7850,8704
770,1479,2439,7885,8941,9585
9679,142,5995,7885,4121,9039
9370,9043,3062,9020,7494,10177
5807,7416,5642,6899,5083,9007
9326,1479,3062,9483,1095,9886
3427,116,3816,1031,2119,10213
6121,8658,8644,5980,3735,8556
9282,1479,3231,9246,6524,9258
7165,1479,503,7637,1468,9267
9861,7679,1259,3363,3013,9409
2615,6439,7412,1226,2472,10245
