title,category,brand,modelno,price,SampleID
2466,3665,9451,2369,9003,9075
4581,9670,7149,9348,7334,8963
3716,8808,9451,3850,2029,8832
2821,9655,8594,9042,4418,8505
4427,6569,10042,3767,10368,8674
7410,-1,3807,4590,4854,9532
9578,9940,8594,9348,-1,9138
6888,3685,3786,1205,3306,8849
7190,595,8594,7913,8835,9643
9020,9663,9859,2480,7065,10131
7501,9120,8529,2410,1268,9007
1610,-1,9451,9348,3440,10013
1438,265,10101,8469,6379,9898
8516,145,9786,2954,7313,9280
5261,3701,6532,9155,7916,10070
470,2934,8594,9348,-1,9939
7410,-1,8594,4590,2054,9249
10002,6470,6732,5972,7528,9580
6288,-1,8594,9348,8866,8613
3259,-1,9451,9348,3440,8763
7872,-1,5362,2369,2949,9288
1859,-1,8594,9348,2949,10048
3904,5784,3807,7978,-1,9319
3099,-1,9451,2369,4098,8444
4120,-1,9451,2369,1626,10137
8413,-1,9451,4821,233,9606
9380,7888,1486,6922,10110,8973
3803,4051,8471,1602,5922,9791
3858,-1,7502,9348,-1,9085
7618,265,9605,6297,1778,8683
6862,5784,8594,2503,9027,8415
8914,8471,8983,8577,7608,10213
4331,-1,9451,2369,1687,8733
3125,913,4649,2524,5214,8877
6711,582,5828,9369,5276,9018
1277,-1,9451,3850,2949,9335
4581,-1,9451,3850,806,8532
1372,-1,9451,9348,2537,8689
4237,6377,3458,3515,3520,8773
9501,-1,9451,3850,9593,9851
4331,-1,8594,9348,4326,10009
2174,-1,9451,3850,5294,9382
1001,-1,9451,3850,4836,9508
1220,4545,7393,1919,8536,9858
581,9655,2813,2201,3506,9731
3279,245,9605,2292,1391,8568
1088,5471,3949,5921,8717,8803
2381,5846,8594,7068,3,8682
10058,6354,1912,4210,9879,10413
2416,4051,8471,9236,6704,9139
9809,9738,1114,4391,6347,9169
19,5027,1065,8399,10309,8782
9535,-1,9451,4821,2359,9464
10185,9670,4882,818,8140,8719
1153,5616,6520,7529,9350,8522
3415,1999,4944,4248,5674,9164
10187,-1,8594,9348,-1,9585
3919,2504,9451,3850,4838,8801
742,7441,7812,5281,5739,9888
7410,-1,8594,9348,-1,8704
7531,-1,2154,9348,9475,10264
781,4562,2850,10339,8754,10207
929,-1,2154,4821,4854,9725
4004,8516,9451,4013,5562,8571
6597,6597,9924,1420,1671,9146
6673,-1,9451,9348,8867,10245
453,-1,8594,9348,3440,8894
9859,9132,7812,1414,4620,8520
10110,3594,1123,1007,7581,8441
929,-1,8594,4590,3440,9666
246,614,8471,1455,1326,9808
7444,2382,7063,8778,8858,9638
929,-1,8594,4821,4664,9715
3959,6306,8668,7312,10359,9823
4696,10328,1963,4638,7843,9689
9037,2952,9451,2369,1392,8450
660,2934,9451,3850,3154,9782
7180,6555,4944,10143,9713,9150
7689,9670,9284,5608,4860,9357
929,-1,9451,4821,1615,9886
3601,3104,3458,3515,3786,8600
8412,-1,9451,2369,9003,9051
2174,5357,9451,9348,2015,10201
2747,8115,439,6312,7228,8833
1111,594,9786,4241,3879,9753
6404,3685,7063,8202,2665,9678
2583,4736,8594,9348,-1,9252
4873,2246,9583,1743,10154,10164
5297,3685,439,2970,9793,10271
8939,3989,8594,1029,-1,9307
929,-1,8594,9348,-1,9338
7410,-1,9451,2369,7535,10316
5227,4562,10042,9109,7239,8917
3776,9699,7719,864,2709,8603
5514,5357,9451,2369,5563,8458
2607,-1,8594,4821,3440,9255
9744,6420,8594,5491,6825,8681
6525,-1,8594,9348,1396,9752
1830,-1,9451,2369,7069,8810
6288,-1,8594,9348,4098,9961
8412,-1,9451,9348,-1,8569
7410,-1,8594,3105,-1,8954
929,-1,8594,9348,8796,9640
7410,-1,8594,4821,3440,9040
9236,1999,2170,325,6134,8593
1632,5784,6383,10099,5664,9543
10437,4094,8471,1194,308,9496
7410,8003,8594,4821,6135,10199
7410,-1,9605,9929,3440,9177
5777,-1,9451,2369,1396,10322
929,-1,9451,4590,-1,8959
3294,-1,9451,4821,7719,8670
3279,640,8594,6010,-1,9429
929,-1,9605,9348,3440,10191
7410,3685,2154,3797,3440,9785
7445,6480,10381,6008,9906,10257
9413,237,9230,7265,2873,8957
2253,265,8046,2354,2842,9604
3975,-1,8594,9348,-1,10155
10263,-1,8594,9348,7091,9039
3138,-1,9451,3850,8527,8684
5253,6759,7426,17,7247,8582
9844,7177,1123,7482,5679,8748
9243,9296,4831,9538,1259,9472
929,-1,8594,4590,3440,9848
1235,7574,2791,264,4942,9966
6884,-1,3418,9738,1252,9463
2492,2220,9451,2369,2949,9933
4381,-1,9451,9348,2949,8443
8010,3565,3786,1035,5398,9904
9209,-1,9451,3850,4444,9963
4831,10280,5027,1539,5498,9586
4581,2767,8594,3180,9003,8830
7410,748,8594,10375,10366,8886
3904,-1,8594,9348,-1,9576
4310,-1,8594,9348,-1,8838
7836,-1,9451,2369,8595,9565
9342,265,318,6251,8761,9698
3294,-1,9451,3850,4468,8406
4581,-1,9451,2369,8191,9625
2458,-1,9451,4821,2949,9768
8222,5804,8641,9958,8065,9553
4331,-1,9451,2369,3440,8817
3568,265,8594,3710,4839,9546
4581,-1,9605,9348,1626,8553
7170,-1,9451,9348,4985,8418
3199,7639,3874,10304,7157,8429
2556,-1,8594,9348,8866,8696
4581,-1,8594,9348,5258,8634
1824,9670,6797,3589,7065,9418
4581,-1,8594,4821,9672,8762
9147,-1,8594,9348,-1,9994
494,5999,9720,9367,5243,9788
7774,6377,7734,1559,2948,8786
2000,-1,9605,9348,3802,9784
2174,2220,9451,4821,9920,8686
929,-1,8594,4590,8595,9258
929,-1,9451,9348,3440,9558
5995,9670,7027,1908,2529,10265
8737,-1,8594,9348,4326,9983
9967,8062,7494,7149,3165,10307
2174,-1,8594,2369,5657,8747
5170,3685,1259,6298,2480,9409
2206,4252,2154,3850,6713,8445
9095,4094,9786,583,7790,9702
5185,4174,9451,2369,2850,8784
10030,9670,3987,4315,6531,9547
4581,-1,9605,2369,6992,10190
2507,6780,1900,10375,1685,8556
8428,-1,9451,9348,8016,8950
5373,-1,9605,4821,5553,8980
9680,5339,8594,2016,2914,9060
228,-1,9605,9348,1392,10198
8988,9670,8221,4344,5246,8823
10336,-1,9451,4821,3440,8487
7410,-1,9451,9348,2938,9267
1063,3931,2842,7405,2080,10351
929,-1,9451,2369,8016,9561
929,1922,9451,4821,4113,8570
3042,-1,9605,9348,2773,10396
8140,547,1942,795,2167,9395
1603,6890,318,5533,7057,9955
4581,-1,8594,9348,5657,9876
8160,5073,9451,2369,2949,9552
4834,-1,7502,9348,-1,10006
1030,-1,9451,2369,3500,10177
8991,-1,9451,2369,3440,8439
520,6354,439,8665,10272,9890
4581,-1,8594,9348,4468,9053
4581,-1,8594,4821,985,9505
1204,-1,9451,9348,1095,9669
8138,245,318,2755,2946,10254
6525,1922,9451,3850,6079,9656
