title,category,brand,modelno,price,SampleID
10392,7638,3137,7637,4867,8883
4748,3738,2415,3860,2564,9103
3919,6136,6740,1911,7136,10400
6813,9305,7935,1132,2084,9304
281,6136,8698,9020,8661,9223
4377,4477,2255,4564,4099,8606
1893,6136,6898,7043,455,8992
3366,6136,7780,7637,5809,9786
1686,7638,6059,7043,3723,9048
7097,6136,4543,9438,1231,9965
5400,5243,7711,1332,5785,9374
9228,5111,4626,7583,7907,9855
9720,4030,4140,7084,8433,9222
6457,4963,7633,2489,5233,8496
759,6754,2112,7108,450,8686
8994,7638,6898,9438,360,9293
685,4963,7633,7036,8987,9038
3886,6136,6059,7637,4867,9987
6542,2091,3053,7082,252,9119
4935,2174,2967,1226,7523,9759
6035,6036,5534,3505,4105,8663
7292,7619,636,10311,3315,9752
870,3621,7910,9095,10362,9137
9720,1840,3220,9201,2819,10331
2884,6136,6059,7043,7607,8584
5780,6136,4327,7637,5809,8481
6933,1446,8199,6624,4606,8504
1203,8777,8831,4207,651,10251
5113,6136,889,9438,2041,10015
3457,7638,8199,7043,6048,10225
9062,5111,4626,5158,3862,10134
8693,7579,10212,4198,7968,9797
2823,7638,6898,7043,3391,9009
7907,6136,6059,7637,5809,9938
4798,7638,6059,9020,10441,9765
3241,9940,3443,10301,8811,8617
358,1073,3952,344,5262,9911
5912,7638,6898,7637,455,9681
4632,7638,6898,7043,5267,9953
1773,499,9035,1127,2742,9339
6389,6919,1222,4916,5068,8998
828,2791,5311,4716,4566,8768
9699,472,5300,4042,9070,9984
4425,7638,6581,9438,9590,9205
4632,7638,6059,9438,4867,8457
2119,10150,4543,2561,4620,9272
1454,5705,4868,4579,10414,10142
8898,7638,2967,9438,7523,10221
4851,5111,3055,7529,4345,10323
6980,8528,876,7082,7131,10137
6023,4030,2813,2513,9560,10059
9217,6136,4327,7043,3391,10426
9974,6136,6898,7043,455,10345
7122,8107,520,2344,7367,10295
652,7638,9763,2561,9102,9884
4375,6136,8698,1226,131,9730
1580,6136,6898,7637,2259,8711
8767,6136,6898,7637,9623,9419
8685,6136,6059,7637,6695,10379
8639,7368,8977,10348,647,9570
3271,7436,9035,4488,2288,9178
1660,6136,4327,7043,4867,8908
9699,6136,6059,7043,4867,8503
7731,5912,9830,1332,4211,9172
1792,4316,1949,1164,7015,9567
3376,4030,7617,3981,8238,8702
3506,8195,5118,3314,8989,8652
6626,6282,876,2945,3249,10362
8750,9305,6585,9938,3429,9315
9728,6136,6059,9438,3723,9616
4913,9305,4965,9011,9975,9380
642,6136,4509,5501,9589,9305
1736,5111,9431,3886,7304,9742
9304,6136,6898,7637,4867,8650
4373,9940,923,9560,1936,9703
8903,8474,2041,6377,3559,8807
176,6136,7037,7637,4867,9263
7354,9305,8867,4441,1203,9795
6933,6965,7933,492,9375,9414
4678,6136,3263,7043,360,9325
3035,2791,1437,2815,9713,10374
6901,7638,4543,1226,4867,8931
6836,8953,178,8042,1640,8877
994,4963,9086,5434,3459,10230
2767,1297,8079,3494,8621,10045
9512,1088,1593,5158,3991,8522
6981,6136,6898,9438,10336,8676
8767,6136,6059,7043,2611,8946
858,7638,6059,7043,155,9754
2236,8107,4265,592,9415,8906
9957,6136,6581,7043,1543,9196
9957,4638,2967,7637,7933,10248
422,5423,6585,4487,7345,10067
5704,4371,2825,2312,6377,9998
787,7726,2855,8399,1317,9343
3366,6136,4327,9020,4867,9477
7953,8107,5118,5106,5812,9895
1208,6136,4327,7637,5809,9378
2449,7638,4327,9020,7607,9924
6701,5990,9012,8070,3841,8828
2581,7638,2926,7043,3171,8478
8241,7012,7809,7637,10311,8730
7097,6136,6898,9438,4867,9749
8594,666,3097,7604,4013,9295
281,2827,6059,7637,8799,9007
4851,9236,4327,7637,4867,9804
2311,7638,6059,7043,1920,10265
281,4638,6898,9095,1909,10278
8457,5706,2967,7043,155,10321
10041,9236,4327,7637,4867,9584
8825,6615,3150,6609,8092,10036
8480,6136,1576,7043,2259,10300
7938,1036,178,181,7430,8769
5804,7638,6059,9438,490,10306
752,6251,5841,8464,1607,9229
8611,6282,8867,412,840,10314
7097,7638,6898,9020,7607,9000
7084,7638,6059,7043,9662,8755
1069,7638,9035,9020,4758,8649
6483,7089,9222,2224,8529,9175
2462,8474,7800,2031,5948,9837
4907,4174,9012,586,5091,9216
9582,5706,4543,9438,1231,8835
3966,6136,6898,7043,4867,9182
10358,8231,2157,606,8000,9342
9699,7638,4327,7043,3391,10236
1944,8216,9459,7118,146,9663
3406,6136,6581,9438,360,8538
6489,6136,9035,7637,4867,9512
2119,9940,6059,9438,4620,9701
7320,6136,9763,4311,784,9605
8166,8699,3901,3768,744,9436
4508,8766,923,6289,4263,9898
2809,4649,6898,7637,1197,8529
4935,7638,2967,9020,7523,9979
4878,5705,9392,1517,4587,9403
6258,6136,9035,7043,6112,10039
7691,10150,3263,7637,5267,9760
5064,7638,6059,7043,5267,10262
972,10142,9256,8968,8012,8869
5118,7638,6059,7043,4867,8597
3765,7638,4327,7637,4867,9641
3517,5188,9699,3545,6638,8888
10262,4174,2768,5587,910,10000
8480,6136,4327,7637,4867,9713
8129,6136,4327,9438,6566,9757
1063,6636,6851,5529,8767,9920
2311,7638,6059,7043,5267,9635
2858,8953,10385,4212,293,9265
6408,4371,3197,3286,8562,9250
2661,7638,3137,9694,1231,10420
7484,6136,4327,7043,3391,9346
2682,4240,2503,491,7860,9353
7344,10153,9654,515,7355,8983
1157,3517,236,3015,3061,9576
2809,2635,6898,7637,8799,9959
3992,2418,3901,9159,3348,8942
2809,6136,6059,7043,4867,10057
4083,8216,923,7529,9052,9550
3565,614,5507,9067,651,9972
6060,10051,9545,9271,5632,9774
9582,6136,9035,9438,4867,8870
