Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
16,19,77,231,458
26,231,77,231,380
262,19,231,67,562
26,152,77,173,217
217,138,248,195,170
16,24,77,231,139
173,19,231,231,594
16,19,77,24,99
196,196,231,77,76
67,19,231,231,245
16,19,77,173,102
173,231,231,231,630
19,20,248,255,35
115,262,231,231,88
16,19,231,231,260
67,70,231,53,112
26,19,77,231,443
173,19,77,144,264
67,19,231,62,426
16,11,231,62,590
16,11,231,53,193
26,262,231,231,149
173,10,248,231,12
115,11,77,53,131
16,65,77,231,645
26,262,77,231,404
262,24,231,144,121
195,231,248,196,586
26,24,248,173,261
16,11,231,231,135
195,262,77,231,626
90,19,217,231,560
16,19,77,231,108
217,113,231,144,207
173,19,231,231,109
16,11,77,70,370
26,19,231,144,605
217,231,231,67,203
173,231,231,231,595
262,19,231,20,246
144,196,231,11,183
173,11,77,231,20
195,255,248,217,46
16,19,231,62,371
16,65,231,62,409
26,262,231,231,124
173,70,231,231,232
173,65,248,53,454
90,19,231,231,593
16,11,231,231,444
115,11,231,231,8
262,62,231,121,106
11,65,217,121,175
26,19,77,231,210
26,262,231,231,563
90,19,231,144,639
262,168,231,67,91
26,70,77,231,67
16,11,231,62,173
26,11,231,24,396
19,231,248,144,566
16,19,231,231,219
16,19,231,231,230
262,24,231,53,54
16,19,231,144,441
26,262,77,70,636
168,138,231,67,455
26,19,77,173,574
144,20,248,249,215
115,19,231,231,373
16,24,77,231,421
16,11,77,231,589
173,19,231,231,240
173,19,231,77,267
16,19,77,24,646
16,19,77,231,39
173,262,231,77,368
90,231,231,10,16
195,196,248,231,161
16,19,77,70,167
196,196,231,196,134
262,231,77,231,192
26,19,217,231,642
16,11,231,62,113
16,19,77,62,142
262,262,231,121,171
144,195,248,168,584
77,196,248,11,372
26,19,77,231,36
16,11,231,144,41
16,19,77,231,160
173,11,77,77,127
262,19,231,77,30
196,62,231,67,212
173,11,231,144,83
16,19,77,231,456
195,196,248,144,391
11,254,217,121,132
16,19,231,24,435
262,195,248,11,616
267,133,248,90,436
173,19,231,231,169
217,10,248,255,411
16,19,231,231,610
262,19,231,231,110
262,262,231,121,52
173,152,77,144,155
16,231,77,231,14
16,19,231,70,619
16,10,77,77,390
26,24,231,144,154
138,195,248,144,582
262,19,231,144,150
173,19,231,231,234
262,152,231,144,587
16,65,77,70,377
173,19,77,231,416
16,19,231,231,196
90,19,231,152,265
262,231,231,144,263
67,19,231,231,187
16,19,231,231,111
195,152,248,67,387
16,19,231,62,447
16,11,231,62,120
16,11,231,231,105
70,121,248,67,258
262,113,231,231,621
195,262,248,152,398
90,231,77,231,611
16,19,77,231,402
195,231,77,77,405
24,231,248,144,107
195,65,248,217,86
67,231,217,231,94
67,19,231,70,649
26,113,248,173,224
195,231,77,144,622
195,231,231,20,29
16,19,231,231,229
26,19,77,231,243
16,19,231,70,92
195,62,248,144,216
26,70,77,144,440
195,19,231,231,613
16,11,77,231,449
26,19,231,231,399
173,262,77,231,178
90,262,231,121,165
90,11,231,144,457
16,19,248,20,208
262,19,77,231,206
16,11,231,231,255
26,24,77,231,62
67,19,231,144,244
195,231,77,144,640
217,168,248,196,603
67,231,77,231,623
90,19,231,144,592
67,19,231,231,644
262,248,248,255,567
16,19,77,70,588
26,11,77,53,148
173,19,77,231,256
16,70,231,62,156
16,65,77,70,117
16,19,231,173,89
67,11,77,70,133
195,231,231,231,378
217,113,231,20,578
16,11,231,231,51
16,19,231,231,625
173,231,231,231,632
26,19,77,231,431
16,19,77,70,176
195,231,77,144,388
262,231,231,20,226
16,19,231,70,119
195,19,77,121,403
173,11,248,67,33
90,196,248,173,647
262,11,231,231,55
173,11,231,70,158
90,262,231,20,21
90,19,217,231,157
115,19,231,231,118
16,11,77,70,168
262,19,231,10,569
262,19,231,173,222
11,19,217,231,392
90,19,217,144,606
16,19,231,24,236
173,11,231,231,235
173,19,231,231,9
16,19,231,62,172
262,262,231,231,100
67,19,77,231,600
173,19,77,231,50
16,19,231,62,231
217,10,231,196,130
262,11,217,144,397
16,24,231,70,614
115,231,231,77,227
16,19,77,231,143
173,19,231,231,40
90,231,113,77,585
115,24,231,231,379
20,195,248,195,643
262,19,231,20,591
67,11,231,70,146
262,19,231,231,451
16,24,77,62,26
26,19,231,144,191
262,231,231,77,19
16,19,77,231,395
262,262,231,53,427
173,70,77,24,197
262,19,231,231,164
267,133,248,115,445
262,168,248,196,137
20,133,248,168,401
16,19,77,24,641
11,231,217,20,213
173,24,231,53,56
173,19,77,231,597
16,24,77,231,13
16,24,231,231,116
262,231,231,144,84
173,19,231,231,189
16,65,231,62,389
173,11,231,231,254
