Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
579,214,218,214,589
114,233,381,214,396
412,64,214,71,397
205,87,214,608,134
15,233,218,214,178
126,381,218,579,436
125,233,214,214,93
571,233,218,433,31
125,233,214,214,145
223,233,214,71,83
408,126,214,214,409
412,205,382,237,3
223,205,382,71,262
114,233,381,214,162
579,233,214,214,236
125,233,214,214,426
571,225,218,218,151
223,233,218,214,210
223,233,214,214,594
223,233,214,71,191
583,233,214,414,378
85,248,214,414,54
583,225,214,214,110
223,233,214,214,149
114,233,218,214,434
114,233,214,414,243
571,233,218,214,195
383,205,382,412,411
114,233,218,214,108
579,233,218,214,197
15,233,218,433,14
223,233,214,214,563
223,233,214,414,593
408,233,214,214,120
410,27,382,433,199
205,233,214,71,635
412,64,214,79,587
248,233,214,71,165
383,85,214,381,130
408,233,381,200,389
223,233,214,414,246
114,233,218,184,160
382,205,382,45,603
18,233,218,214,405
583,233,382,608,586
408,233,218,200,176
382,233,214,599,52
45,85,382,218,442
233,233,381,184,81
138,27,214,214,56
18,408,382,64,74
223,233,218,218,185
125,233,218,214,600
200,205,382,95,391
114,233,214,214,238
85,233,218,71,400
85,233,214,138,638
138,233,214,218,253
579,233,214,214,376
205,233,214,115,37
114,233,218,200,50
571,233,218,433,626
114,233,218,184,395
138,233,218,414,611
85,233,214,71,263
223,233,218,71,86
615,233,218,71,386
408,233,214,200,371
225,381,382,406,215
85,233,214,214,140
571,205,218,71,631
18,233,218,71,622
15,233,218,414,39
223,126,382,406,128
220,408,382,237,566
205,233,214,79,212
223,68,218,214,62
18,233,382,218,604
125,233,214,214,245
583,408,214,214,413
583,408,382,218,647
408,68,214,214,28
114,248,214,214,41
114,126,214,214,116
223,233,218,159,153
583,205,381,412,369
17,205,608,218,637
223,573,218,95,42
17,27,381,200,629
85,225,214,214,591
220,381,218,138,44
408,233,214,214,201
579,233,218,184,198
104,205,382,205,643
223,27,382,382,261
17,85,200,79,96
579,233,214,200,619
408,126,214,214,113
579,233,214,214,1
138,233,381,214,560
114,27,218,214,139
408,233,218,200,588
248,205,214,71,16
15,233,218,608,390
138,382,382,406,58
583,233,214,218,227
408,233,218,214,75
248,85,214,214,452
408,233,214,214,174
583,233,214,214,186
571,233,218,433,443
85,607,214,71,121
125,233,214,214,244
408,214,218,214,43
223,233,214,200,373
408,233,218,200,167
425,205,382,433,161
125,233,214,214,187
85,205,214,433,259
138,233,382,71,33
579,225,214,214,232
412,233,214,71,91
17,233,381,214,642
114,27,214,433,255
138,412,382,71,57
15,126,214,214,646
85,205,382,71,194
223,205,382,381,137
579,233,218,200,72
223,225,214,214,564
408,233,381,214,435
114,68,218,214,7
114,27,218,218,217
17,233,381,214,392
579,233,214,200,377
583,233,214,214,634
15,233,218,414,208
125,233,214,214,23
85,233,214,414,6
223,126,218,159,148
85,233,214,414,427
408,233,218,200,142
223,233,214,214,164
577,205,214,71,179
607,233,214,433,613
138,233,214,214,22
575,205,381,237,582
138,233,381,218,101
114,233,218,214,641
223,233,214,214,570
125,233,214,214,59
114,233,218,200,168
408,233,214,214,610
408,233,214,214,447
15,233,218,214,385
18,381,382,45,417
114,233,214,214,182
138,410,214,218,422
17,233,214,214,448
607,233,218,214,192
18,233,218,218,423
205,233,214,599,565
205,205,214,79,152
15,233,218,218,102
579,126,214,214,4
579,233,214,214,240
382,225,214,414,578
138,233,218,218,585
412,233,214,71,204
607,233,218,214,206
125,233,214,214,649
383,382,214,599,207
114,233,214,214,605
408,214,218,200,117
408,68,214,214,242
138,126,214,214,211
408,233,218,200,99
18,27,382,406,387
115,85,382,412,35
85,27,214,159,106
408,233,214,200,188
615,233,218,159,380
114,233,214,214,135
138,233,214,214,247
114,205,218,200,12
85,233,214,214,451
85,233,214,159,171
85,233,214,214,569
223,233,214,433,630
408,233,214,200,172
408,233,218,214,561
408,233,218,200,65
408,27,214,214,444
114,233,218,184,90
408,214,218,200,26
138,233,218,214,618
583,233,214,218,265
223,408,214,214,77
579,126,214,200,158
383,382,214,608,166
615,233,218,71,388
138,233,214,214,21
138,233,214,71,592
579,233,214,214,625
223,571,218,214,209
408,233,214,214,260
579,233,214,214,40
607,233,214,214,562
114,233,214,214,196
408,214,218,214,402
408,233,214,214,156
114,126,214,214,105
223,412,214,214,47
408,233,214,214,103
15,27,218,200,645
85,233,214,414,100
408,233,214,214,420
383,205,214,381,266
579,233,214,214,250
583,205,382,412,202
223,412,214,71,48
382,225,214,214,112
383,85,214,71,455
114,233,214,214,229
125,233,218,71,439
114,233,218,184,143
220,381,382,79,628
408,233,214,214,437
223,27,214,214,8
114,126,214,214,131
412,412,382,412,567
114,233,218,214,627
200,233,382,577,46
125,233,218,200,38
577,233,214,406,49
223,27,218,71,155
571,53,218,218,648
200,233,382,85,78
223,233,218,214,404
223,85,382,218,224
138,233,218,71,36
114,126,214,214,51
579,233,218,214,252
248,233,214,138,241
138,233,381,214,606
223,233,214,214,368
18,233,218,414,403
126,381,382,412,445
223,233,218,71,257
85,205,382,237,80
114,408,382,433,375
