Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
205,223,237,200,563
205,406,237,17,583
583,200,237,615,625
205,233,237,200,631
205,406,237,98,649
205,87,237,200,590
583,64,237,381,640
412,233,237,98,645
577,233,237,200,573
583,223,237,381,644
218,233,237,200,559
95,381,237,200,567
218,18,573,237,620
233,233,237,190,607
577,233,381,200,610
205,223,609,383,593
205,223,237,200,622
608,233,381,114,582
382,115,237,147,638
577,220,237,200,635
615,205,237,98,616
615,615,237,200,611
608,233,218,200,568
572,575,218,433,576
608,114,218,200,628
218,98,573,381,609
205,233,381,200,570
205,205,237,200,595
205,233,237,200,643
577,233,381,200,581
382,223,237,381,580
85,233,237,200,602
85,114,237,200,566
205,381,237,200,569
382,223,237,147,601
71,233,237,200,606
615,583,237,200,637
98,382,237,17,623
608,205,381,190,642
205,0,237,220,599
382,18,607,381,614
205,205,237,200,565
577,381,237,200,591
382,223,237,381,630
205,205,237,200,572
15,406,237,200,584
573,615,237,615,597
382,575,218,381,603
218,381,237,381,632
615,218,190,383,629
577,233,381,200,615
126,218,237,577,618
383,233,237,200,604
383,412,237,200,648
218,18,218,218,589
205,18,237,383,633
85,575,609,85,564
205,205,237,190,636
237,205,237,18,588
233,233,237,200,592
233,205,237,190,619
615,406,381,200,596
233,233,381,114,571
608,233,237,114,634
577,233,237,200,605
205,205,237,200,594
382,18,237,383,612
579,575,237,381,600
205,205,381,414,586
205,381,237,433,624
382,233,237,53,608
577,114,381,200,578
71,233,381,0,639
383,53,237,190,627
233,205,237,200,560
577,233,381,114,562
95,406,237,200,561
